data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota
18 de março de 2025;Volvería sin dudarlo;El personal muy atento, el desayuno rico y la limpieza. Por supuesto que la cercanía con el aeropuerto, llegamos a las 3 de la madrugada, nos recibieron y nos brindaron una habitación a pesar de tener reservado a partir de las 15 horas.;Que después del atardecer no te podías mover del hotel ya que los alrededores no se ve seguro. Hay que moverse con Uber.;9
21 de fevereiro de 2025;Muy buena opción;La relación precio calidad es muy buena. Desayuno muy completo;;8
18 de fevereiro de 2025;Muito bom;Muy buena atención del personal, llegamos media hora antes del check in y nos guardaron los bolsos para podes ir al shopping, tiene un buen desayuno.;Nada para reclamar;8
17 de fevereiro de 2025;Muito bom;Habitacion climatizada;;8
15 de fevereiro de 2025;Muito bom;Lo mejor es la ubicación. A minutos del Aeropuerto y muy cerca del Shopping Recife. La atención del personal es muy cordial. Incluso nos permitieron hacer el check in a las 10 de la mañana. Está muy limpio y por lo menos la habitación que nos tocó tenía camas firmes pero confortables;Es un hotel económico, muy sencillo, de habitaciones pequeñas y desayuno muy básico. Ideal para quienes quieran solo descansar y seguir viaje.;8
12 de fevereiro de 2025;agradable;la atencion es buena y el ambiente es agradable;el barrio no es muy lindo, especialmente frente al hotel;8
5 de fevereiro de 2025;Bom;bien;desayuno;7
22 de janeiro de 2025;Bom;Hotel sencillo, limpio, con excelente atención del personal. Situado cerca del aeropuerto, ideal para una noche..de paso para Porto de Galinas. No mas.;No hay ascensor. Nos tocó 2do piso por escalera.;7
5 de janeiro de 2025;Satisfatório;Buscábamos algo muy cerca del aeropuerto para pasar una sola noche y eso lo conseguimos. Pero el lugar no es nada lindo. Sólo el desayuno y la amabilidad de la gente;No tiene ventana en las habitaviones;6
12 de dezembro de 2024;Bom;El desayuno incluido estaba muy rico, había muchas cosas para escoger. El personal fue muy amable.;;7
1º de dezembro de 2024;Fantástico;Buen lugar, cerca del aeropuerto. Fue para pasar la noche e ir a Porto Galhinas. Barato, bueno. Nos recibieron muy bien a las 01:am;;9
9 de outubro de 2024;Perfekt läge vid övernattning mellan två flygningar eftersom det är nära flygplatsen och prisvärt.;Fräscht, 24-timmars öppen reception med toppen service som hjälpte oss med att beställa hem pizza till hotellet på kvällen. Nära flygplatsen.;Tyvärr fungerade inte AC’n. Högljudd och kylde inte ner. ;
"Utomhusmiljön kändes inte safe med många uteliggare. Dock enkelt att få taxi direkt till hotellentren som receptionisten ringde och bokade.""";6;;;
6 de outubro de 2024;Muito bom;Desayuno;La habitación era muy pequeña;8
26 de agosto de 2024;soluzione buona per chi cerca un appoggio vicino all'aeroporto;la colazione buona e abbondante, soluzione interessante per chi cerca un appoggio vicino all'aeroporto, ma sicuramente non per visitare la città o i dintorni;dalle foto (e dal prezzo) la camera sembrava più bella. Odore di chiuso e di umidità, nessuna insonorizzazione per cui arrivano tutti i rumori della strada;7
16 de agosto de 2024;Simpel hotel met vriendelijke mensen en een goede prijs kwaliteit verhouding.;Vriendelijk personeel;Tv .;
"Tegenover kleine favela.""";8;;;
7 de agosto de 2024;Muito bom;Behulpzaamheid van het personeel.;Tv inloggen met e mail en 2 afstand bedieningen. Tegenover een soort van favela;8
13 de julho de 2024;Vayan al Ibis;Desayuno;Todo el resto;6
11 de abril de 2024;Eenvoudig maar schoon en betaalbaar voor een nacht;Dicht bij vliegveld;;7
15 de março de 2024;Muito bom;Proche aéroport;;8
5 de novembro de 2023;Bom;La amabilidad en la recepción.;Si bien esta muy cerca del aeropuerto, la zona no es de lo mejor.;7
26 de outubro de 2023;Fantástico;buen servicio de la persona en recepcion ¡¡;;9
12 de setembro de 2023;cumple;la atención del personal y el desayuno;nada;7
16 de julho de 2023;Bom;Buena opción para pasar una noche en cercanías al aeropuerto. Desayuno completo. El personal muy amable.;Por la ubicación hay que trasladarse en automóvil exclusivamente.;7
3 de julho de 2023;Bom;Gute Lage in der Nähe des Flughafens. Ca. 15min zu Fuß zum Strand.;Sehr enges Bad.;7
10 de abril de 2023;Fantástico;Excelente atencionm e informacion al llegar.;;9
14 de fevereiro de 2023;Muito bom;Ubicación cercana al aeropuerto. Estacionamiento disponible.;;8
31 de dezembro de 2022;Muito bom;Camera minuscola, bagno piccolissimo, arredamento scadente. Ma un prezzo davvero irrisorio per il soggiorno più la ricca colazione!!! Impressione super positiva!;;8
4 de novembro de 2022;standard;Localisation proche de l’aéroport et personnel gentil;Très vétuste, petit déjeuner basique ..;6
27 de setembro de 2022;Bom;Desayuno;Humedad;7
27 de agosto de 2022;Es un lugar simple y sencillo. Cerca del aeropuerto.;El desayuno !;;7
24 de fevereiro de 2025;Es la tercera vez que voy a Recife y repito este hotel que cumple con mis expectativas;excelente ubicación( cerca del aeropuerto) staff muy agradable y muy rico desayuno;;10
1º de fevereiro de 2025;Aceitável;La cercanía al aeropuerto;La cama era muy dura y las habitaciones no tienen ventanas;5
22 de janeiro de 2025;Ruim;;Trop de bruit de climatiseur;3
5 de janeiro de 2025;Péssimo;Estuvo todo bien. Pero me olvidé un reloj y una pulsera y dicen que no la encontraron. Es en el único lugar que estuve desde que bajé del avión hasta que me subí al auto. No me dieron la posibilidad de buscarlo en la habitación tampoco;Que me olvidé un reloj y una pulsera, y me dijeron que no estaba allí. Una pena pq estuvo todo muy bien, pero pagué por estar ahí y no me dieron la posibilidad de recuperar mis cosas;1
1º de janeiro de 2025;Excepcional;La ubicación es ideal muy cerca del aeropuerto;;10
25 de novembro de 2024;Excepcional;Muy buena la atención. Y las instalaciones y la ubicación;;10
19 de janeiro de 2024;Horrible;Nada.;Lugar, zona muy peligrosa. Baño feo, no cerraba la puerta. La habitación con olor a mugre y sábanas en dudoso estado. JAMAS VOLVERIA.;1
22 de março de 2023;Aceitável;Ubicacion cerca del aeropuerto, desayuno bueno,;Habitaciones con olor, solo para dormir una noche;5
3 de fevereiro de 2023;Excelente !!!;Muy buen desayuno y la ubicación cerca del aeropuerto;;10
17 de janeiro de 2023;Excepcional;Instalaciones y atención;No hubo nada que me moleste;10
27 de setembro de 2022;es el hotel adecuado por un precio bajo para una noche x si tu vuelo llega a un horario que no te permite hacer el check;cercanía al aeropuerto ;;
"desayuno correcto""";habitación pequeña para 4 personas;5;;
26 de março de 2025;Muito bom;;;8
10 de março de 2025;Bom;;;7
10 de março de 2025;Muito bom;;;8
8 de março de 2025;Fantástico;;;9
5 de março de 2025;Fantástico;;;9
21 de fevereiro de 2025;Satisfatório;;;6
20 de fevereiro de 2025;Muito bom;;;8
20 de fevereiro de 2025;Fantástico;;;9
13 de fevereiro de 2025;Satisfatório;;;6
10 de fevereiro de 2025;Fantástico;;;9
3 de fevereiro de 2025;Satisfatório;;;6
3 de fevereiro de 2025;Muito bom;;;8
28 de janeiro de 2025;Satisfatório;;;6
16 de janeiro de 2025;Bom;;;7
15 de janeiro de 2025;Muito bom;;;8
10 de janeiro de 2025;Muito bom;;;8
7 de janeiro de 2025;Muito bom;;;8
6 de janeiro de 2025;Bom;;;7
3 de janeiro de 2025;Muito bom;;;8
3 de janeiro de 2025;Fantástico;;;9
29 de dezembro de 2024;Muito bom;;;8
26 de dezembro de 2024;Muito bom;;;8
26 de dezembro de 2024;Bom;;;7
24 de dezembro de 2024;Muito bom;;;8
22 de dezembro de 2024;Satisfatório;;;6
21 de dezembro de 2024;Muito bom;;;8
16 de dezembro de 2024;Satisfatório;;;6
9 de dezembro de 2024;Muito bom;;;8
5 de dezembro de 2024;Muito bom;;;8
5 de dezembro de 2024;Ótima estadia, custo benefício maravilhoso, indico e voltaria novamente a me hospedar no suite residence;;;9
24 de novembro de 2024;Muito bom;;;8
22 de novembro de 2024;Muito bom;;;8
19 de novembro de 2024;Muito bom;;;8
19 de novembro de 2024;Muito bom;;;8
6 de novembro de 2024;Muito bom;;;8
5 de novembro de 2024;Bom;;;7
4 de novembro de 2024;Fantástico;;;9
2 de novembro de 2024;Muito bom;;;8
31 de outubro de 2024;Satisfatório;;;6
29 de outubro de 2024;Muito bom;;;8
29 de outubro de 2024;Muito bom;;;8
10 de outubro de 2024;Bom;;;7
4 de outubro de 2024;Muito bom;;;8
3 de outubro de 2024;Satisfatório;;;6
27 de setembro de 2024;Fantástico;;;9
23 de setembro de 2024;Bom;;;7
2 de setembro de 2024;Muito bom;;;8
1º de setembro de 2024;Fantástico;;;9
25 de agosto de 2024;Satisfatório;;;6
14 de agosto de 2024;Satisfatório;;;6
27 de julho de 2024;Bom;;;7
25 de julho de 2024;Muito bom;;;8
24 de julho de 2024;Fantástico;;;9
19 de julho de 2024;Bom;;;7
18 de julho de 2024;Muito bom;;;8
4 de julho de 2024;Bom;;;7
30 de junho de 2024;Bom;;;7
25 de junho de 2024;Bom;;;7
22 de junho de 2024;Fantástico;;;9
13 de junho de 2024;Satisfatório;;;6
11 de junho de 2024;Bom;;;7
9 de junho de 2024;Bom;;;7
1º de junho de 2024;Satisfatório;;;6
30 de maio de 2024;Fantástico;;;9
26 de maio de 2024;Satisfatório;;;6
24 de maio de 2024;Satisfatório;;;6
23 de maio de 2024;Muito bom;;;8
23 de maio de 2024;Muito bom;;;8
13 de maio de 2024;Bom;;;7
10 de maio de 2024;Fantástico;;;9
17 de abril de 2024;Muito bom;;;8
8 de abril de 2024;Muito bom;;;8
4 de abril de 2024;Satisfatório;;;6
1º de abril de 2024;Bom;;;7
1º de abril de 2024;Satisfatório;;;6
24 de março de 2024;Bom;;;7
15 de março de 2024;Bom;;;7
7 de março de 2024;Muito bom;;;8
2 de março de 2024;Bom;;;7
29 de fevereiro de 2024;Fantástico;;;9
28 de fevereiro de 2024;Muito bom;;;8
26 de fevereiro de 2024;Fantástico;;;9
26 de fevereiro de 2024;Bom;;;7
20 de fevereiro de 2024;Muito bom;;;8
19 de fevereiro de 2024;Muito bom;;;8
15 de fevereiro de 2024;Fantástico;;;9
9 de fevereiro de 2024;Bom;;;7
6 de fevereiro de 2024;Bom;;;7
6 de fevereiro de 2024;Muito bom;;;8
3 de fevereiro de 2024;Bom;;;7
1º de fevereiro de 2024;Muito bom;;;8
30 de janeiro de 2024;Muito boa;;;7
20 de janeiro de 2024;Fantástico;;;9
20 de janeiro de 2024;Muito bom;;;8
15 de janeiro de 2024;Muito bom;;;8
13 de janeiro de 2024;Satisfatório;;;6
12 de janeiro de 2024;Muito bom;;;8
2 de janeiro de 2024;Satisfatório;;;6
1º de janeiro de 2024;Satisfatório;;;6
29 de dezembro de 2023;Fantástico;;;9
23 de dezembro de 2023;Bom;;;7
19 de dezembro de 2023;Bom;;;7
18 de dezembro de 2023;Satisfatório;;;6
16 de dezembro de 2023;Fantástico;;;9
10 de dezembro de 2023;Muito bom;;;8
10 de novembro de 2023;Bom;;;7
10 de novembro de 2023;Muito bom;;;8
9 de novembro de 2023;Muito bom;;;8
8 de novembro de 2023;Muito bom;;;8
5 de novembro de 2023;Muito bom;;;8
28 de outubro de 2023;Bom;;;7
25 de outubro de 2023;Fantástico;;;9
18 de outubro de 2023;Muito bom;;;8
18 de outubro de 2023;Muito bom;;;8
17 de outubro de 2023;Bom;;;7
16 de outubro de 2023;Bom;;;7
16 de outubro de 2023;Muito bom;;;8
12 de outubro de 2023;Fantástico;;;9
10 de outubro de 2023;Bom;;;7
5 de outubro de 2023;Muito bom;;;8
19 de setembro de 2023;Bom;;;7
16 de setembro de 2023;Muito bom;;;8
29 de agosto de 2023;Satisfatório;;;6
29 de agosto de 2023;Fantástico;;;9
12 de agosto de 2023;Muito bom;;;8
9 de agosto de 2023;Muito bom;;;8
29 de julho de 2023;Fantástico;;;9
22 de julho de 2023;Bom;;;7
19 de julho de 2023;Muito bom;;;8
16 de julho de 2023;Satisfatório;;;6
11 de julho de 2023;Bom;;;7
11 de julho de 2023;Fantástico;;;9
1º de julho de 2023;Fantástico;;;9
25 de junho de 2023;Muito bom;;;8
23 de junho de 2023;Satisfatório;;;6
19 de junho de 2023;Muito bom;;;8
18 de junho de 2023;Muito bom;;;8
15 de junho de 2023;Fantástico;;;9
14 de junho de 2023;Muito bom;;;8
12 de junho de 2023;Muito bom;;;8
6 de junho de 2023;Satisfatório;;;6
15 de maio de 2023;Muito bom;;;8
12 de maio de 2023;Fantástico;;;9
9 de maio de 2023;Muito rápido;;;7
6 de maio de 2023;Satisfatório;;;6
2 de maio de 2023;Muito bom;;;8
2 de maio de 2023;Muito bom;;;8
19 de abril de 2023;Fantástico;;;9
9 de abril de 2023;Bom;;;7
29 de março de 2023;Satisfatório;;;6
13 de março de 2023;Muito bom;;;8
7 de março de 2023;Satisfatório;;;6
7 de março de 2023;Muito bom;;;8
27 de fevereiro de 2023;Bom;;;7
23 de fevereiro de 2023;Fantástico;;;9
13 de fevereiro de 2023;Muito bom;;;8
10 de fevereiro de 2023;Fantástico;;;9
10 de fevereiro de 2023;Muito bom;;;8
31 de janeiro de 2023;Muito bom;;;8
29 de janeiro de 2023;Bom;;;7
27 de janeiro de 2023;Fantástico;;;9
23 de janeiro de 2023;Fantástico;;;9
21 de janeiro de 2023;Bom;;;7
10 de janeiro de 2023;Fantástico;;;9
10 de janeiro de 2023;Bom;;;7
7 de janeiro de 2023;Bom;;;7
5 de janeiro de 2023;Muito bom;;;8
28 de dezembro de 2022;Muito bom;;;8
23 de dezembro de 2022;Bom;;;7
19 de dezembro de 2022;Bom;;;7
19 de dezembro de 2022;Bom;;;7
13 de dezembro de 2022;Muito bom;;;8
27 de novembro de 2022;Muito bom;;;8
23 de novembro de 2022;Muito bom;;;8
20 de novembro de 2022;Bom;;;7
15 de novembro de 2022;Muito bom;;;8
11 de novembro de 2022;Muito bom;;;8
8 de novembro de 2022;Bom;;;7
31 de outubro de 2022;Muito bom;;;8
26 de outubro de 2022;Muito bom;;;8
23 de outubro de 2022;Muito bom;;;8
14 de outubro de 2022;Bom;;;7
14 de outubro de 2022;Fantástico;;;9
11 de outubro de 2022;Bom;;;7
11 de outubro de 2022;Bom;;;7
23 de setembro de 2022;Fantástico;;;9
21 de setembro de 2022;Muito bom;;;8
21 de setembro de 2022;Muito bom;;;8
19 de setembro de 2022;Muito bom;;;8
8 de setembro de 2022;Muito bom;;;8
4 de setembro de 2022;Muito bom;;;8
3 de setembro de 2022;Fantástico;;;9
2 de setembro de 2022;Muito bom;;;8
13 de agosto de 2022;Bom;;;7
12 de agosto de 2022;Fantástico;;;9
9 de agosto de 2022;Bom;;;7
6 de agosto de 2022;Bom;;;7
29 de julho de 2022;Satisfatório;;;6
9 de julho de 2022;Bom;;;7
6 de julho de 2022;Muito bom;;;8
1º de junho de 2022;Muito bom;;;8
26 de maio de 2022;Fantástico;;;9
17 de maio de 2022;Satisfatório;;;6
12 de maio de 2022;Muito bom;;;8
27 de abril de 2022;Muito bom;;;8
24 de março de 2025;Excepcional;;;10
10 de março de 2025;Excepcional;;;10
19 de fevereiro de 2025;Decepcionante;;;4
11 de fevereiro de 2025;Excepcional;;;10
30 de janeiro de 2025;Excepcional;;;10
30 de janeiro de 2025;Ruim;;;3
26 de janeiro de 2025;Excepcional;;;10
20 de janeiro de 2025;Excepcional;;;10
19 de janeiro de 2025;Atenciosos;;;10
7 de janeiro de 2025;Excepcional;;;10
6 de janeiro de 2025;Excepcional;;;10
5 de janeiro de 2025;Excepcional;;;10
2 de janeiro de 2025;Excepcional;;;10
2 de janeiro de 2025;Excepcional;;;10
30 de dezembro de 2024;Decepcionante;;;4
27 de dezembro de 2024;Excepcional;;;10
24 de dezembro de 2024;Excepcional;;;10
22 de dezembro de 2024;Péssimo;;;1
16 de dezembro de 2024;Aceitável;;;5
16 de dezembro de 2024;Excepcional;;;10
9 de dezembro de 2024;Excepcional;;;10
5 de dezembro de 2024;Aceitável;;;5
4 de dezembro de 2024;Excepcional;;;10
28 de novembro de 2024;Aceitável;;;5
23 de novembro de 2024;Excepcional;;;10
8 de novembro de 2024;Excepcional;;;10
3 de novembro de 2024;Excepcional;;;10
1º de novembro de 2024;Excepcional;;;10
27 de outubro de 2024;Excepcional;;;10
18 de outubro de 2024;Excepcional;;;10
8 de outubro de 2024;Excepcional;;;10
27 de setembro de 2024;Excepcional;;;10
24 de setembro de 2024;Excepcional;;;10
20 de setembro de 2024;Excepcional;;;10
20 de setembro de 2024;Excepcional;;;10
18 de setembro de 2024;Excepcional;;;10
31 de agosto de 2024;Muito ruim;;;2
30 de agosto de 2024;Decepcionante;;;4
21 de agosto de 2024;Decepcionante;;;4
19 de agosto de 2024;Excepcional;;;10
22 de julho de 2024;Excepcional;;;10
22 de julho de 2024;Excepcional;;;10
13 de julho de 2024;Excepcional;;;10
6 de julho de 2024;Excepcional;;;10
2 de julho de 2024;Excepcional;;;10
1º de julho de 2024;Excepcional;;;10
30 de junho de 2024;Excepcional;;;10
25 de junho de 2024;Excepcional;;;10
3 de junho de 2024;Aceitável;;;5
11 de abril de 2024;Excepcional;;;10
19 de março de 2024;Aceitável;;;5
19 de março de 2024;Excepcional;;;10
22 de fevereiro de 2024;Péssimo;;;1
17 de fevereiro de 2024;Péssimo;;;1
15 de fevereiro de 2024;Excepcional;;;10
15 de fevereiro de 2024;Excepcional;;;10
14 de fevereiro de 2024;É uma opção pra quem precisa passar uma noite perto do aeroporto.;;;5
8 de fevereiro de 2024;Decepcionante;;;4
26 de janeiro de 2024;Excepcional;;;10
19 de janeiro de 2024;Excepcional;;;10
12 de janeiro de 2024;Decepcionante;;;4
6 de janeiro de 2024;Excepcional;;;10
23 de dezembro de 2023;Aceitável;;;5
12 de dezembro de 2023;Excepcional;;;10
1º de dezembro de 2023;Ruim;;;3
29 de novembro de 2023;Excepcional;;;10
19 de novembro de 2023;Excepcional;;;10
18 de novembro de 2023;Péssimo;;;1
14 de novembro de 2023;Aceitável;;;5
10 de novembro de 2023;Aceitável;;;5
17 de outubro de 2023;Excepcional;;;10
2 de outubro de 2023;Aceitável;;;5
2 de outubro de 2023;Excepcional;;;10
1º de outubro de 2023;Excepcional;;;10
10 de setembro de 2023;Aceitável;;;5
7 de setembro de 2023;Aceitável;;;5
26 de agosto de 2023;Excepcional;;;10
14 de agosto de 2023;Excepcional;;;10
14 de agosto de 2023;Excepcional;;;10
14 de agosto de 2023;atendimento ao cliente, TOP;;;10
10 de agosto de 2023;Excepcional;;;10
26 de julho de 2023;Ruim;;;3
14 de julho de 2023;Aceitável;;;5
11 de julho de 2023;Excepcional;;;10
5 de junho de 2023;Excepcional;;;10
12 de maio de 2023;Excepcional;;;10
3 de maio de 2023;Aceitável;;;5
2 de abril de 2023;Excepcional;;;10
28 de março de 2023;Aceitável;;;5
17 de março de 2023;Excepcional;;;10
13 de março de 2023;Excepcional;;;10
26 de fevereiro de 2023;Muito ruim;;;2
14 de fevereiro de 2023;Decepcionante;;;4
9 de fevereiro de 2023;Excepcional;;;10
24 de janeiro de 2023;Aceitável;;;5
21 de janeiro de 2023;Péssimo;;;1
18 de janeiro de 2023;Ruim;;;3
15 de janeiro de 2023;Excepcional;;;10
2 de janeiro de 2023;Excepcional;;;10
2 de janeiro de 2023;Excepcional;;;10
29 de dezembro de 2022;Excepcional;;;10
18 de dezembro de 2022;Excepcional;;;10
15 de novembro de 2022;Excepcional;;;10
14 de novembro de 2022;Decepcionante;;;4
21 de outubro de 2022;Ruim;;;3
19 de outubro de 2022;Decepcionante;;;4
9 de outubro de 2022;Excepcional;;;10
21 de setembro de 2022;Aceitável;;;5
24 de agosto de 2022;Excepcional;;;10
24 de agosto de 2022;Excepcional;;;10
9 de agosto de 2022;Excepcional;;;10
26 de junho de 2022;Excepcional;;;10
10 de junho de 2022;Excepcional;;;10
26 de maio de 2022;Excepcional;;;10
6 de abril de 2022;Muito ruim;;;2
15 de novembro de 2023;Muito bom;;;8
9 de novembro de 2023;Fantástico;;;9
7 de maio de 2023;Muito bom;;;8
26 de julho de 2022;Fantástico;;;9
26 de maio de 2022;Fantástico;;;9
9 de outubro de 2022;Excepcional;;;10
22 de agosto de 2022;Excepcional;;;10
10 de março de 2025;Bom;;;7
28 de fevereiro de 2025;Bom;;;7
28 de fevereiro de 2025;Muito bom;;;8
27 de janeiro de 2025;Muito bom;;;8
27 de janeiro de 2025;Bom;;;7
8 de dezembro de 2024;Muito bom;;;8
4 de novembro de 2024;Satisfatório;;;6
22 de outubro de 2024;Satisfatório;;;6
16 de setembro de 2024;Fantástico;;;9
6 de maio de 2024;Muito bom;;;8
3 de março de 2024;Fantástico;;;9
17 de dezembro de 2023;Fantástico;;;9
28 de setembro de 2023;Fantástico;;;9
10 de julho de 2023;Muito bom;;;8
20 de dezembro de 2022;Bom;;;7
17 de novembro de 2022;Bom;;;7
15 de fevereiro de 2025;Aceitável;;;5
21 de maio de 2024;Excepcional;;;10
3 de janeiro de 2023;Excepcional;;;10
14 de março de 2025;Bom;;;7
21 de fevereiro de 2025;Muito bom;;;8
17 de fevereiro de 2025;Fantástico;;;9
16 de fevereiro de 2025;Muito bom;;;8
11 de fevereiro de 2025;Fantástico;;;9
10 de fevereiro de 2025;Muito bom;;;8
5 de fevereiro de 2025;Muito bom;;;8
8 de janeiro de 2025;Bom;;;7
22 de setembro de 2024;Bom;;;7
30 de agosto de 2024;Fantástico;;;9
12 de agosto de 2024;Bom;;;7
29 de maio de 2024;Satisfatório;;;6
5 de março de 2024;Bom;;;7
4 de fevereiro de 2024;Muito bom;;;8
26 de outubro de 2023;Bom;;;7
18 de setembro de 2023;Bom;;;7
6 de agosto de 2023;Muito bom;;;8
31 de maio de 2023;Muito bom;;;8
18 de abril de 2023;Fantástico;;;9
24 de março de 2023;Muito bom;;;8
18 de março de 2023;Fantástico;;;9
6 de março de 2023;Satisfatório;;;6
25 de fevereiro de 2023;Satisfatório;;;6
7 de fevereiro de 2023;Bom;;;7
18 de janeiro de 2023;Satisfatório;;;6
7 de setembro de 2022;Muito bom;;;8
11 de março de 2025;Excepcional;;;10
7 de fevereiro de 2025;Aceitável;;;5
6 de fevereiro de 2025;Aceitável;;;5
13 de novembro de 2023;Decepcionante;;;4
20 de março de 2023;Excepcional;;;10
22 de outubro de 2022;Aceitável;;;5
18 de setembro de 2022;Aceitável;;;5
1º de setembro de 2022;Aceitável;;;5
20 de agosto de 2023;Bom;;;7
