data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;
29 de março de 2024;Alô Booking, Jaboatão não é Recife.;As equipes de atendimento e de limpeza são muito educadas e prestativas. Sempre dão boas dicas de passeios e lugares, preste atenção neles para visitar os melhores lugares com segurança.;Apesar da equipe se esforçar, o quarto cheira coisa velha. Pedi vista para o mar e tinha, atrás de postes e dezenas de fios elétricos da rua. Eu nunca vi um hotel não oferecer toalhas de rosto, só de banho. Café da manhã sofrível. Aliás, os hotéis de Recife não valorizam a culinária local, não se vê um bolo de rolo ou um bolo Souza Leão, uma rapadura, enfim, no máximo uma tapioca. Poderia dizer que está bom, para o preço que cobra, mas ficamos em dois outros hotéis de mesma categoria (***) e esse ficou atrás dos outros dois. Até a localização não bateu, já que o Booking outra vez nos jogou para Jaboatão de Guararapes. Alô, Booking. Jaboatão não é Recife. Uma pena.;4;;;;;
24 de março de 2024;Não é um local que pretendo voltar. Café da manhã com pouca variedade, fiz um pedido e não trouxeram. Esta precisando de;Apenas a limpeza;Cama e travesseiros desconfortável , toalha encardida e o ar ao gelava bem.;5;;;;;
22 de março de 2024;Excepcional;tudo;;10;;;;;
10 de março de 2024;Excepcional;Organização e limpa;;10;;;;;
9 de março de 2024;Lamentável, acontecer isso, numa Cidade tão agradável.;As instalações e a localização.;No atendimento da Recepção, sobre um assunto do café da manhã.;;;;;;
Totalmente despreparada.;;;;;;;;;
Sua contra essa filosofia; de que o “cliente” sempre tem razão; mas a pessoa em momento algum buscou reparar a situação; provocada por dois funcionários; responsáveis pelo atendimento; nas instalações do café da manhã.;;;;
Lamentável; pois eu tenho 78 anos e minha esposa 72 anos; e fomos tratados com indiferença; quando deveriam entender ou serem orientados;" de que o emprego deles é decorrente de nossa necessidade de hospedagem.""";3;;;;
9 de março de 2024;Excepcional;Os funcionários são muito educados, o hotel tem vista para mar.;Excelente café da manhã!;10;;;;;
1º de março de 2024;Não gostei porque a principal indicação era o Café da manhã, que estava péssimo durante a minha esta;Localização apenas.;Café da manhã precário e funcionarios antipáticos. Não valeu o que paguei.;6;;;;;
19 de fevereiro de 2024;Tudo muito bom;Gostei da localização e café da manhã.;;10;;;;;
14 de fevereiro de 2024;Excepcional;Cama confortável, ar gelando, banheiro legal;;10;;;;;
5 de fevereiro de 2024;Decepcionante;;Atendimento da funcionária Jéssica péssimo , tive um probleminha com a internet do local que não pegava no apartamento onde eu estava , quando fui reclama , a msm mim disse que internet era cortesia.;4;;;;;
30 de janeiro de 2024;Satisfatório;Hotel fica próximo ao aeroporto;Não tem muitas opções gastronômicas próximo ao hotel;6;;;;;
25 de janeiro de 2024;Excepcional;Foi tudo de acordo com minhas expectativas;Tudo tranquilo;10;;;;;
22 de janeiro de 2024;Excepcional;Tudo;Nada;10;;;;;
21 de janeiro de 2024;Fotos aparentam ser melhor do que de fato é;Localização;O banheiro cheirava mofo e tinha uma máquina fazendo barulho na janela 24/7. Além disso a maçaneta estava quebrada e quase ficamos trancados pelo lado de dentro. O café da manhã não impressionou e a torradeira estava nojenta de suja, realmente não dava para usar.;4;;;;;
20 de janeiro de 2024;Foi razoável, como foi apenas para passar a noite e voltarmos para casa, mas o café da manhã precisa melhorar.;Os quartos e banheiro;O café da manhã, pedimos uma tapioca que demorou 30 minutos e tivemos que ir embora sem comer;5;;;;;
16 de janeiro de 2024;Excepcional;Atendimento, limpeza, tamanho do quarto, café da manhã.;Não tenho nada a reclamar.;10;;;;;
14 de janeiro de 2024;Péssima estadia - preço caro e serviço horrível;A localização do hotel é frente pro mar e nesse ponto é bom. Não é tão distante da pracinha de Boa Viagem, Recife. E, nesse aspecto, é ponto positivo para o estabelecimento.;Café da manhã horrível, sem opções e não condiz com o preço alto aplicado. Limpeza deixa a desejar uma vez que a única vez que foi solicitado o serviço o funcionário (a) responsável sequer trocou as toalhas e nem deixou os sabonetes. Nesse aspecto, o preço caro da diária deveria ser fornecido pelo menos sabonetes, shampoo e outros mimos que costumeiramente se encontra nos hotéis. O pão do café da manhã tinha aspecto de ontem (diontem). Ou seja, velho e duro. Queijo, frutas, etc, quase nulo. Enfim, uma miséria total o café da manhã. No quarto havia uma mesa que parecia mais a da távola redonda. Não sei pra quê mesa desproporcional. A janela do quarto não vejava e causava insegurança. Como é costumeiro todos hotéis fornecem café de cortesia para os hóspedes. Nesse hotel não há isso. Se quiser tu terás de comprar. Pelo preço que se paga isso era um ponto que cativaria. Mas, enfim.;5;;;;;
14 de janeiro de 2024;Razoável;A proximidade com a beira mar.;Toalhas encardidas parece do pano de chao. Camas com colchao antigo, os paes do cafe da manha muito ruins. Barulho de aeronaves .;6;;;;;
13 de janeiro de 2024;Razoável;Da localização;Nos colocaram em um quarto no qual, no teto do banheiro, tinha um buraco no gesso com uma goteira que tentaram reparar com papel A4... claro que não adiantou, o banheiro estava alagado e a goteira a todo vapor.;;;;;;
"Lamentável!!!""";4;;;;;;;;
12 de janeiro de 2024;Satisfatório;Localização, café da manhã.;Wi-Fi não funcionava no meu quarto, e não tinha agua quente no chuveiro;6;;;;;
7 de janeiro de 2024;Não recomendo!;Localização;Na recepção e na área que é servido o café da manhã, um calor insuportável. Ar condicionado quebrado, segundo eles. Os dois dias que estávamos lá não vimos ninguém tentando consertar.;;;;;;
Chegamos às 14h e o quarto só foi liberado às 15h; pq; segundo eles; os hóspedes que estavam no quarto atrasou a saída e por este motivo o quarto não estava pronto. Detalhe; além de estar com um bebê de 7 meses eu havia um escolhido me hospedar neste hotel pq era o dia do casamento do meu sobrinho e havia contratado uma pessoa que iria fazer a maquiagem e cabelo. Cheguei em cima da hora no evento. Falei com a recepcionista para fazer o check-out mais tarde; ao invés de 12h; sair às 13h; assim compensava o horario que ru havia perdido; mas ela disse que não era possível; pois o hotel estava lotado. Enfim .... mas não parou por aí. 
Café da manhã deixou muito a desejar; inclusive o pãozinho francês estava queimado embaixo e duro feito pedra. Ou seja; era pão velho que esquentaram no forno ou outro equipamento. O quarto achei um tamanho muito bom; limpinho; porém o colchão péssimo. ;;;;;
"Péssima experiência! Não recomendo.""";3;;;;;;;;
4 de janeiro de 2024;Custo benefício;Localização muito boa.;O ar-condicionado do nosso quarto não gelava, a gente dormindo a funcionária vem bater na porta pra deixar toalha sendo que o certo é deixar antes do hóspede entrar! Lençol da cama que meu filho foi dormir tava mal lavado tinha mancha como fosse de sangue. A única coisa boa dessa hospedagem foi o pessoal da recepção e localização do hotel.;5;;;;;
29 de dezembro de 2023;Excepcional;Gostei bastante nossa estadia foi ótima, gostamos da localização o café poderia ser mais variado mais também era bom no geral foi ótima nossa estadia.;;10;;;;;
20 de dezembro de 2023;Não voltarei a me hospedar nesse hotel e não recomendo.;Pra falar a verdade eu não gostei de nada nessa hospedagem.;As camas são desconfortáveis, lençóis velhos, quarto muito antigo, longe de tudo (mercado, farmácia), localizado numa praia onde ataque de tubarões acontecem, ar condicionado demora a esfriar o quarto, café da manhã muito ruim.;3;;;;;
15 de dezembro de 2023;eu voltarei, muito obrigado.;O respeito com seus hóspedes e, o cuidados com as crianças, quanto à documentação, fato constatado pessoalmente.;Recife é a nossa Veneza brasileira ainda.;10;;;;;
11 de dezembro de 2023;Vale a estadia curta.;Localização está na praia onde não pode entrar por causa dos tubarões e não há nada a fazer a esse respeito. Café da manhã estava bom no segundo dia, pois no primeiro, como fui tarde, já não tinha muitas opções.;;;;;;;
Infelizmente cheguei de madrugada e me colocaram em um quarto que não havia sido arrumado!!! A cama estava bagunçada e havia toalha molhada pendurada na porta do banheiro. Um descuido certamente; mas um incomodo;" já que tive de trocaar de quarto.""";Me colocaram em um quarto dessarumado e com toalha molhada pendurada na porta do banheiro.;4;;;;;
11 de dezembro de 2023;Excepcional;Gostei da localização na fronteira de Boa Viagem e Piedade. O atendimento dos funcionários é de alto padrão, fomos muito bem recebidos e o check in foi realizado de imediato muito antes das 14 horas. O quarto com vista para o mar é de tirar o fôlego, bom para uma estádia romântica. Voltarei outras vezes!;;10;;;;;
10 de dezembro de 2023;Excepcional;Excelente hotel, café da manhã top ,voltarei em breve;;10;;;;;
5 de dezembro de 2023;Razoável, falta investimento em ar condicionado na recepção e no atendimento ao cliente pela equipe;Café da manhã muito bom. Hotel legal, reservado, local calmo, apenas percebe-se que não tem havido investimento nos recursos humanos - pessoal não é acolhedor, atento ao cliente, mal humorados na recepção e pouco profissionais, tentei fazer passeios e não tive nenhum apoio ne demosntraram interesse. Falta motivação e treinamento. As mulheres da limpeza são ótimas, mas falta treinamento para atendimento ao público, preservar o silêncio, evitar uso de celular e falar alto, opodem ser mais profissionais, pensando no hóspede, que vem para trabalhar ou descansar e evitar barulho e incômodo.;;;;;;;
Visivelmente não tem havido investimento no hotel. Sem ar condicionado na recepção;" esperar um uber ou ficar na recepção é impossível.""";Acima;6;;;;;;
30 de novembro de 2023;Desorganização e local perigoso.;Café da manhã;Mudança de quarto durante a estadia e um par de chinelos que sumiu do quarto e não deram a devida atenção.;5;;;;;
27 de novembro de 2023;Decepcionante;Apenas 1 dia estava bom.;Boa vontade dos funcionários, especialmente da recepção. Fiz as reservas pelo booking, um triplo e dois duplos, ao fazer o checkin, fui surpreendida que os duplos eram single. Entretanto, a tarifa do single luxo era a mesma do duplo standard, não percebemos disponibilidade em resolver.;4;;;;;
17 de novembro de 2023;Decepcionante;Da vista da praia apenas.;Quarto sujo, extremamente pequeno, café da manhã tudo era mal feito. Não pela simplicidade, mas pelo serviço mal feito. Sem ar condicionado no restaurante.;4;;;;;
15 de novembro de 2023;Tudo ótimo. Voltaria com certeza.;Limpo e confortável;Nada;10;;;;;
12 de novembro de 2023;Péssimo;;Limpeza precária, café da manhã ruim, quarto mofado - apesar de avisarmos que somos alérgicos- camas, lençóis, toalhas e travesseiros muito velhos, luz do quarto insuficiente, não há estacionamento seguro.;1;;;;;
10 de novembro de 2023;Ruim;;Do café da manhã, bolos embatumados, frios expostos, o presunto parecia velho, nem tive coragem de pegar. O suco em recipiente de plástico parecia sujo. O pão era amanhecido e a manteiga num pote em cima do balcão. O funcionário jogou a água da panela de mandioca pela janela do hotel, nunca vi coisa igual. Pra um hotel três estrelas precisa melhorar muito.;3;;;;;
10 de novembro de 2023;Esplêndida!;Localização, atendimento, café da manhã e principalmente a limpeza impecável.;Nada;10;;;;;
7 de novembro de 2023;Somente para um dia mesmo.;Localização, cama e limpeza.;Chuveiro, travesseiro e café da manhã.;6;;;;;
4 de novembro de 2023;Mofo e colchão terrivel;Café da manhã bom;Hotel tem um cheiro TERRÍVEL de mofo. Em todos os lugares;;;;;;
O colchão da cama é péssimo. Muito velho e já está parecendo uma bacia;;;;;;;;;
Pessima estadia. ;;;;;;;;;
Se não quer errar; tem mesmo é que ficar em um íbis. Simples;" porém vc já sabe o que esperar""";5;;;;;;
4 de novembro de 2023;Excepcional;Ótima localização, funcionários educados e atenciosos, e café da manhã delicioso.;;10;;;;;
22 de outubro de 2023;Excepcional;Conforto;Hotel informa ter estacionamento, porém os carros ficam na rua.;10;;;;;
17 de outubro de 2023;Satisfatório;localização;toalhas manchadas;6;;;;;
2 de outubro de 2023;falta pouco pra ser bom.;café da manhã.;Internet não presta, não há estacionamento, quartos pequenos.;6;;;;;
30 de setembro de 2023;Bom;Hotel;Localizacao;10;;;;;
28 de setembro de 2023;Excepcional;Da localização, da vista , camas muito boa ! Cafe da manhã muito bom !;A Internet não é boa;10;;;;;
26 de setembro de 2023;Dias ótimos;Tudo, lindo, limpo e confortável;Não tem o que não gostei;10;;;;;
25 de setembro de 2023;Muito boa;Paisagem do café da manhã, proximidade da praia o espaço excelente;;10;;;;;
25 de setembro de 2023;Excepcional;O conforto e o atendimento, excelente!;Um pouco distante!;10;;;;;
23 de setembro de 2023;Excelente custo-benefício à beira mar.;O atendimento dos funcionários, custo-benefício e localização.;As toalhas disponibilizadas são de péssima qualidade. Talvez por serem velhas. Não condiz com a categoria do hotel.;10;;;;;
18 de setembro de 2023;Esperava mais!;O café da manhã é ótimo!;Barulho muito auto do ar , cama de mola e os colchões muito mole, desconfortável!;5;;;;;
15 de setembro de 2023;Tudo bom;Conforto e com vista pro mar;;10;;;;;
14 de setembro de 2023;Excepcional;Café da manhã muito bom (com uma vista muito boa, da beira-mar), quarto confortável, espaçoso, bem iluminado (mas com cortinas blackout), banheiro ótimo: Chuveiro quente e forte!;Acho que a vigilancia na entrada deixa um pouco a desejar;10;;;;;
28 de agosto de 2023;Aceitável;atendimento;limpeza , toalhas , móveis;5;;;;;
21 de agosto de 2023;Pelas fotos parecia muito melhor;localização boa;café da manhã bem ruim e quartos com cheiro de mofo;5;;;;;
7 de agosto de 2023;Foi ótimo;sim, ótimo;Fiquei satisfeito;10;;;;;
4 de agosto de 2023;Excepcional;A localização é excelente, o café da manhã deliciosoooo! A estrutura é limpa confortável, e os funcionários muito atenciosos.;;10;;;;;
27 de julho de 2023;TOP;;O Wi-fi é ruim, mas muito Ruim mesmo, unico ponto negativo.;10;;;;;
26 de julho de 2023;Foi tranquila ! Ficamos uma noite e próximo ao aeroporto e custo benefício;Quarto grande para família ! ;;;;;;;
"Banheiro também""";Não tenho que reclamar;10;;;;;;;
25 de julho de 2023;Excepcional;Hotel muito bom, café da manhã poderia ser mais diverso, mas agrada a todo mundo. Ficamos num quarto com uma vista linda para o mar. A localização é muito boa. O atendimento excelente.;;10;;;;;
23 de julho de 2023;Excelente custo-benefício;Localização sensacional, à beira-mar, próxima de alguns pontos de interesse (restaurante, shopping, quiosques), preço acessível, atendimento excelente. O café da manhã tem as tradicionais opções e também comidas regionais e é compatível com as ofertas do hotel. É muito prazeroso tomar o café com o mar à vista.;Especialmente à noite, fiquei com uma sensação de insegurança, apesar do lindo lugar. Eu não facilitaria ou me exporia com receio de ações de bandidos oportunistas.;10;;;;;
21 de julho de 2023;Excepcional;;café poderia ser melhorado....as pessoas da cozinha parece que somem para não fazer as tapiocas;10;;;;;
21 de julho de 2023;Muito ruim;;O café da manhã péssimo não tem reposição não tem ninguém no salão para nós atender no segundo dia de hospedagem não tinha mas nada apenas fruta horrível o atendimento com o hóspede;2;;;;;
18 de junho de 2023;mais atenção;local;vaso estragado / quarto fedendo;5;;;;;
16 de junho de 2023;Excepcional;Localização;;10;;;;;
15 de junho de 2023;Poderia ter um café da manhã com pães do dia, poderia ter pão de queijo;Frente mar;Café da manhã simples.;;;;;;
"Ralo do chuveiro entupido.""";6;;;;;;;;
5 de junho de 2023;Péssimo;;as funcionárias mal educadas ;;;;;;
falávamos com elas ;;;;;;;;;
pra saber de alguma informação elas nos ignoravam;a limpeza pessima ;;;;;;;;
"nao recomendo""";1;;;;;;;;
3 de junho de 2023;não voltarei, infelizmente;café da manhã ruim,localização relativamente próxima ao aeroporto.;hotel em obras, sem restaurante, tive que pedir ifood. Sem as amenities mínimas de um hotel: sem shampoo, sem touca de banho e secador de cabelo muito ruim. Manutenção ruim;5;;;;;
27 de maio de 2023;Maravilhoso;vista Lindaaaa ;;;;;;;
Preço acessível ;;;;;;;;;
"café maravilhoso""";Não tem nenhum tipo de lanche ou algo do tipo caso o hóspede queira!!!;10;;;;;;;
26 de maio de 2023;Não volto mais;Nada;Falta de acordo. Sai na quinta-feira, antes 1 dia do previsto e tentei um acordo para ficar a diária não usada para posterior e não fui atendido. Fui informado que a booking não autorizava.;6;;;;;
23 de maio de 2023;Aceitável;Localização e aceitável;No café da manhã e ruim falta opção comida não;;;;;;
" tem área lazer pra criança não tem academia e Men piscina""";5;;;;;;;;
21 de maio de 2023;Aceitável;;Não gostei porque não tive serviço de quarto;5;;;;;
18 de maio de 2023;Não condiz com a realidade;A localização e presteza dos funcionários.;O banheiro exalando um mal cheiro que ao entrar no quarto se nota. Tolhas com cheiro muito forte do produto utilizado para higienizar (não era cheiro bom). O café da manhã muito diferente do apresentado nas fotos. Os alimentos descobertos, com moscas pousando em tudo, pão ruim, etc. Totalmente fora do esperado. PS. Que esta avaliação possa ser usada para melhorar as condições de atendimento do hotel e não são dirigidas aos colaboradores.;4;;;;;
16 de maio de 2023;Satisfatório;O meu interesse principal era que fosse próximo ao aeroporto, e é bem próximo, então quanto a isso é ok.;;;;;;;
" A vista do quarto é bonita (mar).""";Ar condicionado extremamente barulhento, não conseguimos dormir, e o café da manhã com pouca variedade. ;;;;;;;;
"Achamos os corredores do hotel muito escuros e quentes.""";6;;;;;;;;
5 de maio de 2023;Muito satisfatória.;Gostei das acomodações, do café da manhã e principalmente do atendimento, equipe muito solícita e super educada. A localização também é muito boa, bairro muito tranquilo. Faço uma observação em relação ao banheiro novinho, com boa qualidade e munido de secador de cabelos. Recomendo esse hotel. Pretendo retornar em outras ocasiões.;Apesar do café da manhã está muito saboroso, penso que poderia ter mais variedades, que eu me lembro foi nos ofertado pão francês, pão de forma e bolos, penso que poderia ter pão de queijo, biscoito de queijo e broa.;10;;;;;
27 de abril de 2023;Boa estadia, mas preocupada com a segurança. O Hotel poderia ter piscina na área defronte ao mar.;Gostamos do atendimento da recepcionista e do quarto.;Não tem estacionamento, o carro fica na rua sem segurança, apesar do hotel ter um terreno grande na parte de trás.;;;;;;
Não tem piscina;" apesar de ser defronte para o mar.""";6;;;;;;;
26 de abril de 2023;Aceitável;;café da manhã;5;;;;;
18 de abril de 2023;Satisfatório;;Havia um cheiro muito ruim no banheiro.;6;;;;;
14 de abril de 2023;Satisfatório;gostei da cama de casal;não gostei da cama de solteiro;;;;;;
cheiro de mofo;;;;;;;;;
"muito barulho de uma reforma q estão fazendo""";6;;;;;;;;
4 de abril de 2023;Super recomendado , amei esta com.vcs;Foi maravilhoso estarmos hospedados com vcs. Super indico , o valor ótimo, vista muito linda p o mar , café da manhã excelente. Funcionários bem educados e atenciosos. Quarto super confortável e limpinho.;Eu não gostei muito da cama ,poderia ser mais durinha mas é uma preferência minha.;10;;;;;
27 de março de 2023;Excepcional;Tudo;Nada;10;;;;;
26 de março de 2023;Colchao ruim é cheiro de mofo;Razoavel;Limpeza.;5;;;;;
25 de março de 2023;Péssimo;;horrível, quarto com cheiro de mofo, televisão não funciona nenhum canal, primeira e última vez.;1;;;;;
20 de março de 2023;Excepcional;Conforto, boa localização, simpatia dos funcionários e valores que cabem no bolso! ;;;;;;;
"Super recomendo !!!""";;10;;;;;;;
17 de março de 2023;Muito ruim;Exatamente nada;;;;;;;
".""";As instalações são velhas, o hotel é bem antigo. O ar condicionado é de janela e faz muito barulho. A cama é bem desconfortável.;;;;;;;;
O café da manhã é ruim; não tem nada bom; tudo razoável. ;;;;;;;
"Não tem estacionamento fechado.""";2;;;;;;;;
16 de março de 2023;Aceitável;Localização;A água não esquentava, o telefone não funcionava, o café da manhã deixou muito a desejar, mas o pior de tudo foi a grosseria da recepcionista qua do chegamos. Dá vontade de virar as costas e ir embora assim que chega.;5;;;;;
9 de março de 2023;Ruim;Da simpatia de duas atendentes e do chuveiro;O colchão era de mola já muito usado, afundava no meio que dava para sentir o estrado da cama, o café da manhã é péssimo, não consegui comer nada, nem o café preto é bom, na recepção não tem ar condicionado e nem ventilador, um calor infernal, nola descrição dizem se localizar na praia de Boa Viagem, mas na verdade fica em Piedade, o foco de ataque de tubarões. Pedi uma colher a noite, disseram que não tinha. Não recomendo;3;;;;;
8 de março de 2023;Excepcional;A localização é ótima, próximo da feirinha de boa viagem. Quarto com vista pro mar, só atravessar a avenida está na praia. O café da manhã é muito bom, variedades de frutas e sucos. Tem cobertores macios.;O chuveiro não é muito bom.;10;;;;;
6 de março de 2023;Satisfatório;Vista do salão de refeições;Café da manhã poderia melhorar;6;;;;;
4 de março de 2023;Satisfatório;Instrutura;Localização;6;;;;;
1º de março de 2023;Irei voltar!;Excelente Café da manhã. Um pouco longe de algumas praias, mas compensatório.;Nada. Tudo perfeito!;10;;;;;
28 de fevereiro de 2023;Aceitável;A localização é muito boa. O ar condicionado é eficiente e silencioso;O ralo do chuveiro transborda, o café da manhã é apenas ok.;5;;;;;
23 de fevereiro de 2023;Hotel a Beira Mar;localização. beira mar;toalhas encardidas e velhas, café da manha deixou a desejar;6;;;;;
21 de fevereiro de 2023;decepcionante;localização;os quartos não são grandes, a cama e travesseiros não são confortáveis. café da manhã poucas opções pelo preço;4;;;;;
21 de fevereiro de 2023;muito gratificante;conforto;não ter o controle do ar;10;;;;;
20 de fevereiro de 2023;Não recomendo;Localização boa.;Não recomendo, reservei um apartamento com 3 camas de solteiro, paguei 600 reais, e me colocaram em um apartamento com cama de casal, sendo que estavamos em 3 pessoas. Depois de muito tempo, arrumaram uma bicama pro meu filho. Instalação muito velha, ar condicionado velho e barulhento, roupa de cama velha, café da manhã muito ruim, pão francês velho e muito duro. A recepção não tem ar condicionado e as portas e janelas ficam fechadas, muito quente e abafada.;1;;;;;
14 de fevereiro de 2023;Satisfatório;Em frete ao mar!;Não há opção de restaurante no hotel, e nas proximidades não há opção, todos muito distante!;6;;;;;
12 de fevereiro de 2023;Satisfatório;Gostei da resepisao dos funcionários e da funcionária q me atendeu;;6;;;;;
11 de fevereiro de 2023;Excepcional;Comididades;Tudo perfeito;10;;;;;
9 de fevereiro de 2023;Praias imprópria p banho;Gostei da instrutura e café da manhã;Longe de mercados e lanchonetes e restaurante.;10;;;;;
6 de fevereiro de 2023;Excepcional;Gostei da cama, da vista, do tamanho do quarto e do café da manhã delicioso.;O quarto é excelente só achei o ar condicionado um pouco fraco.;10;;;;;
6 de fevereiro de 2023;Excepcional;Muito bom o hotel.;O que não gostei pq não tem estacionamento.;10;;;;;
30 de janeiro de 2023;Excepcional;Tudo!;Ar Condicionado;10;;;;;
23 de janeiro de 2023;Excepcional;Localização, café da manhã variado, quartos amplos e limpos, funcionários atenciosos.;Apesar de não ter estacionamento próprio, a rua é larga e dá para deixar o carro em frente ao hotel. Fizemos assim as três noites e foi bem tranquilo.;10;;;;;
21 de janeiro de 2023;Mt bom!!!!;Adorei o hotel !!! Do jeito que mostra nas fotos , td limpo e organizado !!!;Gostei de td .;10;;;;;
17 de janeiro de 2023;Aceitável, mas caro !;Está de frente a praia e perto do shopping e restaurantes;O café da.manhã é realmente Péssimo. A água quente do banheiro não ficava quente o suficiente , era sempre fria .O hotel estava em reforma em algumas partes .;5;;;;;
15 de janeiro de 2023;Ótimo;De tudo excelente atendimento.;Estacionar.;10;;;;;
11 de janeiro de 2023;Minha estadia foi ótima!;Gostei de tudo.;;10;;;;;
8 de janeiro de 2023;Excepcional;Atendimento maravilhoso, boa localização, café da manhã delicioso e uma boa acomodação.;;10;;;;;
6 de janeiro de 2023;Excepcional;Proximidade do mar, café da manhã;Longe de comércios;10;;;;;
27 de dezembro de 2022;Excepcional;Funcionários bem atenciosos, e café da manhã bem diversificado.;Gostei de tudo;10;;;;;
19 de dezembro de 2022;Excepcional;👍;;10;;;;;
13 de dezembro de 2022;Horrível;Atendimento dos funcionários, somente.;hotel com cheiro de barata e mau cheiro horrível no banheiro que vem para o quarto. Aspecto de mau cuidado. ;;;;;;
"No café de manhã tinha uma mini barata ou outro bichinho bem parecido dentro do mingau/munguzá (mingau de milho).""";4;;;;;;;;
7 de dezembro de 2022;Aceitável;Localização;Limpeza dos quartos.;5;;;;;
29 de novembro de 2022;Dentro do esperado.;A localização e o acesso ao Hotel são muito boas.;A conservação do edifício poderia ser bem melhor, em que pese a aparência do hall ser muito boa.;;;;;;
O restaurante estava com partes interditadas; até aí tudo bem; mas entendo que essa informação deveria constar no booking. O café da manhã poderia ser um pouco mais caprichado; mas nada que desabone o que foi servido;" que estava dentro do esperado.""";6;;;;
21 de novembro de 2022;Podia ser melhor;;Quarto com poeira, café da manhã com poucas opções e sempre repetia, não tem estacionamento;1;;;;;
20 de novembro de 2022;Foi péssima! Dessa vez! Das outras não!;Quando liguei e relatei um problema...o atendente foi ótimo;Quando precisei de uma informação sobre estender a estádia... uma tal de Grazi me atendeu, mal olhou para mim... falei bom dia 2 x não respondeu... perguntei o nome dela, respondeu com tanta má vontade, que quase não ouvi! FOI DECEPCIONANTE, pois fico no hotel há mais de 15 anos... Essa foi a primeira vez que vi isso lá! Recomendo sempre para os amigos, mas me senti um nada! Precisava ficar mais umas 3 horas a mais no hotel...o hotel estava as moscas, ela disse: BEM GROSSA que: NÃO TINHA VAGA, MESMO EU PAGANDO NÃO TINHA VAGA! E SAIU! Fui no booking e paguei mais 1 diária para ficar 3 horas apenas...e olha que cheguei 12 horas depois do previsto para entrar... Ou seja havia ficado hospedado por apenas 6 horas.... Os recepcionistas foram atenciosos...mas aí veio essa tal de GRAZI e acabou com toda imagem que eu tinha do hotel! OK SEGUNDO ELA NÃO TINHA VAGA! OK! MAS E ATENÇÃO? E A EDUCAÇÃO? CADÊ? NO Restaurante a mesma coisa... SEMPRE AMEI O RESTAURANTE DO HOTEL... mas o atendimento foi péssimo.TInha acabado o leite solicitei a moça, ela disse: vou buscar... tô até agora esperando... PARECIA OUTRO HOTEL, OUTROS ADMINISTRADORES, OUTRAS PESSOAS!;4;;;;;
16 de novembro de 2022;Recomendo, com restrições.;Gostei da localização;Deixaram de arrumar meu quarto em um dia, apesar de eu ter pedido para que eles arrumassem.;;;;;;
Café da manhã sem variedade.;;;;;;;;;
"Estacionamento na rua.""";5;;;;;;;;
16 de novembro de 2022;Estadia péssima, não recomendo.;Atendimento dos funcionários muito bom.;A estrutura do hotel não é boa. Tive problemas com a água que não estava esquentando e não resolveram o problema. As paredes do hotel muito sujas. Café da manhã nada bom.;2;;;;;
5 de novembro de 2022;Satisfatório;Organização e limpeza.;Não tem estacionamento. O carro precisa ficar na rua do hotel. Não tem nenhum funcionário para acompanhar o hóspede em sua chegada ou mesmo cuidar dos carros. A rua não tem nenhuma movimentacao a noite. Aparenta ser um local perigoso e vulnerável a assaltos.;6;;;;;
31 de outubro de 2022;Eu e minha família gostamos muito . Voltarmos um dia com certeza.;Da localização limpeza atendimento;Nada a reclamar;10;;;;;
27 de outubro de 2022;Péssimo;localização;as toalhas muito suja;3;;;;;
24 de outubro de 2022;Satisfatório;Limpeza, localização;Internet ruim e o café não muda nunca,sempre a mesma coisa todos os dias;6;;;;;
19 de outubro de 2022;Excepcional;;café muito bom;10;;;;;
15 de outubro de 2022;ótimo custo benefício. indico;chuveiro do banheiro muito bom;qualidade das camas não muito boas;6;;;;;
13 de outubro de 2022;Excepcional;Limpeza excelente, funcionários atenciosos;Localização. Nada por perto.;;;;;;
"Áreas interditadas para obras sem seres informadas no site""";10;;;;;;;;
3 de outubro de 2022;Não voltaria;Localização próxima ao aeroporto e shopping;Limpeza das instalações e organização;4;;;;;
26 de setembro de 2022;ali nunca mais;funcionários;cama, barulho infernal aviões, NÃO EXISTE NADA PERTO HOTEL, wi-fi não funciona;5;;;;;
20 de setembro de 2022;Aceitável;Atendimento!;Hotel precisa melhorar mais a suas estruturas principalmente nos quartos.;5;;;;;
15 de setembro de 2022;ótimo;ambiente aconchegante, super atenciosos e a localização é ótima;;10;;;;;
4 de setembro de 2022;Satisfatório;De tudo, exceto um pequeno detalhe, quando fui tomar café pelo fato de ter chovido tava cheio de vazamentos no salão do café da manhã, mas foi lá no fundo, o salão é enorme, então tomei café no início do salão;;6;;;;;
1º de setembro de 2022;se tivesse reservado mais noites, teria trocado de hotel, por um com melhor condições para dormir.;A localização e frente a praia, e perto do aeroporto, como era nossa última noite, ficou pratico ir para o aeroporto.;NAO TEM SMART TV, somente tem tv normal sem TV a cabo. ;;;;;;
A cama Casal na verdade são duas camas de solteiro juntadas; ficando a divisória no meio; muito desconfortável. O cobertor tinha cheiro de húmido; e os travesseiros muito baixos. ;;;;;;
"o café da manhã e completo porem achamos os produtos de baixa qualidade.""";5;;;;;;;;
29 de julho de 2022;Excepcional;Tudo foi muito bom;;10;;;;;
27 de julho de 2022;;;;5;;;;;
