data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
14 de julho de 2022;Fantástico;limpeza;A janela não abria!;9;;;;;;;;
13 de julho de 2022;Bom;;café da manhã ruim;7;;;;;;;;
11 de julho de 2022;ótimo custo benefício;limpeza;nada;9;;;;;;;;
11 de julho de 2022;Alto valor por espaço reduzido.;A localização.;O quarto é muito pequeno. Padrão íbis budget, o que torna injustificável o valor ser o mesmo de hotéis com melhores quartos.;7;;;;;;;;
11 de julho de 2022;Bom hotel;Bem localizado , organizado , funcional e limpo;Atende as expectativas;8;;;;;;;;
11 de julho de 2022;Ótimo custo-benefício, planejo voltar;Funcionários solícitos e limpeza do quarto impecável;Falta edredom no quarto.;8;;;;;;;;
8 de julho de 2022;muito boa a estrutura, café da manhã razoável;muito limpo, e claro de muito bom gosto;solicitei por duas vezes a retirada dos pratos do restaurante que estavam no apartamento e não vieram recolher.;;;;;;;;;
"Opções do café da manhã muito fraco.""";9;;;;;;;;;;;
7 de julho de 2022;Hotel simples para viagens à negócios ou casais sem filhos que queiram aproveitar a cidade.;Quarto silencioso com ar condicionado. Quarto e banheiro bem limpos. Banheiro conta com um excelente chuveiro. O quarto estava muito bem arrumado. Hotel bem localizado com boa estrutura na região.;Estacionamento é péssimo, com vagas muito apertadas e ruins de estacionar. Quarto é pequeno e apertado. Cama de casal é pequena. Café da manhã é muito simples com poucas opções. Atendimento para check-in foi horrível, sendo extremamente demorado mesmo sabendo que estávamos com criança pequena.;7;;;;;;;;
7 de julho de 2022;Bom custo benefício;Café da manhã bem simples. Excelente localização;Fiquei em um quarto adaptado sem box no banheiro, então a cada banho o banheiro alagava.;8;;;;;;;;
6 de julho de 2022;Fantástico;E por do sol ;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
"Do RecifeVista""";;9;;;;;;;;;;
6 de julho de 2022;Bom custo-benefício;Instalações maravilhosas, muito confortável;Café da manhã com poucas opções ;;;;;;;;;
"Localização um pouco perigosa""";8;;;;;;;;;;;
5 de julho de 2022;Muito bom;Predio novo;Quarto apertado e café da manhã com poucas opções!;8;;;;;;;;
5 de julho de 2022;Muito bom;Quarto bem organizado, limpo, cama boa, ar condicionado bom, chuveiro bom... No geral, atende bem as expectativas.;Dificuldade em receber a nota fiscal de hospedagem. Já se passaram 5 dias e ainda não recebi. Como fui a trabalho, preciso prestar contar e não consigo.;8;;;;;;;;
5 de julho de 2022;Fantástico;;Melhorar café da manhã, com mais variedades de frutas.;9;;;;;;;;
3 de julho de 2022;Foi o suficiente para a estadia de passagem pela cidade;Conforto da cama, atendimento de forma geral;Café da manhã sempre estava em falta o itens, solicitei uma tapioca e levou mais de 20 minutos para receber.;;;;;;;;;
"O box de vidro só banheiro estava extremamente sujo""";7;;;;;;;;;;;
1º de julho de 2022;Fantástico;Tudo novo e limpo.Boa localizacao.;Fiquei decepcionada com o cafe. Os reviews falavam muito bem ,mas o cafe da manha foi bem fraco. Sem variedades. Cafe da manha era ate as 10 da manha,9:30 ja nao tinha mais nada.;9;;;;;;;;
1º de julho de 2022;Excelente;Atendimento, conforto, localização, tudo novinho. Café da manhã achei bem gostoso, levando em consideração o custo beneficio. Vale muito a pena.;As chaves ainda não estavam funcionando, acho que porque ele ainda é muito novo. E alguns canais de TV também não estavam funcionando. Poderiam ter algumas opções de canais infantis.;9;;;;;;;;
1º de julho de 2022;muito boa;limpeza e conforto;café da manhã muito simples e estacionamento;7;;;;;;;;
1º de julho de 2022;Muito bom;Localização e praticidade.;Café da manhã razoável;8;;;;;;;;
1º de julho de 2022;Limpeza e localização boas, café pouco variado e portas com problemas constantes no cartão o.;Localização e limpeza;O cartão magnético das portas não funcionou hora nenhuma, precisando dos funcionários para abrirem as portas dos quartos.;8;;;;;;;;
28 de junho de 2022;Fantástico;Conforto e limpeza;Batidas no fechamento das portas dos quartos.;;;;;;;;;
"Café da manhã pouco variado""";9;;;;;;;;;;;
28 de junho de 2022;Custo benefício muito bom e qualidade da infraestrutura também é bem adequada.;A tecnologia de segurança, café da manhã, organização. Esses três fatores fazem muita diferença na experiência.;O acesso na entrada. Poderia ter uma área coberta, pois, precisei sair do carro na chuva para acessar a recepção.;9;;;;;;;;
27 de junho de 2022;muito boa;do quarto;cafe da manhã e estacionamento pago a parte;9;;;;;;;;
27 de junho de 2022;Bom;Hotel com ótimo custo benefício para quem viaja sozinho.;O café da manhã apresentava poucos itens, além de não ter lugar para sentar (muito lotado). A rua do hotel alagava com frequência, o que acabava trazendo um mau cheiro para a acomodação.;7;;;;;;;;
27 de junho de 2022;Muito bom;;Café da manhã com pouca variedade;8;;;;;;;;
27 de junho de 2022;Muito bom;Prticidade;Preço;8;;;;;;;;
26 de junho de 2022;Ótima;local limpo e bem organizado. Escolhemos um quarto pequeno, mas mesmo assim muito confortável. indicamos super!;;9;;;;;;;;
23 de junho de 2022;Muito bom;Limpeza e localização;;8;;;;;;;;
22 de junho de 2022;MUITO BOM;ACOMODAÇÃO.;CAFE MUITO FRACO;8;;;;;;;;
20 de junho de 2022;Fantástico;Limpeza, conforto, tecnologia e localização.;O atendimento deixou um pouco a desejar (demorado e frio).;9;;;;;;;;
20 de junho de 2022;Muito bom;Do café da manhã;Nada;8;;;;;;;;
20 de junho de 2022;Muito bom;Quarto e cama muito confortável, estrutura do prédio é nova/moderna e boa localização. Próximo à praia, aeroporto, restaurantes, supermercado! Ficaria novamente com certeza! Bom custo-benefício.;O café da manhã não tem tantas opções/variedade comparado com outros hotéis em Recife (não vi disponível tapioca, iogurte natural e mel, por exemplo);;;;;;;;;
;;;;;;;;;;;;
"Mas o que ofertava estava bem saboroso.""";8;;;;;;;;;;;
19 de junho de 2022;Muito bom;Estrutura do hotel e limpeza.;Sem estacionamento para hóspede e café da manhã.;8;;;;;;;;
19 de junho de 2022;Experiência razoável.;café da manhã;checkin muito demorado;7;;;;;;;;
18 de junho de 2022;Otimo custo beneficio;Localizacao;Cama poderia ser melhor;9;;;;;;;;
16 de junho de 2022;ótima estadia;limpeza, localizacao;cafe da manha;9;;;;;;;;
16 de junho de 2022;excelente custo benefício;hotel novo , bem localizado;;9;;;;;;;;
15 de junho de 2022;Ótima estrutura, mas há alguns detalhes que arruinam a experiência.;Boa estrutura e equipe amigável e antenciosa.;Há uma TV na área do café da manhã ligada o tempo todo na Rede Globo. É bastante desagradável.;;;;;;;;;
O hotel tem uma política de aceitar animais nas dependências. Havia um cachorro no apartamento em frente latindo o dia todo e de manhã chorava e arranhava a porta;" provavelmente porque os donos estavam tomando café. Foi estressante.""";7;;;;;;;;;;
13 de junho de 2022;Muito bom;Localização;;;;;;;;;;
Limpeza;;;;;;;;;;;;
"Atendimento""";Cafe da manhã ;;;;;;;;;;;
TV sem acesso à Internet ;;;;;;;;;;;;
"Tamanho do quarto""";8;;;;;;;;;;;
12 de junho de 2022;apesar de curta foi agradável, porém esperava mais do café da manhã, achei muito simples e com poucas opções.;do quarto;café da manhã muito fraco;8;;;;;;;;
11 de junho de 2022;Muito bom;conforto, localização;café da manhã todos os dias as mesmas comidas. todos os hotéis que frequentei, até mais simples do que este os alimentos do café da manhã variava;8;;;;;;;;
8 de junho de 2022;Boa experiência!;Excelente acomodação. Limpeza impecável. Chuveiro com ótima vazão de água. Café da manhã bem variado!;Precisei aquecer uma bolsa de gel para compressa e não recebi o apoio necessário da equipe, apesar de minha dificuldade de locomoção.;9;;;;;;;;
8 de junho de 2022;Bom local.;Apartamentos novos, limpos e confortáveis.;Barulho. Funcionária fazendo limpeza dos quartos a noite e também é possível ouvir conversas de outros quartos.;9;;;;;;;;
6 de junho de 2022;Fantástico;o chuveiro do quarto é maravilhoso, bem limpinho, o café da manhã gostoso. Uma localização excelente para quem quer aproveitar boa viagem.;O tamanho do quarto é bem pequeno, e olhe que somos apenas um casal.;9;;;;;;;;
6 de junho de 2022;dentro do esperado;café da manhã impecável, limpeza,;a TV não pegou a função Smart. Não reconheceu a internet apesar de está conectado. Nenhum funcionário se propôs a ajudas quanto a esta questão.;8;;;;;;;;
31 de maio de 2022;Fantástico;Apartamento muito bom. Tudo funcionou perfeitamente.;;9;;;;;;;;
31 de maio de 2022;Bom;Gosto da localização.;Passei 03 dias e não houve faxina no quarto, a camareira entrou e apenas repôs o parte do frigobar e lanches. Não limpou o quarto nem mudou toalha nem levou pratos q usamos! Passamos 03 dias com o quarto sem limpar!;7;;;;;;;;
31 de maio de 2022;Muito bom!;Café da manhã maravilhoso! Tem estacionamento, quarto reformado.;;9;;;;;;;;
30 de maio de 2022;Muito bom;Bem organizado, limpo, café excelente!!!;não tem isolação acústica entre os quartos. Quase não conseguimos dormir com o barulho do quarto vizinho até tarde da noite.;8;;;;;;;;
29 de maio de 2022;Fantástico;Local e limpeza;;9;;;;;;;;
28 de maio de 2022;Bom custo benefício;o preço;Café da manhã e não atenderam o telefone da recepção quando eu precisei, 1h da madrugada;8;;;;;;;;
26 de maio de 2022;Preço justo ao que foi oferecido;Gostei, mas poderia ter na opção tapioca com queijo coalho e croissant tb.;;8;;;;;;;;
25 de maio de 2022;Bom;A limpeza;a internet não estava funcionando corretamente;7;;;;;;;;
23 de maio de 2022;Fantástico;;Tive que sair muito cedo para pegar um voo, e o hotel não possuia nenhuma opção de lanche/comidas disponível na madrugada. Acredito que estavam implementando mas ainda não estava em funcionamento.;9;;;;;;;;
22 de maio de 2022;Só volto lá se o preço compensar.;localização e estrutura;Barulho do motor do frigobar que me incomodou bastante e cheiro de ovo na recepção que vinha da cozinha. Café da manhã sem mtas opções de escolha.;7;;;;;;;;
22 de maio de 2022;ótima;limpeza e localização.;;8;;;;;;;;
21 de maio de 2022;bom custo benefício;prédio moderno, academia top, 4 elevadores, localização excelente;café da manhã simples e pouco lugar para acomodar as roupas… como viajo a trabalho e passo mais de 10 dias, isso me incomodou um pouco.;8;;;;;;;;
18 de maio de 2022;Excelente custo X benefício.;Do atendimento, equipe cortês e atenciosa. Das acomodações, quarto super bem limpo e qualidade da cama/roupa de cama.;;;;;;;;;;
"Restaurante do hotel muito bom.""";O café da manhã foi bom mas o suco parecia artificial, acredito que poderia ser melhorado.;9;;;;;;;;;;
18 de maio de 2022;Bom;Café da manhã e infraestrutura excelentes.;Recepção demorada demais. No dia anterior eu já havia ligado para confirmar a reserva, mas quando cheguei, aguardei quase 30 minutos para fazer check in. Além disso, nos mandaram para um quarto que estava bagunçado e sujo, tivemos que voltar para a recepção e pedir para trocar de quarto e lá se foram mais 10 minutos de espera.;7;;;;;;;;
16 de maio de 2022;MUITO BOA.;ACOMODAÇÃO;CAFÉ SEM MUITAS OPÇÕES;7;;;;;;;;
16 de maio de 2022;Bom;quarto novo e boa localização;funcionários despreparados , sem cordialidade , passando valores divergentes do acordado …;7;;;;;;;;
16 de maio de 2022;hotel muito bom porém café da manhã ruim.;Localização;Café da manhã;9;;;;;;;;
16 de maio de 2022;Bom;;não tinha secador de cabelo nos quartos;7;;;;;;;;
15 de maio de 2022;Bom hotel, café da manhã nem tanto.;Boa localização, ótima limpeza, bom atendimento.;O café da manhã era muito simples, não houve reposição em alguns dias, não teve variação dos produtos servidos, o suco era industrializado.;8;;;;;;;;
14 de maio de 2022;Muito bom;Limpeza;Quarto pequeno;8;;;;;;;;
14 de maio de 2022;Fantástico;;Paguei para estacionar o carro(só a vaga) Faltou um manobrista!;9;;;;;;;;
14 de maio de 2022;Tudo bom (exceto café da manhã);Check in rápido, quarto limpo (igual como nas fotos), vista bonita, bom banho e excelente localização.;Percebi que o café da manhã é bem abaixo do nível geral do hotel … Não esperava um café da manhã de resort de litoral, estamos num hotel executivo, porém isso não justifica uma atendente para várias funções, pães secos, não vi uma sanduicheira/chapa, a mesma pessoa que recolhia pratos, ajudava a manusear a máquina de café, trazia as tapiocas (nem me atrevi a pedir pois não tinha a quem), não tinha garfos “disseram pra aguardar reposição”, isso com a comida já na mesa 🤦🏼‍♀️ … resumo: um completo desmantelo! Melhor tomar café da manhã em outro local !!!;8;;;;;;;;
13 de maio de 2022;Mediana;;Andar baixo, cheiro de esgoto, barulho da porta da escada batendo toda vez que se levava alguma refeição nos apartamentos. Só a equipe limpeza tinha o cuidado de não bater a porta. Por fim, o hotel não registrou a reserva que fiz pelo booking. Em um período de maior movimento eu poderia me ver sem hospedagem.;7;;;;;;;;
9 de maio de 2022;Muito bom;Localização e instalações;Café da manhã e apoio da equipe;8;;;;;;;;
8 de maio de 2022;Muito bom;O café da manhã é muito fraco, o mais fraco que vi nos últimos tempos. Porém o resto é muito bom, em especial a segurança do hotel, excelente!;;8;;;;;;;;
7 de maio de 2022;Bom;O hotel atende as expectativas, todos os meses venho a ele, porém o preço aumentou muito.;O restaurante foi o pior que já vi em todos os hotéis que já fui, não tem microondas, não fornece talheres, se você pedir algo de fora e não tiver talher, lascou. Os funcionários atendem mal e o café da manhã é da pior qualidade, bolo duro, salsinha ruim (marca ruim).;7;;;;;;;;
7 de maio de 2022;Bom;O hotel é ótimo.;O restaurante é péssimo, não fornece nada, os funcionários não atendem bem e a comida é muito ruim. O bolo parecia que estava a vários dias lá, salsicha da pior qualidade e nada de variedade. Não vale o preço pago.;7;;;;;;;;
6 de maio de 2022;Bom;;Hotel com instalações novas, porém sem isolamento acústico é possivel ouvir a pessoa do lado tossindo, despertador tocando. Café da manhã fraco.;7;;;;;;;;
5 de maio de 2022;excelente custo benefício;Tudo novo e limpo;;9;;;;;;;;
4 de maio de 2022;rápida e agradável;limpa e agradável;gostei de tudo;9;;;;;;;;
4 de maio de 2022;Muito bom;Bom hotel, novo, limpo e organizado. Tem um estacionamento amplo (cobrado a parte) e boa localização. Pedimos cobertor e travesseiro adicional e nos deram prontamente.;O café da manhã não é muito bom, tem o básico e qualidade média, mas atende. No quarto não havia cobertor ou travesseiro adicional, tivemos que pedir.;8;;;;;;;;
4 de maio de 2022;bom custo beneficio;esta localizado em um ponto proximo aos meus compromissos;;;;;;;;;;
As pessoas da recepcao foram bem atenciosas;,o estacionamento poderia ser melhor; pois sendo subterraneo tem problemas quanto a altura do carro ou entao quanto aos carros que esportivos que tem uma distancia ao solo menor;" dificultam o uso dele""";7;;;;;;;;
2 de maio de 2022;Muito bom;boa estrutura;netflix não funcionava e o café da manhã não achei muito bom. médio;8;;;;;;;;
1º de maio de 2022;Bom;conforto e limpeza;mal cheiro de um retorno de esgoto no banheiro do quarto que fiquei;7;;;;;;;;
1º de maio de 2022;Bom;Localização;Organização dos funcionários. No check-out fui cobrada 2x pela metade da hospedagem, embora tenha pago a totalidade no momento do checkin. Precisei mostrar o comprovante de pagamento. Não recebi a nota fiscal embora seja obrigação do hotel emiti- la mesmo que o hóspede não peça. O chão do quarto não foi limpo todos os dias. Um inseto morreu na 1a noite e ficou no mesmo lugar até minha saída.;7;;;;;;;;
1º de maio de 2022;Muito bom;É pequeno. Mas, é novo.;Segunda vez que ficamos e sempre o ar condicionado se desliga pelo menos duas vezes a noite. Horrível.;8;;;;;;;;
1º de maio de 2022;Hotel bom, porém café da manhã deixou a desejar !;Localização muito boa !;O café da manhã com poucas opções, é sem reposição de alguns alimentos.;7;;;;;;;;
30 de abril de 2022;Fantástico;Hotel novo, limpo e bem localizado.;A cama poderia ser maior.;9;;;;;;;;
29 de abril de 2022;Muito bom;a relação custo beneficio é imbatível!;o café da manhã tem tudo que se precisa, mas poderia melhorar um pouco.;9;;;;;;;;
29 de abril de 2022;Foi boa!;Gostei da vista do mar e da piscina no 31 andar. Amei a pressão e temperatura da água do chuveiro. Cama e travesseiros muito bons. Toalhas boas. O café bom, mas pode ser ainda mais variado.;Os ralos do banheiro têm furos muito grandes e sem tampa que os feche. No Box faz um barulho enorme (assustador... de sucção) da água no ralo. E o ralo ao lado do vaso sanitário traz um pouco do cheiro das fezes de volta. O ralinho da pia estava com um pouco de entupimento de cabelo, o que causou lentidão do escorrimento da água suja, tornou a escovação dos dentes desagradável. E assim continuou, mesmo após a minha queixa na recepção. O chão do banheiro molha bastante, a cada banho, mesmo com o Box bem fechado, a água passa pela fresta entre os vidros. No mais, com exceção de algumas conversas altas no corredor em horário avançado da noite (que me acordou) foi o melhor lugar dos que me hospedei no Nordeste, até agora. Obrigada pelo que foi bom e que melhorem sempre nos detalhes, se é que realmente levam em consideração a opinião dos hóspedes! 😬😁😘;7;;;;;;;;
28 de abril de 2022;A melhorar.;O quarto era muito bom.;O café da manhã não tem muitas opções para pessoa com intolerância.;7;;;;;;;;
28 de abril de 2022;Passei uma noite em claro.;;Hotel muito barulhento. Foi a madrugada inteira gente abrindo e batendo portas. Fiquei a noite acordando com batida de porta.;7;;;;;;;;
27 de abril de 2022;Fantástico;Instalações novas, equipe eficiente, localização.;os quartos praticamente não têm isolamento acústico, sendo possível tudo que se passa nos quartos vizinhos.;9;;;;;;;;
26 de abril de 2022;Muito bom;Deu tudo certo! Expectativa atendida! O café da manhã também agradou bastante!;Pedi garrafas de água e a demora foi tanta que resolvi descer para buscar. Penso que deveriam informar do tempo previsto para entrega no apartamento.;8;;;;;;;;
26 de abril de 2022;Bom custo benefício.;Café da manhã gostoso, e check out rápido.;Check in muito demorado.;8;;;;;;;;
26 de abril de 2022;Gostei, voltaria.;Quartos limpos e confortáveis, estrutura bonita.;Café da manhã muito simples, sem muita variedade, uma funcionária em questão que foi muito grosseira.;7;;;;;;;;
26 de abril de 2022;bom custo benefício;oerto shopping. quarto pequeno mas funcional;;8;;;;;;;;
25 de abril de 2022;Ótima.;Quarto confortável e limpo.;;;;;;;;;;
Banheiro limpo.;;;;;;;;;;;;
Mesinha + cadeira para trabalho bons.;;;;;;;;;;;;
"Ótima localização.""";Café da manhã muito simples.;;;;;;;;;;;
Jantar foi péssimo - file à parmegiana muito ruim;" molho do macarrão horrível.""";9;;;;;;;;;;
25 de abril de 2022;Bom;O Fit é um hotel de padrão econômico. ;;;;;;;;;;
Quarto pequeno; mas banheiro OK e café da manhã simples;" mas de acordo com que o hotel oferece.""";;7;;;;;;;;
25 de abril de 2022;Stress no início;Gostei muito do apartamento, O espaço e a limpeza.;Quando chegamos o hotel informou que não tínhamos reserva. Muito chato isso! Fizemos a reserva há um bom tempo e na hora quase que não conseguíamos a hospedagem. Muito desorganizado e mal educados.;8;;;;;;;;
25 de abril de 2022;tudo ok!;gostei da localização,quarto pequeno e aconchegante.;café da manhã sem opções.;7;;;;;;;;
25 de abril de 2022;Fantástico;Cama muito confortável, chuveiro excelente, ótimo café da manhã. Equipe muito prestativa e simpática.;;9;;;;;;;;
25 de abril de 2022;Fantástico;Wifi muito bom, localização boa, quarto com uma ótima estrutura (várias tomadas, tv de 32, banheiro amplo);Café da manhã é repetitivo. Funcionários deram poucas informações sobre a hospedagem;9;;;;;;;;
25 de abril de 2022;Muito bom;A localização é ótima, próxima a supermercado, shopping e praia. A estrutura do hotel é nova, tudo muito limpo e organizado e tem uma piscina que apesar de pequena, dá para aproveitar. Acho que no geral é um ótimo custo-benefício.;O café da manhã é razoável, mas não tem muitas opções. Senti falta de comidas regionais como o bolo de rolo e a tapioca. Na reserva solicitei um berço e quando cheguei não estava no quarto, tive que solicitar três vezes na recepção até colocarem. O banheiro tinha um vazamento no box que deixava tudo molhado. O estacionamento do hotel é pago, o que não é informado na hora da reserva.;8;;;;;;;;
25 de abril de 2022;Bom;limpeza e localização;café da manhã poderia ser melhor pelo preço;7;;;;;;;;
24 de abril de 2022;Muito boa;Hotel excelente custo benefício . Pequeno , mas tudo necessário pra uma boa noite de sono . Cama confortável, banheiro limpo , acomodações novas .;O café da manhã pode ser melhor . Não tinha frutas básicas como mamão por exemplo;9;;;;;;;;
24 de abril de 2022;Bom, mas longe da praia.;Hotel novo, limpo e bem cuidado, funcionários bem prestativos.;As luzes do corredor ficam acesas durante a noite e essa luminosidade passa pelas frestas da porta. É bem distante da praia, 6 quadras.;8;;;;;;;;
24 de abril de 2022;preço justo e bom serviço.;tudo novo, limpo e bem cuidado.;um odor no quarto, talvez por ficar fechado longas horas.;8;;;;;;;;
24 de abril de 2022;Confortável;Nada além do básico, mas o quarto e instalações são confortáveis!;Nada em específico;8;;;;;;;;
23 de abril de 2022;não contrataria café da manhã;quarto;café da manhã;8;;;;;;;;
23 de abril de 2022;Boa etrutura, péssimos canais de atendimento.;Quarto confortável, bom atendimento pelos funcionários, piscina massa, sauna legal;Canais de atendimento péssimos. O telefone praticamente não funciona para entrar em contato. Esqueci meu carregador no quarto e foi novela para conseguir entrar em contato e recuperar.;8;;;;;;;;
23 de abril de 2022;Muito bom;Instalações, localização e atendimento;Café da manhã;8;;;;;;;;
21 de abril de 2022;Estadia boa e agradável.;O quarto atendeu a expectativa. A equipe de atendimento foi boa e solicita. O hotel ficou eu uma localização boa em relação ao meu destino. Apesar da comida ser boa, não tem muita variedade (isso é o principal melhor qualidade do que quantidade).;O café da manhã eu achei que tinha pouca variedade, apesar da comida que tinha era boa (isso é o principal melhor qualidade do que quantidade). E o local de refeição é pequeno, certa vez tive que esperar em pé com a refeição para poder comer.;8;;;;;;;;
21 de abril de 2022;Fantástico;Quarto arejado, limpo e organizado!!!!;;;;;;;;;;
"Funcionários muito educados e solícitos!!!""";;9;;;;;;;;;;
20 de abril de 2022;Fantástico;;O sinal de Internet não funcionou;9;;;;;;;;
19 de abril de 2022;Muito bom;O quarto e a localização são perfeitos;Precisa melhorar o café da manhã, não possui variedade na alimentação, possui poucas opções e todo dia a mesma coisa.;8;;;;;;;;
19 de abril de 2022;muito bom;instalação nova (mas os quartos sao bem pequenos), boa localização, segurança;café da manhã deixa muito a desejar.;;;;;;;;;
"o estacionamento paga a diaria por fora.""";9;;;;;;;;;;;
19 de abril de 2022;Muito bom;;O atendente que nos recebeu na recepção foi lento e o atendimento confuso. ;;;;;;;;;
Também solicitei travesseiros extra; eles ficaram de levar;" mas não levaram e nem deram qualquer satisfação.""";8;;;;;;;;;
19 de abril de 2022;Muito bom;;poucas opções no café da manhã;8;;;;;;;;
19 de abril de 2022;Muito bom;;café da;;;;;;;;;
"manhã""";8;;;;;;;;;;;
18 de abril de 2022;muito bom!;conforto e qualidade!;serviço de quarto, águas e etc!;9;;;;;;;;
18 de abril de 2022;Bom;;café da manhã desorganizado e com poucas opções;7;;;;;;;;
18 de abril de 2022;Muito bom;localização;banheiro do apartamento 1112 tinha um cheiro forte (ruim);8;;;;;;;;
18 de abril de 2022;Fantástico;Hotel novo, bem localizado, com ducha ótima!;;;;;;;;;;
"Bom custo beneficio""";Café da manhã.;9;;;;;;;;;;
18 de abril de 2022;Bem estar;Acomodação bem;;;;;;;;;;
"organizada é confortável.""";De tudo;8;;;;;;;;;;
18 de abril de 2022;Boa, mas podia ser melhor;;O café da manhã não corresponde a qualidade do hotel;8;;;;;;;;
18 de abril de 2022;Bom Custo/Benefício;Localização;;;;;;;;;;
Custo/Benefício;;;;;;;;;;;;
"Instalações novas""";Área do café da manhã pequena para atender a quantidade de pessoas em período de feriado, Pouca variedade.;;;;;;;;;;;
Os funcionários estavam sobrecarregados para conseguir atender a todos na área do café.;;;;;;;;;;;;
O quarto é pequeno;" porém cama e travesseiros são bons.""";8;;;;;;;;;;
17 de abril de 2022;Muito bom;Localizacao/Atendimento.;;8;;;;;;;;
17 de abril de 2022;Minha estadia foi positiva e recomendo o hotel Fit Transamerica Recife.;Bom atendimento, quarto confortável e banheiro limpo.;O café da manhã é bom, porém poderia ser um pouco mais variado.;8;;;;;;;;
17 de abril de 2022;Bom;É um hotel bom, melhoraria muito com alguns ajustes, mas voltaria a me hospedar. Banheiro ótimo, excelente serviço de quarto, comida do serviço de quarto muito boa e com preço justo, bom atendimento, fiz um pedido especial fora do cardápio e fui atendido, funcionários atenciosos. Café da manhã básico, mas satisfatório. Sem problema com estacionamento (não incluso na diária). Para a proposta de hotel executivo é uma boa opção, mas com algumas ressalvas que incomodaram.;No meu caso (viajando com minha esposa) o ar condicionado ficava de frente para a cama, então não tem como encontrar uma temperatura confortável, acredito que inverter a mobilia resolveria esse problema. A acústica é muito ruim, você escuta qualquer coisa, principalmente no corredor, mas tem forma de melhorar com pequenos ajustes, apesar de depender muito da educação de terceiros. Apesar de ter um bom tamanho de quarto, por conta da disposição da mobilia a mala fica no corredor do quarto dificultando a passagem e sobrando espaço não úteis.;7;;;;;;;;
16 de abril de 2022;Muito bom;localização, prédio novo.;café da manhã sem mta opção, bem restrito.;8;;;;;;;;
14 de abril de 2022;acústica péssima e café da manhã fraco;móveis do quarto, cama, banheiro, atendimento na recepção.;acústica PÉSSIMA;;;;;;;;;
14 de abril de 2022;Um hotel perto de tudo para trabalhar.;O café da manhã atende bem a necessidade.;nenhum registro;7;;;;;;;;
14 de abril de 2022;Para estadias curtas.;Hotel novo, com boa localização. Acesso fácil ao Aeroporto. Hotel para estádias curtas. Ao lado tem um grande supermercado. Estacionamento amplo. elevadores funcionais.;Quartos pequenos, para 02 pessoas e com malas, fica difícil a circulação. Hotel para estadias curtas, pois o conforto é limitado. Café da manhã fraquíssimo, repetitivo e falta de frescor nos alimentos. Atendentes da recepção frios, não passa empatia como o hóspede. Restaurante do Hotel é terceirizado e só fui saber quando pedi uma refeição no quarto. O pagamento tem que ser feito na entrega do pedido, sem excessões. Não que seja ponto negativo, porém se faz necessário avisar antes, assim há uma programação por parte do hóspede. Me senti enganado com um prato que pedi. Solicitei no cardápio um prato com carne de Sol, e recebi um contrá-filé duro igual borracha, díficil de engolir. Senão tinha o produto, informe ao hóspede. É correto e honesto. Não me senti confortável com a situação. Estacionamento apesar de amplo, dentro da estrutura do Hotel, é pago. R$ 18,00 a diária.;7;;;;;;;;
14 de abril de 2022;Bom;Localização, cama e o café da manhã;Os quartos possuem um péssimo isolamento acústico, vc escuta tudo que acontece nos quartos ao lado;7;;;;;;;;
12 de abril de 2022;Preço compatível para o que o hotel oferece!;Custo benefício!;;;;;;;;;;
 Limpeza!;;;;;;;;;;;;
 Atendimento dos funcionários!;;;;;;;;;;;;
" Chuveiro!""";Localização! Embora esteja a 800 metros do Shopping, você é orientado a não ir caminhando mesmo durante o dia!;;;;;;;;;;;
 Tamanho do quarto! O banheiro é grande mas o quarto em si é pequeno!;;;;;;;;;;;;
 Estacionamento pago ( R$ 18;00). ;;;;;;;;;;;
 Café da manhã com poucas opções; principalmente de frutas!;;;;;;;;;;;
"Frigobar barulhento que liga com muita frequência apesar de ter apenas poucas garrafas de água!""";8;;;;;;;;;;;
11 de abril de 2022;Muito bom;O café da manhã era básico, mas o suficiente para se alimentar bem. Faziam tapioca e omelete na hora, para quem quisesse. A localização é excelente, perto do shopping.;Não gostei de um mal-cheiro que surgiu em um dia que esqueci de ligar o ar-condicionado. Era um cheiro de esgoto, porém ao ligar o ar-condicionado o cheiro passou.;8;;;;;;;;
11 de abril de 2022;Fantástico;Localização;Posição do aparelho de ar condicionado de frente para a cama.;9;;;;;;;;
10 de abril de 2022;Fantástico;limpa e nova;café da manhã fraco;9;;;;;;;;
10 de abril de 2022;Bom;Limpeza;Recepção não tem aparência de hotel;7;;;;;;;;
7 de abril de 2022;O café da manhã pode melhorar.;Conforto e comodidade, porém o quarto é bem pequeno.;Café da manhã pode melhorar e o pessoal, do restaurante, que não atendem bem. Não se comunicam dando pouca atenção aos hóspedes.;9;;;;;;;;
6 de abril de 2022;Muito bom;Quarto e banheiro excelentes, muito confortável;Café da manha com poucas opções, descobrimos depois que poderia solicitar tapioca, um dia não tinha café coado sequer;8;;;;;;;;
6 de abril de 2022;Bom!;Hotel super novo e bem localizado.;O ar condicionado parou duas vezes durante a noite.;9;;;;;;;;
5 de abril de 2022;Bom custo-benefício;Não tomei café-da-manhã, portanto não posso avaliá-lo;;;;;;;;;;
