data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;
22 de outubro de 2023;Pessimamente;Nada muito barulho;Ruído ar não controla Televisao não desliga ,;1;;;;;;;;;
21 de outubro de 2023;Excepcional;Fiquei em quarto recém reformado. Muito bonito e confortável. Café da manhã excelente!;Nada!;10;;;;;;;;;
19 de outubro de 2023;Excepcional;Sim;;10;;;;;;;;;
18 de outubro de 2023;Péssima!!;Da vista;Do estacionamento que deixam os carros um colado no outro e isso fez o manobrista causar duas avarias no meu carro zero que comprei tem uma semana.;1;;;;;;;;;
17 de outubro de 2023;Decepcionante. Reforma há anos inacabada. Quartos e banheiros velhos.;Café da manhã excelente. Senti falta de requeijão e produtos sem gluten, mas no geral é muito bom. A localização é imbatível, de frente para o mar, com uma vista linda do quarto.;O hotel está em reforma, mas não vimos ninguém trabalhando. Os quartos estão velhos, paredes marcadas por infiltrações. As janelas não tem isolamento acústico e batem muito (muito barulho, mesmo no 11 andar). Estivemos no meio da pandemia no mesmo hotel e não teve nenhuma evolução nessa obra, tudo do mesmo jeito.;4;;;;;;;;;
16 de outubro de 2023;Excepcional;Do café da manhã;;10;;;;;;;;;
16 de outubro de 2023;Hotel bom, mas poderia melhorar;A localização é muito boa, de frente para a praia. O café da manhã também é ótimo, muito bem servido, com diversas opções e tudo fresquinho. O restaurante da piscina tem pratos muito bons e preços acessíveis, muito satisfatório. O ar condicionado realmente funciona, ficamos com o quarto bem gelado, que pelo calor da cidade é ótimo.;Os quartos tinham aspecto de antigos e precisavam de uma repaginada, porque o teto e as paredes pareciam antigos (somente pintados). No banheiro ainda tem uma banheira (que por sinal estava toda rachada) e não tem box, apenas uma cortina de lona, e com isso o banheiro ficava inteiro molhado. Algumas vezes a água da torneira saiu turva, com aspecto marrom.;6;;;;;;;;;
15 de outubro de 2023;Decepção. Tinha tudo para ser um ótimo hotel, mas está largado.;A única coisa que se salva é a localização.;Velho, sujo, cama ruim, ar condicionado sem funcionar direito. Decepção.;5;;;;;;;;;
15 de outubro de 2023;Perfeita, pretendo retornar .;A vista maravilhosa para a piscina e praia de boa viagem. A área da piscina e restaurante é bem agradável e ventilada. A localização é excelente, perto de supermercado e da feirinha de boa viagem.;;10;;;;;;;;;
13 de outubro de 2023;Vale muito à pena;O cuidado dos colaboradores desde a recepção, limpeza, café da manhã. A vista da Praia de Boa Viagem Tudo excelente.;As refeições no restaurante do hotel são caras.;10;;;;;;;;;
11 de outubro de 2023;Decepção;Localização;O hotel precisa de uma boa reforma, camas ruins, portas q não fecham, ar-condicionado que não funciona…custo benefício péssimo!!;6;;;;;;;;;
5 de outubro de 2023;Pessimo custo benefício;Localização;Quarto meio sujo;;;;;;;;;;
"Água da torneira amarela amarela e cheira de sujeiras""";6;;;;;;;;;;;;
5 de outubro de 2023;Hotel que não merece 5 estrelas;Nada;;;;;;;;;;;
Cofre valores não preso;;;;;;;;;;;;;
Sujidade ;;;;;;;;;;;;;
"Tomadas elétrica fora do lugar""";A falta de condições e limpeza;1;;;;;;;;;;;
3 de outubro de 2023;Café da manhã estressante;;Infelizmente o hotel acomoda eventos que prejudicam muito a experiência dos hóspedes durante o café da manhã. O salão fica lotado, barulhento e insuportável. A comida mexida, além de não dar conta da quantidade de pessoas que participam desses eventos. Somando essa questão, há poucos funcionários disponíveis. Os poucos que tem sao esforcados, mas é insuficiente. Não recomendo a experiência.;6;;;;;;;;;
3 de outubro de 2023;Não é um hotel 5 estrelas!;Apenas da localização!;Colchão ruim, ducha higiênica quase não chega no vaso sanitário! Hotel precisa de reformas.;6;;;;;;;;;
1º de outubro de 2023;Satisfatório;O hotel tem uma excelente localização, mas atenção, parte do hotel está reformado já outra parte não. No primeiro quarto que hospedei, havia mofo nas paredes, depois de pagar uma diferença, fui transferida para a parte reforma - inclusive, muito bonita. ;;;;;;;;;;;
"Muita atenção na escolha dos quartos!""";;6;;;;;;;;;;;
1º de outubro de 2023;Muito ruim;;Tive direito a somente uma cama de “casal” mas que era realmente pequena e com uma filha de 3 anos não tive cama para ela sendo que ela estava na reserva que constava: casal + 1 criança;2;;;;;;;;;
29 de setembro de 2023;Excelente;Tudo;Não tinha , bolos diet no cafe da manhã , desconsideram diabeticos e cafe descafeinado;10;;;;;;;;;
28 de setembro de 2023;Opção mediana, mas dentro da normalidade de Recife.;Staff e café da manhã creio ser os pontos positivos deste hotel.;limpeza do quarto, qualidade do ar condicionado, quarto escuro, falta de tomadas, sujeira sob a cama;6;;;;;;;;;
28 de setembro de 2023;Péssima estadia.;Café da manhã;Além da estrutura do hotel precisar urgente de uma reforma, os quartos não terem travesseiro, toalhas e cobertas suficiente e o chuveiro nao funcionar direito. Também tivemos problema com uma das pessoas da recepção que foi extremamente grosseira comigo e meu marido. Foi a pior experiência que já tive em um grand mercure e jamais voltaria.;1;;;;;;;;;
27 de setembro de 2023;Excepcional;Funcionários foram completamente prestativos! Café da manhã muito bom e instalações do quarto são ótimas !;;10;;;;;;;;;
25 de setembro de 2023;Excepcional;Hotel moderno, cobertas de cama excelentes!;;10;;;;;;;;;
25 de setembro de 2023;Muito ruim;Localização;Quarto em péssimo estado, sujo;5;;;;;;;;;
23 de setembro de 2023;Agradável;Disposição do mobiliário do quarto.;Gostei de tudo.;10;;;;;;;;;
23 de setembro de 2023;Foi razoável mas ruim para um hotel que se pretende 5 estrelas;Da localização e do café da manhã, basicamente. O hotel está em obras e isso causa certo desconforto.;Fiquei em acomodações em andar ainda não reformado, segundo informações. Ocorre que mesmo assim, considero ruim para um hotel classificado como 5 estrelas que o corredor cheire a mofo, asim como o quarto. Tive que abrir as janelas e portas para ventilar o quarto e suportar o mau cheiro. Outro ponto reprovável foi o fato da sauna não está em funcionamento e isso não ser informado no momento da reserva. Entendo que essas comodidades sçao importantes e eu contava usufruir da sauna, já que o tempo estava chuvoso.;6;;;;;;;;;
22 de setembro de 2023;Excepcional;Limpeza, atendentes, café da manhã tudo de bom;Não tem;10;;;;;;;;;
22 de setembro de 2023;Aceitável;;Cafe da manha com produtos baixa qualidade, estacionamento terceirizado desorganizado, voce paga antecipado e depois vem cobrar novamente ,quarto embaixo da sala de convencoes com barulho o tempo todo.;5;;;;;;;;;
20 de setembro de 2023;As únicas coisas que lembram um hotel 5 estrelas são as pedras e a vista do hotel.;Localização é ótima, quarto grande e vista maravilhosa;Hotel está mal conservado e claramente precisa de renovações, colchões em condições precárias.;1;;;;;;;;;
20 de setembro de 2023;Hotel espetacular na orla do Recife;Excelente localização, com muitas opções na proximidade e uma excelente limpeza do quarto;Nada;10;;;;;;;;;
19 de setembro de 2023;foi muito boa;Localização e atendimento da equipe interna;;10;;;;;;;;;
18 de setembro de 2023;Satisfatório;;internet;6;;;;;;;;;
17 de setembro de 2023;Muito ruim;Localização é excelente.;O Hotel está MUITO VELHO. Quartos com infiltração nas paredes, inclusive ao lado da cama, móveis quebrados, banheira do quarto não tive nem coragem de usar. Vaso e chuveiro vazando, abertura no teto do banheiro acumulando sujeira e bichos. Gambiarra na tomada do secador com risco de choque. Estrutura velha em todo o hotel, inclusive na parte do café da manhã e piscinas (que ainda é gelada). O valor não condiz NEM UM POUCO com as condições. NÃO RECOMENDO.;2;;;;;;;;;
17 de setembro de 2023;Péssimo hotel, não faz jus ao nome da rede.;Localização próxima ao aeroporto;Primeiramente não liberaram o quarto no horário previsto 14h que já foi o cúmulo. Segundo que as instalações do quarto são velhas, ar condicionado barulhento, cama com buracos e desconfortável, cheiro forte de mofo e banheiro com banheira velha com aspecto de suja e paredes com a tinta descascando. O estacionamento é pago, 30 reais a diária. O café da manhã tava incluso na nossa hospedagem mas precisamos sair mais cedo pra pegar o voo e não tinha nem um café expresso disponível, nada! Ainda queriam cobrar 60 reais por um “café americano”.;1;;;;;;;;;
17 de setembro de 2023;Hotel a evitar.;O pequeno almoço muito diversificado.;Quartos muito velhos e com cheio a mofo. Na chegada pedimos troca de quarto, porque o no interior era insuspeitável, mas deram-nos outra quarto velho, apesar de existirem quartos novos e remodelados.;4;;;;;;;;;
16 de setembro de 2023;Básica só pra pegar voo dia seguinte;Cheirando mofo e apartamento muito antigo. Cama muito pequena. ;;;;;;;;;;;
"Fotos MUITO enganosas""";;4;;;;;;;;;;;
14 de setembro de 2023;Aceitável;Gostei da localização e do pequeno almoço;o quarto muito velho e muito degradado;5;;;;;;;;;
13 de setembro de 2023;nao atendeu, caro e pessimo custo benefico;pessimo custo beneficio, caro e nao atendeu, cafe da manha fraco, quarto fraco;limpeza fraca, cafe da manha fraco, sujo;3;;;;;;;;;
13 de setembro de 2023;Excelente;Hotel muito limpo e funcionários educados excelente;;10;;;;;;;;;
13 de setembro de 2023;Tranquila;Atendimento dos Funcionários;;10;;;;;;;;;
13 de setembro de 2023;Decepcionante;localização excelente;;;;;;;;;;;
 funcionários atenciosos;;;;;;;;;;;;;
area da piscina agradável ;;;;;;;;;;;;;
"café da manhã""";cama afundada;;;;;;;;;;;;
cheiro de esgoto no quarto saindo do banheiro;;;;;;;;;;;;;
elevadores problemáticos;;;;;;;;;;;;;
"fotos enganosas no booking.com""";4;;;;;;;;;;;;
13 de setembro de 2023;Hotel muito Velho e mal cuidado.;Café da manhã bom.;Corredor e quartos velhos, com goteira e mofo no teto, cheio forte no quarto. Ar condicionado não funcionou.;1;;;;;;;;;
13 de setembro de 2023;Hotel velho, com mofo e mal cuidado.;Os atendentes eram simpáticos e solícitos. Café da manhã é bom;Corredor de acesso aos quartos muito escuro, cheio de goteiras, com o teto de madeira todo mofado. Quartos muitos escuros, ar condicionado barulhento e com com problema de funcionamento, tivemos que trocar de quarto por mofo e sujeira, janela com buracos na estrutura. Hotel muito velho.;1;;;;;;;;;
13 de setembro de 2023;Deixou bastante a desejar.;Boa localização. Quarto amplo.;"Demora excessiva para efetuar o check-in, atribuída pela recepção a ""falhas de sistema"", mais de 20 minutos somente comigo, o que levou inclusive à formação de filas de outros hóspedes atrás de mim. Quarto com mau cheiro ao chegar nele, típico de hotel antigo. Internet inconstante. A SmarTV não conectava no Wi-Fi do hotel. Mesa de trabalho do quarto bamba. Desnecessária visita da equipe de reposição do frigobar meia hora antes do horário do check-out (não deveria ocorrer isso no dia da saída faltando 30 minutos para o meio dia). Recebimento de ligação externa desconhecida sem controle prévio da recepção.";6;;;;;;;;;
12 de setembro de 2023;Maravilhoso;EXCELENTE LOCALIZAÇÃO;;10;;;;;;;;;
11 de setembro de 2023;Excelente;Tudo funcionários prestativos e educados quarto limpo excelente;;10;;;;;;;;;
11 de setembro de 2023;Decepcionante.;Ótimo café da manhã, excelente localização, funcionários simpáticos.;Mofo no quarto e no banheiro, nas paredes, em todo lugar. Vazamento no vaso sanitário.;4;;;;;;;;;
11 de setembro de 2023;Necessitam fechar o hotel e fazer uma renovação total!!!;;O Hotel é simplesmente PÉSSIMO! Insonorização não existe! É como dormir na rua, janelas ridiculamente más, apenas um vidro simples. WiFi com incontáveis falhas. A ausência do mínimo de conforto dos quartos e espaços comuns é total!;1;;;;;;;;;
11 de setembro de 2023;Pior custo beneficio, hotel antigo, sujo e barulhento;Absolutamente nada;Foi cobrado um valor mais alto no pagamento. O hotel é extremamente antigo. O banheiro com lixeira sem tampa, muito mofo, espelhos antigos e desgastados e e o teto é vazado em madeira onde é possível ver toda instalação elétrica e hidráulica. O ar condicionado é central não sendo possível alterar a temperatura. Também não havia cobertor no quarto, apesar de uma diária de quase 500 reais. Pedi a coberta pelo ramal e apos 40 min não enviaram, tive que descer a recepção e pedir onde é esperei mais 30 min. É possível também ouvir o encanamento do banheiro do ap de cima, sendo impossível assistir tv enquanto alguem toma banho.;1;;;;;;;;;
10 de setembro de 2023;Muito ruim;;Quarto velho, cortina rasgada, banheiro com vazamentos, nada aconchegante e cobraram R$180 + 5% para uma cama extra para uma criança de 7 anos, o que não era claro na hora da reserva;2;;;;;;;;;
9 de setembro de 2023;HORRÍVEL !;Quarto caindo aos pedaços, sujo, banheiro horrível, cheio de bichos… TERRÍVEL… um dos piores hotéis que já fiquei e estava na suíte mais cara!;DE TUDO ! Enganação total;1;;;;;;;;;
8 de setembro de 2023;Pessima!!;Cafe da manha foi o único item satisfatório neste hotel. Tem bastante variedade e a comida é saborosa.;Nao gostei da falta de simpatia dos recepcionistas. O quarto nao cheira bem. A agua do chuveiro se espalha por todo o banheiro. O colchão da cama é muito ruí,.;1;;;;;;;;;
4 de setembro de 2023;Um final de semana inesquecível!;A localização do hotel é maravilhosa. O café da manhã é variado e excepcional. O quarto é espaçoso e confortável, mas um pouco escuro. A área da piscina é bastante agradável.;Não há nenhum item que não tenha gostado. Tudo maravilhoso.;10;;;;;;;;;
4 de setembro de 2023;Recomendo a estadia no Grand Mercure Boa Viagem, equipe excepcional e café da manhã excelente.;Café da manhã excelente;Chuveiro fraco.;10;;;;;;;;;
2 de setembro de 2023;Limpeza horrível do quarto;Péssima limpeza do quarto.;;1;;;;;;;;;
1º de setembro de 2023;Muito ruim, pior hotel q já me hospedei;Muito ruim, desconfortável e ambiente velho, sofá rasgado, cortinas rasgada e janela barulhenta;Cama desconfortável;3;;;;;;;;;
22 de agosto de 2023;Instalações muito velhas!;A localização;Preço de 5 estrelas,já hospedei em hotéis três estrelas com muito mais qualidade!;3;;;;;;;;;
18 de agosto de 2023;Péssimo;Nada;Impossível ficar no quarto, cheirando a mofo, espelhos manchados, móveis velhos, cama pequena! Tudo antigo e com péssimo cheiro!;1;;;;;;;;;
17 de agosto de 2023;Maravilhoso esse hotel. Perfeito. Cafe da manha mais que perfeito tmb. Excelente para descansar com uma vista incrível.;A cama e o espaço mto confortaveis. Cama deliciosa e a vista de frente pro mar ainda.;;;;;;;;;;;
"Excelente para descansar.""";Nao tem nada que eu nao gostei.;10;;;;;;;;;;;
16 de agosto de 2023;Excelente o atendimento de todos.;Limpeza.;;10;;;;;;;;;
15 de agosto de 2023;Quem se hospeda na rede Acor fica com segurança;Espaço;Limpeza dos banheiros;10;;;;;;;;;
14 de agosto de 2023;Como muito um 4 estrelas;Localização;Pequeno almoço.;;;;;;;;;;
Quarto.;;;;;;;;;;;;;
"Instalações em geral são muito antigas e não correspondem às fotos do booking.""";5;;;;;;;;;;;;
14 de agosto de 2023;Pessima;;Quarto muito velho,ar condicionado não funcionava o banheiro vinha com uma banheira,cheiro de mofo era para sair de 12:00 fui embora as 10:00;1;;;;;;;;;
12 de agosto de 2023;Ótima estadia.;Ótima localização à beira mar, café da manhã, apartamento e bar/restaurante com boas opções a preços justos.;;10;;;;;;;;;
10 de agosto de 2023;Sem problemas.;Acomodações muito boa.Só achei estranho qdo pedíamos comida no quarto e qdo íamos ao restaurante,tínhamos que pagar na hora,invés de assinarmos a comanda.O que todo hotel costuma fazer.;O sinal da TV a cabo era cortado durante o dia.Sendo restabelecido somente à noite.Durante o dia não conseguia ver os jornais,só os locais.;10;;;;;;;;;
9 de agosto de 2023;Adorei tudo inclusive um senhor que fica na porta atendendo a gente, ele é super simpático, e prestativo, sempre com o s;A acomodação e tudo incrível;;10;;;;;;;;;
9 de agosto de 2023;Para ser um bom 4 estrelas falta muito;Funcionários.;Pata ser um bom 4 estrelas falta muito..;;;;;;;;;;
"As fotos do booking não demonstram a realidade e qualidade das instalações.""";6;;;;;;;;;;;;
8 de agosto de 2023;Satisfatório;Café da manhã muito bom. Atendimento das mulheres!;A recepção, o atendimento das mulheres é bem superior aos dos recepcionistas homens. Homens não gostam de ajudar, não são cortês e atipáticos. Devem participar de um treinamento para aprender a atender clientes. Apartamento com cheiro de mofo.;6;;;;;;;;;
7 de agosto de 2023;Esperava mais de um hotel Grand Mercure;A localização do hotel é boa e o café da manhã também. A cama, travesseiros e roupa de cama também atenderam às expectativas. O espaço do quarto é bom, com dois pequenos ambientes (sala de estar e quarto).;Quarto velho e mal cuidado (ficamos no 9. andar). O banheiro, que não possui box, inundou durante o banho, tendo molhado absolutamente tudo, inclusive os dois rolos de papel higiênico. Os móveis em geral são antigos, o ar-condicionado barulhento, as janelas apresentam muita dificuldade para serem fechadas e a iluminação do quarto também é deficiente. Há infiltrações nos corredores, objetos quebrados e um armário muito pequeno para duas pessoas.;6;;;;;;;;;
4 de agosto de 2023;Excelente hotel. Recomendo;Excelente localização. Quarto confortável. Excelente café da manhã. Estacionamento com manobrista.;De nada;10;;;;;;;;;
3 de agosto de 2023;Voltaremos com certeza.;O café da manhã foi o diferencial. Poucas vezes vi tanta comida na minha vida, muitas opções e delicias da região. Dica 1: Comam o bolo de rolo antes que os outros comam!;Os acentos do vaso sanitários estavam com defeito, não parafusados. Troquem, coloquem daqueles macios, não devem ser muito caro.;10;;;;;;;;;
3 de agosto de 2023;Ruim;Localização;Quarto no andar 19. Com vista mar.;;;;;;;;;;
Contudo vidros tao sujos que quase não se via mar.;;;;;;;;;;;;;
"Duche sem pressão e água pouco quente""";3;;;;;;;;;;;;
31 de julho de 2023;Excelente estadia;Excelente hotel, ótima localização e funcionários muito atenciosos;Nada a reclamar;10;;;;;;;;;
30 de julho de 2023;Maravilhosa;Café da manhã com muita variedade,pessoa muito educados;;10;;;;;;;;;
27 de julho de 2023;Excelente;Café da manhã excelente;Piscina com água muito fria;10;;;;;;;;;
26 de julho de 2023;ótima;ótima!;Não possui ferro elétrico disponível aos clientes;10;;;;;;;;;
25 de julho de 2023;Não valeu o preço.;Localização boa. O quarto é amplo.;"O ar condicionado não funcionava direito, o teto do banheiro era ""vazado"", dava para ver toda a encanação e aparentava estar bem sujo. No banheiro tinha uma saída de ar que estava solta, então toda hora a ""tampa"" ficava caindo.";;;;;;;;;;
O ralo do banheiro estava voltando a água.;;;;;;;;;;;;;
O quarto era bem antigo; tudo estava com aparência de muito gasto; principalmente os espelhos (todos enferrujados);" os armários (cheiro muito forte) e as lâmpadas (duas estavam com mal contato).""";5;;;;;;;;;
25 de julho de 2023;Mercure Recife.;Quarto ótimo com uma bonita vista.;A ducha higiênica estava localizada muito longe do vaso. Mau planejado.;10;;;;;;;;;
24 de julho de 2023;Serviço nota 10!;Das comodidades;Ainda há o que reformas nas instalações muito antigas;10;;;;;;;;;
24 de julho de 2023;Excepcional;Tudo;;10;;;;;;;;;
24 de julho de 2023;Excelente estadia;Passei apenas uma noite no hotel e recebi um upgrade gratuito para um quarto superior, excelente quarto! Ótimo atendimento, café da manhã muito bom também. Almocei no hotel, e o prato estava delicioso.;Nada a reclamar.;10;;;;;;;;;
23 de julho de 2023;Excepcional;Ótimo;;10;;;;;;;;;
23 de julho de 2023;Não parece um hotel Mercure;Nada;Velha;3;;;;;;;;;
21 de julho de 2023;Fantástico;A localização;;10;;;;;;;;;
18 de julho de 2023;Pessimas instalações;Localização;Prédio velho, quartos sujos, teto caindo, cheiro de mofo, mal cheiro no banheiro, vaso sanitário solto, cama muito ruim, toalhas muito finas.;1;;;;;;;;;
17 de julho de 2023;Ótimo, confortável;Tudo;A reforma que está acontecendo;10;;;;;;;;;
16 de julho de 2023;Impecável;Gostamos de tudo, hospedagem impecável!;Acústica;10;;;;;;;;;
15 de julho de 2023;Excepcional;Excelente acomodação;;10;;;;;;;;;
10 de julho de 2023;Excelente;O café da manhã é bem farto e diversificado.;;10;;;;;;;;;
9 de julho de 2023;Só é válido para acomodações reformadas;O melhor do hotel é a localização. O café da manhã também é um destaque positivo.;Fiquei em uma acomodação não reformada. Os móveis são bem antigos, parte elétrica, portanto, não é uma experiência agradável. A limpeza também ficou a desejar.;6;;;;;;;;;
9 de julho de 2023;Deus abençoe todos vocês 🙏;Tudo excelente…funcionários nos receberam com muita simpatia e carinho;Nada a dizer…;10;;;;;;;;;
7 de julho de 2023;Decepção na qualidade dos quartos;O cafe da manha;Nosso quarto para um hotel 5 estrelas tinha mofo e estava com moveis velhos;5;;;;;;;;;
2 de julho de 2023;Satisfatório;;Hotel velho;6;;;;;;;;;
27 de junho de 2023;Muito bom;Tudo muito bem pensado;Nada;10;;;;;;;;;
27 de junho de 2023;A estadia foi perfeita;Gostei do quarto da ala nova, café da manhã excelente, localização muito boa e cortesia dos atendentes.;;10;;;;;;;;;
24 de junho de 2023;Excelente;Localização privilegiada na praia de Boa Viagem, café da manhã excelente, quartos grandes e confortáveis.Staff simpático e educado.;nada a declarar.;10;;;;;;;;;
19 de junho de 2023;Satisfação;Hotel é perfeito os funcionários muito gentil os quartos sao amplos e agradável a comida muito boa e bom cafe da manhã infelizmente chegamos em época de reforma mas tudo bem é para melhorar as instalações com certeza voltarei;Na realidade gostei de tudo e tanto que irei me hospedar outras vezes;10;;;;;;;;;
18 de junho de 2023;Satisfatório;localização e café da manhã;o quarto tinha uma forte cheiro de mofo;6;;;;;;;;;
17 de junho de 2023;Excepcional;A acomodação superou minhas expectativas.;A reposição durante o café da manha não era muito eficiente.;10;;;;;;;;;
15 de junho de 2023;Foi terrível, experiência desagradável!;Nada;Hotel muito velho , quarto que fede a mofo lençol com cheiro de cachorro molhado , móveis do quarto tudo velho caindo os pedaços, o banheiro velho com cortina de plástico espelho do banheiro tão velho de fazer vergonha completamente descascado.Não vale uma estrela!;1;;;;;;;;;
12 de junho de 2023;excelente;quarto espaçoso. cama com colchão excelente.;Tudo bom.;10;;;;;;;;;
12 de junho de 2023;excelente;da cama e travesseiros.;;10;;;;;;;;;
12 de junho de 2023;Há opções (bem) melhores por esse preço.;Espaço grande e confortável;"Ar condicionado antigo e barulhento (mesmo estando em andar ""reformado""). A fechadura da porta estava com marca de arrombamento, me deixando com receio. Ralo do chuveiro parcialmente entupido. Recebi um email informando que haveria duas tarifas (com e sem café da manhã). No balcão o atendente informou que era tarifa única.";4;;;;;;;;;
11 de junho de 2023;Péssimo;Funcionários atenciosos e educados.;Hotel em péssimo estado, cheiro de mofo logo na entrada, quarto cheio de umidade nas paredes e com muito mofo, ar condicionado extremamente barulhento. Cama desconfortável, café da manhã que deixou muito a desejar. Diária cara com péssimo retorno. Sem dúvidas a pior experiência que já tive em um hotel.;1;;;;;;;;;
9 de junho de 2023;Ruim;;Hotel velho, instalações péssimas e sujas. Atendimento check-in ruim, sem educação. O quarto que nós indicaram estava desarrumado. Para rede Mercure deixou a desejar, valor caro para péssimo hotel;3;;;;;;;;;
8 de junho de 2023;Satisfatório;;Ar condicionado não esfriava, cortinas furadas, no quarto que fiquei o vidro tremeu a noite toda com o vento.;6;;;;;;;;;
5 de junho de 2023;Baixíssimo custoxbenefício.;nada. precisa de reforma urgente. para a categoria Gran Mercure, o estado atual é incompativel. ;;;;;;;;;;;
Estão passando por reforma;" e já tem quartos novos dispníveis a partir do 16o andar. Mas não nos foi avisado no check in. Poderia ter sido feito upgrade para esses novos quartos.""";Quarto antigo, paredes com mofo, mobiliario em estado ruim de conservação. Banheiro com cheiro forte no esgoto. Péssima experiência.;5;;;;;;;;;;
4 de junho de 2023;Excepcional;Funcionários, Hotel e localização.;Foi tudo ótimo.;10;;;;;;;;;
1º de junho de 2023;Excepcional;Muito bom café da manhã e a vista da praia maravilhosa;O restaurante deixa a desejar...;10;;;;;;;;;
29 de maio de 2023;Decepcionante;Café bom. Localização Ótima.;Quartos velhos com móveis danificados. Meu cunhado foi trocar de quarto (pois não gostou do primeiro que recebeu) e cobraram dois quartos.;4;;;;;;;;;
28 de maio de 2023;estadia excelente, instalações ótimas, muito conforto e a educação dos funcionários é incrível;espaço e conforto;nada;10;;;;;;;;;
22 de maio de 2023;decepcionante;"O quarto que nos colocaram num primeiro momento não tinha absolutamente NADA do que foi enviado nas fotos: vellho, sujo, paredes mofadas, cortinas remendadas com fita crepe. Desci com as malas para ir embora, daí me dizeram que tinham outra opção que poderia me mostrar, só apenas na terceira opção foi algo condicente de sair da minha casa para me hospedar. Mostrei as fotos do Booking e disse , vcs não estão entregando o que comprei. Pra completar, chamei o gerente e ele estava "" ocupado""... Uma verdadeira vergomnha.";Praticamente tudo. Nada era a contento. Nada de 5 estrelas, nem acomodação, instalações nem café da manhã.;;;;;;;;;;
"Uma tristeza.""";5;;;;;;;;;;;;
22 de maio de 2023;Hotel Gran Mercure, não volto e não recomendo, decepcionante!;Comida local e alguns Bares como o Bar Bode do Nô, com música ao vivo, é uma boa opção para quem gosta de sair a noite. O calçadão de boa viagem é muito para caminhar de dia e à noite, as barraca tem água de coco geladinha.;Do hotel, banheiro sujo, vaso e banheira. A banheira não é convidativa a tomar banho nela pela sujeira. Inclusive estava entupida, avise a recepção e nada foi feito. A arrumação tive que solicitar na recepção no segundo dia, a colchão é muito antigo, muito desconfortável pela sua deterioração pelo tempo de uso, passou da hora de trocar. O hotel informa que tem estacionamento com manobrista, na realidade o manobrista tem, a questão é que os carros ficam na rua, no estacionamento na lateral do hotel, ao lado da avenida de Boa Viagem, eles não ficam aguardados em garagem segura. Os funcionários da recepção não são simpáticos, tive a sensação que o recepcionista não gostou quando fui reclamar que a banheira estava entupida, desde da minha chegada e que a limpeza não havia sido feita. Do café da manhã, só a simpatia e a tapioca do tapioqueiro que faz, é excelente o serviço dele. Para um hotel com diária de R$ 400,00, poderia oferecer um serviço com qualidade melhor. Para finalizar, achei um absurdo o hotel não fazer o meu check in faltando 15 minuto para as 14h, se isso é ordem da gerência, sugiro rever esse procedimento, 15 minutos? Não deixaria o hotel mais pobre ou com custo alto.;4;;;;;;;;;
21 de maio de 2023;Satisfatório;;café da manhã não corresponde ao valor da diária;6;;;;;;;;;
20 de maio de 2023;não vale o custo;café da manhã;ar condicionado central barulhento e com poeira, para quem tem rinite alérgica é muito ruim;;;;;;;;;;
água da pia do banheiro saiu muito suja ;" nem tive coragem de escovar os dentes""";5;;;;;;;;;;;
17 de maio de 2023;horrível. l booking deveria fazer a curadoria melhor de suas parcerias.;ruim, água barrenta;roubaram meu carregador de iPhone. não fizeram nada. terrible;1;;;;;;;;;
16 de maio de 2023;Satisfatório;Café da manhã;Instalações. Quarto antigo, cheiro de mofo;6;;;;;;;;;
16 de maio de 2023;Muito ruim;Localização. Café. Atendimento equipe;Mau cheiro forte no quarto, banheiro e corredor.;5;;;;;;;;;
15 de maio de 2023;excelente;limpeza e conforto;;10;;;;;;;;;
15 de maio de 2023;excelente;Ótima localização;o café da manhã poderia ser melhorado;10;;;;;;;;;
14 de maio de 2023;foi boa mais o lazer do prédio muito a baixo, poderia ser melhor pelo preço pago pela estadia;achei espaçoso o quarto mais poderia ser mais agradável;achei água muita graça do chuveiro as vezes não esquentava, banheiro apertado.;6;;;;;;;;;
13 de maio de 2023;Não vale a pena apesar da reforma dos quartos;Atendimento dos funcionários é bom;;;;;;;;;;;
localização boa;;;;;;;;;;;;;
"café da manha ok""";Insuportável ruido das máquinas do ar condicionado pelo edificio inteiro . Pior ainda nos andares altos onde estão localizadas as maquinas. Chega a ser desrespeitodo com os hospedes;;;;;;;;;;;;
"Internet ruim.""";4;;;;;;;;;;;;
13 de maio de 2023;decepcionada;O caé da manha era muito bom, com sucos naturais e vários doces e salgados e opççao de tapiocas, waffles e ovos feitos na hora.;Os quartos eram mal mantidos e a limpeza deixava a desejar. O banho era péssimo, chuveiro ruim dentro de banheira de difícil acesso e perigosa e fechamento com cortinas. Secador de cabelo muito ruim também a única coisa boa do banheiro era um bom espelho de aumento para maquiagem, porém este nao estava bem posicionado.;4;;;;;;;;;
10 de maio de 2023;aceitável;Equipe simpática;Ar condicionado da suíte ruim, reclamei na recepção mas não foi resolvido.;5;;;;;;;;;
10 de maio de 2023;Excepcional;Quarto novo e limpo, com 2 ambientes;;10;;;;;;;;;
10 de maio de 2023;Gosto muito do Gran Mercure Recife.;Localização;;10;;;;;;;;;
8 de maio de 2023;Excelente;Quarto confortável, estrutura bem conservada, café da manhã e staff maravilhosos!;;10;;;;;;;;;
