data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
"Localização ruim""";1;;;;;;;;;;
14 de outubro de 2024;anônimo;Atenção dos funcionários , em especial da recepcionista Marcela.;Chuveiro,faltou água quente.;;;;;;;;
Café da manhã com poucas opções.;;;;;;;;;;;
"Não havia cobertores.""";6;;;;;;;;;;
1º de outubro de 2024;Gostei que é perto da praia, tinha estacionamento , café bom .;Quartos amplos e novos;;10;;;;;;;
28 de setembro de 2024;Excepcional;;Bom dia!;;;;;;;;
Para ficar melhor a hospedagem é preciso organizar melhor o café da manhã. Está faltando alguém responsável por esse setor. Fazer uma apresentação melhor dos alimentos e a reposição sem precisar do cliente ficar esperando. O cuscuz está mal apresentado;" os bolos...dá um upgrade. Nos demais quesitos está tudo ótimo.""";10;;;;;;;;;
22 de setembro de 2024;Achei péssimo ter q tomar banho com água de péssima qualidade e mau cheiro na pia.;Quarto;Banheiro;3;;;;;;;
19 de setembro de 2024;Excepcional;Localização, atendimento.;Melhorar o café da manhã.;10;;;;;;;
16 de setembro de 2024;Satisfatório;Localização;Ralo do banheiro entupido.;6;;;;;;;
15 de setembro de 2024;Razoável. Esperava mais do hotel.;Localização;;;;;;;;;
"Limpeza do quarto""";O quarto era escuro, mesmo durante o dia, pois a janela era para uma área fechada com iluminação natural precária.;;;;;;;;;;
"O café da manhã era muito muito fraco. Poucas opções de fruta. Pão parecia que não era fresco.""";6;;;;;;;;;;
27 de agosto de 2024;Voltarei mas vezes 😍;Gostei dos cômodos , espaço, café da manhã , recepção, localidade .;Precisa ser feito tomadas próximo as camas , e manutenção dos chuveiros.;10;;;;;;;
24 de agosto de 2024;A estadia supriu minhas expectativas que estava viajando a trabalho. Mas pra lazer não indico.;Hotel limpo, chuveiro quente funciona bem, ar condicionados novos, limpos e funcionando mto bem. Funcionários solícitos. Localização ótima. Atendeu plenamente minhas necessidades que viajei a trabalho.;Hotel não dispõe de elevador, apenas escadas. Então pra quem tem mobilidade reduzida ou leva muitas malas o ideal é solicitar com antecedência acomodação no andar térreo pq esse pode ser um problema. Café da manhã é simples. Não espere aquela diversidade de pães e frios. Mas atende muito bem e o básico é mto bem feito. ;;;;;;;;
O hotel não dispõe de edredom ou mantas; apenas lençóis finos; mas sempre me disponibilizou mais lençóis quando pedi. Poderiam ter mantas..;;;;;;;;;
As paredes são finas; então pessoas conversando alto no corredor; batendo na porta e também a televisão do quarto vizinho podem ser ouvidas. Se você gosta de dormir cedo ou até até mais tarde pode ter problemas por causa de barulho. Esse sim é um ponto a ser melhorado. Tive um pequeno imprevisto também com a camareira entrando pra arrumação comigo ainda no quarto. Essa situação poderia ter gerado mais constrangimento doq de fato aconteceu pois eu ja estva de saída;" mas não deveria acontecer em hipótese alguma.""";6;;;;;;;
24 de agosto de 2024;Não aconselho a estadia, só minha opinião;A única coisa que escapou foi a localização, Praia de Boa Viagem.;Começa que é uma estrutura de 2 andares, onde tive que subir uma escada com o pé praticamente imobilizado.;;;;;;;;
Se não bastasse; embora reconheça que é um cenário que não advém do hotel; havia uma britadeira; algo do tipo do lado; com um barulho insano; sem possibilitar um descanso. O chuveiro que esquentou a noite; de manhã nem com reza aqueceu. O café da manhã fraquissimo; inclusive a melancia que peguei estava quente. Pra sair; a recepção fica fechada para a rua; e no atendimento fiquei esperando um tempo;" sem ninguém para atender. Realmente diversos motivos para dar uma nota baixa""";1
2 de agosto de 2024;Péssimo;;não gostei do café da manhã, fraco demais, funcionários rudes, colchão muito duro, nem consegui dormir direito;1;;;;;;;
29 de julho de 2024;boa, mas o café deixa muito a desejar.;localização;Café da manhã poderia ser mais sortido. Atendentes ríspidos, não dispões de comidas simples e regionais (tapioca, sucos..);5;;;;;;;
26 de julho de 2024;Hotel bem simples mais muito bem localizado;A Localização é ótima, os funcionários bem simpáticos. Acho apenas que o café da manhã poderia ser melhor.;No banheiro não tem toalha de rosto e nem de piso (tem um tapete que fica encharcado) também não tem suporte para colocar sabonete na pia. De uma forma geral o banheiro é bem ruim. Dentro do box não tem nenhum apoiador do produtos de higiene. Enfim. O banheiro foi o que não gostei. Mais o chuveiro e bom.;6;;;;;;;
12 de julho de 2024;Razoável;Localização excelente.;Café da manhã deixa a desejar. Hotel bem apertado. Não ofereceram cobertas a noite.;5;;;;;;;
1º de julho de 2024;Caro e não vale a pena;Localização boa;Cheguei por volta de 01h da manhã do dia 28/06/2024 e fui informada que teria q sair até 12 do mesmo dia por que ele contaria minha entrada como 27/06, só q eu estava em São Paulo nesta data. Fiz reserva para o dia 28, achei um absurdo, fiquei lá por q estava cansada e não queria ter q procurar outro lugar para ficar. ;;;;;;;;
A luz do banheiro estava queimada;" tive q tomar banho com a luz do meu celular.""";1;;;;;;;;;
21 de junho de 2024;Excepcional;Atendimento e localização;;10;;;;;;;
16 de junho de 2024;Maravilhosa;Tudo limpo? Funcionários bem educados, amei foi perfeito.;;10;;;;;;;
8 de junho de 2024;Excepcional;Gostei muito do quarto, co café da manhã. Ótima localização;;10;;;;;;;
1º de junho de 2024;não voltaria;localização;do chuveiro, do café da manhã, dos travesseiros, da cama dura;6;;;;;;;
27 de maio de 2024;Aceitável;Localização e funcionários educados e atenciosos;Instalações e equipamentos do quarto com dificuldades de funcionamento;5;;;;;;;
22 de maio de 2024;Satisfatório;Proximidade da praia.;As camas não eram confortáveis,quarto e banheiro muito pequenos e apertados.;6;;;;;;;
10 de maio de 2024;Não gostamos da estadia!;O custo benefício e o fato de ter estacionamento.;O quarto não é aconchegante, corredores barulhentos, sem contar que o piso do quarto ficava o tempo todo úmido (não sei se por causa do ar condicionado ou do chuveiro). E o café da manhã deixa a desejar.;3;;;;;;;
7 de maio de 2024;Excepcional;Custo-benefício ;;;;;;;;;
Localização ;;;;;;;;;;;
"Funcionários atenciosos""";;10;;;;;;;;;
4 de maio de 2024;Ótima opção!!;Atendimento sempre cortês!!;Não teve!;10;;;;;;;
2 de maio de 2024;Aceitável;;Café da manhã muito ruim, fraquíssimo. Muito longe da pracinha de boa viagem . As pessoas que viajaram comigo não gostaram de nada;5;;;;;;;
23 de abril de 2024;Aceitável;Localização boa.;Das instalações.;5;;;;;;;
22 de abril de 2024;Aceitável;Gostei do acesso para outros lugares próximos como a praia, por exemplo. O quarto achei que fosse um pouco maior, mas fora isso foi tranquilo.;O café da manhã deixou a desejar;5;;;;;;;
22 de abril de 2024;Foi muito boa a minha estadia.;O atendimento do hotel no momento do check in e check out, foi rápido. A localização facilitou bastante a locomoção pela cidade.;;10;;;;;;;
14 de abril de 2024;Excepcional;Ambiente bem organizado, ótimo atendimento, e o café da manhã também foi muito bom! Recomendo!;;10;;;;;;;
14 de abril de 2024;Satisfatório;Limpeza, atendimento de excelência.;O horário do café da manhã, poderia começar mais cedo, tendo em vista que a maioria dos passeios a saída ainda não está liberado o café.;6;;;;;;;
12 de abril de 2024;Fiquei um pouco decepcionado com o hotel;- Acho que faltou habilidade do hotel em nos colocar em frente a um quarto que estava em reforma uma vez que haviam outros quartos vazios conforme informado na recepção, apesar de sugerirem mudança de quarto 2 dias depois. ;;;;;;;;;
;;;;;;;;;;;
#NOME?; melão; melancia estão com casca. Certa ocasião pedi educadamente pão para uma funcionária; pois havia acabado e disse ela que iria buscar. Tomei o café com um pedaço de bolo voltei para buscar o pão mas ninguém fez a reposição.;;;;;;;;
Achei um pouco deselegante e então voltei para o quarto.;;;;;;;;;;;
;;;;;;;;;;;
Trata-se de uma opinião; baseada na minha experiência como hóspede que confesso não foi muito boa.;;;;;;;;;;
;;;;;;;;;;;
"-""";;4;;;;;;;;;
7 de abril de 2024;Fui para ficar o fds, o hotel cumpriu perfeitamente as minhas necessidades;Localização excelente, instalações satisfatórias e limpas.;Seria interessante uma ampliação do estacionamento.;10;;;;;;;
6 de abril de 2024;Aceitável;Bem limpo, perto de boa viagem!;O colchão duro! E o travesseiro parecia uma coberta dobrada muito duro! E não tinha toalha de rosto!;5;;;;;;;
4 de abril de 2024;Quartos limpos, ar-condicionado ótimo, funcionários agradáveis.;A localização é muitoooooooo boa! Peguei o quarto para 4 pessoas e achei a limpeza excelente. Ficamos muito satisfeitos.;O cobertor é muito fino. Não perguntei se tinha outra opção.;;;;;;;;
"O café da manhã é repetitivo. Gosto quando tem opções variadas. No 4º dia acabamos optando por ir na padaria para variar.""";10;;;;;;;;;;
3 de abril de 2024;funcional, atende aos requisitos mínimos.;localidade boa, café da manhã ok, nada demais, mas simples e gostoso, pessoal educado, limpeza tbm ok. Atende bem.;fiquei duas vezes no mesmo hotel, pagando o mesmo preço, e com o mesmo tipo de quarto, porém da primeira vez fiquei em um quarto bem apertado, que não recomendo, a segunda vez fiquei em um quarto de qualidade melhor, que recomendo. Não tem acessibilidade no hotel, e como sugestão, colocaria cobertores um pouco mais grossinhos p poder se cobrir melhor.;5;;;;;;;
30 de março de 2024;Recomendo;Quarto bem limpo, funcionários bem atenciosos, cama confortável, banheiro bem grande.;;;;;;;;;
Bem localizado. Café da manhã de segunda-feira estava muito bom; com bastante opções é muito gostoso. Recomendo a hospedagem;" vale muito a pena.""";Fiquei em um quarto de janela para a rua, ai incomodou um pouco o barulho dos carros na avenida.;;;;;;;;
"O café da manhã de domingo foi um pouco escasso e sem variedade.""";10;;;;;;;;;;
26 de março de 2024;Bela estadia;Tudo .. recepção muito boa...;Poucas variedades de frutas no café.;10;;;;;;;
21 de março de 2024;Não voltaria;Dos funcionários;Pela relação custo/benéfico não achei que valeu a pena.;6;;;;;;;
19 de março de 2024;péssimo;a localização era perto da loja, única coisa boa;Quarto minúsculo, bem apertado, barulhento e por incrível que pareça meu air tag sumiu após minha hospedagem no hotel e foi parar numa favela em Recife, como foi parar la, eu não sei.;5;;;;;;;
17 de março de 2024;Não recomendo devido ao barulho e cheiro;;Paredes de drywall sem isolamento acústico, muito barulho dentro do quarto a todo momento com qualquer movimento nos corredores mesmo de madrugada é muito dificil dormir e não sou muito chato com barulho. Além de cheiro forte de esgoto saindo dos ralos do banheiro deixando o ambiente ruim. Infelizmente não recomendo;3;;;;;;;
10 de março de 2024;Satisfatório;A localização era boa, próximo da praia e de alguns restaurantes. Com estacionamento na frente bem seguro.;O vaso sanitário do quarto em que fiquei parecia um pouco solto ou mal instalado. Além disso o chuveiro não esquentava.;6;;;;;;;
8 de março de 2024;Não vale a pena!;A localização;Quarto ruim, sem ventilação, forma de pagamento, não parcelam no cartão como na maioria dos hotéis, o café estava frio.;1;;;;;;;
6 de março de 2024;Custo-benefício.;Hotel fica pertinho da praia. Muito bem localizado na praia de Boa Viagem, perto de bares, restaurantes, tem uma padaria quase em frente. Compensa demais o hotel, custo-benefício excelente. O quarto é bem espaçoso.;O café da manhã não tem muitas variedade. Achei bem simples.;10;;;;;;;
5 de março de 2024;Excepcional;Hotel organizado, atendimento excelente, ótimo custo benefício.;;10;;;;;;;
5 de março de 2024;Ruim;;Quarto muito abafado. Cheiro de mofo. Chuveiro com problema.;3;;;;;;;
2 de março de 2024;Excepcional;O recepcionista foi extremamente atencioso, o quarto estava limpo e organizado e o café da manhã estava bom;;10;;;;;;;
26 de fevereiro de 2024;Suficiente;Acomodação boa!;Devido a recepção ser quente, a recepcionista fica de mau humor, ano passado estavam mais simpáticas!;6;;;;;;;
24 de fevereiro de 2024;Excepcional;Gostei do ambiente, da localização, do quarto e gostei principalmente do café da manhã servido no domingo, este foi bastante variado e nutritivo.;;10;;;;;;;
24 de fevereiro de 2024;Satisfatório;Da localização.;Do quarto, não tinha uma janela boa pra entrada de ar e ficava muito úmido.;6;;;;;;;
22 de fevereiro de 2024;Excepcional;;O café da manhã pode melhorar, apesar de ser razoável;10;;;;;;;
16 de fevereiro de 2024;Decepcionante;Limpeza estava boa.;Falta de água no chuveiro e a cama muito dura.;4;;;;;;;
16 de fevereiro de 2024;Satisfatório;Localização e Segurança.;a cama precisa de novos cobertores e edredons;6;;;;;;;
12 de fevereiro de 2024;Excepcional;Recepção maravilhosa café da manhã excelente;As escadas fora escadas tudo tava perfeito;10;;;;;;;
9 de fevereiro de 2024;Excepcional;Tudo!;;10;;;;;;;
8 de fevereiro de 2024;Café da manhã muito limitado e ruim;Da localização.;Péssimo café da manhã. Garfos sujos.;6;;;;;;;
7 de fevereiro de 2024;Excepcional;Adoramos a hospedagem, café da manhã muito bom.;;10;;;;;;;
6 de fevereiro de 2024;Satisfatório;Boa localização e quarto espaçoso;O quarto tinha manchas no teto e paredes, além de ser muito fechado, quase sem iluminação natural.;6;;;;;;;
6 de fevereiro de 2024;Excepcional;Localização, tamanho do quarto, limpeza, café da manhã. Atenção no atendimento.;Nada a reclamar.;10;;;;;;;
6 de fevereiro de 2024;2 vez que me hospedo no Uzi Mar e não tenho do que reclamar. Só elogios desde a recepção, localização e ambiente;Tudo;;10;;;;;;;
4 de fevereiro de 2024;Excelente!;Localização boa e café da manhã excelente.;;10;;;;;;;
4 de fevereiro de 2024;Pésima actitud en la recepción;Muy buena ubicación, las señoras de la limpieza simpáticas. El desayuno bien.;Durante nuestra estancia de tres noches el Internet estaba fallando todo el tiempo. La presión del agua baja, un día ni nos pudimos bañar. ;;;;;;;;
La actitud de las señoritas en la recepción pésima. Ni voltean a ver a los huéspedes. En la tarde hay que esperar a que las recepcionistas abran la puerta de entrada pero a veces no hay nadie en la recepción o las recepcionistas están con su celular sin poner atención;" es muy desesperante.""";6;;;;;;;;;
4 de fevereiro de 2024;Excepcional;Localização e limpeza;Contratei pelo site do booking e deu diferença de preço para mais na hora de pagar no check in;10;;;;;;;
31 de janeiro de 2024;Café da manhã horrível, todos os dias a mesma coisa, café sempre frio e poucas opções de tudo, não vale o preço de jeito;Localização e ar condicionado;Pe direto muito baixo, temos a sensação de estar numa cela;3;;;;;;;
23 de janeiro de 2024;Excepcional;Estava tudo muito limpo, camas confortáveis e café da manhã muito bom.;;10;;;;;;;
22 de janeiro de 2024;Satisfatório;O q;O quarto tinha poucas tomadas, a iluminação do quarto 205 não era boa e tinha um cheiro de retorno do banheiro que não estava legal;6;;;;;;;
19 de janeiro de 2024;Não voltaria;Localização boa;Café da manhã com poucas opções. Instalação antiga, quartos pequenos e sem iluminação natural (abafados e com cheiro de mofo). Atendimento na recepção deixou a desejar.;5;;;;;;;
16 de janeiro de 2024;Compatível com o valor que paguei;O café da manhã é muito bom. É silencioso. O tamanho do quarto é aceitável.;;5;;;;;;;
15 de janeiro de 2024;Satisfatório;Localização;Café da manhã com pouca variedade.;6;;;;;;;
15 de janeiro de 2024;Péssimo;Limpeza. Localização muito boa!!!;Chegamos na madrugada, eu tinha avisado ao hotel o horário pois era 3h da manhã. Chegamos e o recepcionista não estava, porta fechada (lá os hotéis a maioria é porta fechada), não tinha como entrar. Tivemos que ligar para o hotel para ele aparecer. Quarto muito pequeno, somente uma janela basculante, me senti presa. Cama dura e muito desconfortável. Para mim;;;;;;;;
14 de janeiro de 2024;Razoável;Recepção e Cafesa manhã.;Valor da diária foi diferente daquele que estava no aplicativo. Paguei a mais.;10;;;;;;;
12 de janeiro de 2024;Gostei ,muito bom !;Localização é top. Café da manhã simples,porém muito bom !;Odor de esgoto no banheiro.;10;;;;;;;
11 de janeiro de 2024;Pior em anos de viagem;não há nada o que eu possa ter gostado;espaço minúsculo, havia feito a reserva para duas pessoas e não tinha toalhas. o Wi-fi não funciona, pra quem trabalha remoto, vá para outro hotel! o café da manhã é bem horrível, ovos extremamente salgados. Péssima experiência;3;;;;;;;
10 de janeiro de 2024;Excepcional;Limpeza, organização, e café da manhã.;;10;;;;;;;
9 de janeiro de 2024;Excepcional;Bom recomendo;;10;;;;;;;
8 de janeiro de 2024;Pessima;Nada;Tudo;1;;;;;;;
7 de janeiro de 2024;Excepcional;Tudo, café, acomodações e localização.;;10;;;;;;;
5 de janeiro de 2024;Satisfatório;Localização,;Do quarto;6;;;;;;;
4 de janeiro de 2024;Aceitável.;Boa localização, acomodação,limpeza e atendimento.;;;;;;;;;
"O café da manhã achei fraco. Deixou a desejar.""";Do café da manhã. O café frio e as comidas também. Faltou alguns itens que fazem parte do café da manhã. A noite, faltou energia. Ficamos num calor triste e por conta dos pernilongos.;6;;;;;;;;;
3 de janeiro de 2024;Péssimo;Não gostei de nada ! Péssimo estadia;Ambiente e quarto.;1;;;;;;;
3 de janeiro de 2024;Aceitável;Café da manhã abaixo da média.;Café da manhã. Toalhas não estavam muito limpas.;5;;;;;;;
3 de janeiro de 2024;Foi tranquila!;Localização!;Não é muito aconchegante! E os itens de higiene que oferece forma muito básicos.;5;;;;;;;
3 de janeiro de 2024;Regular;Localização;Café da manhã desorganizado e não tinha muito sabor as preparações.;5;;;;;;;
2 de janeiro de 2024;Sofrida;;Quarto com cheiro de mofo, infiltração no banheiro, chuveiro muito ruim (fraco e difícil de esquentar),café da manhã com pouquíssimas opções, lençol rasgado, porta do banheiro descascada e maçaneta enferrujada;4;;;;;;;
26 de dezembro de 2023;Ruim.;De verdade, nada. Não voltaria . Nos demais locais que fiquei na sequência, incluindo uma pousada, tudo foi simples, mas de excelente qualidade e condições de hospedagem dentro da categoria classificada.;O café da manhã era ruim com frutas passadas . A equipe da cozinha não estava disponível para qualquer solicitação ou dúvida. Conversavam entre eles em outro ambiente. O quarto tinha um cheiro constante de esgoto, tínhamos que pedir toalhas e havia sempre necessidade de solicitar novamente para a entrega final. O mesmo com a reposição do papel higiênico. Havia , apenas , o rolo em uso. O box estava entupido e tínhamos que ficar com a água suja nos pés enquanto tomávamos banho. Quando chegamos, não podíamos usar o banheiro do saguão/refeitório até que desse nosso horário do check-in. Com insistência , permitiram o uso sem demora.;1;;;;;;;
26 de dezembro de 2023;Prazerosa;Atendeu a expectativa;No geral foi bom.;10;;;;;;;
24 de dezembro de 2023;Foi ótima. Confortável.;Adoramos o quarto. A localização.;Um ponto negativo, é caso todos saiam, tudo do quarto será desligado, não dá pra deixar celular carregando ou o frigobar gelando.;10;;;;;;;
19 de dezembro de 2023;Excepcional;Quarto 221 e 223, são confortáveis, bem higienizados, tudo funcionando direitinho. O hotel conta também com garagem coberta.;Não possui elevador e café da manhã com poucas opções.;10;;;;;;;
18 de dezembro de 2023;Estadia perfeita;Ótima, localização, limpeza, bom café da manhã, funcionários prestativos ,atenciosos, gentis, Gostei MTO da hospedagem;Não houve nada q não gostasse;10;;;;;;;
13 de dezembro de 2023;Excepcional;Quarto bom, limpo, funcionários atenciosos.;Não ter cobertor, somente lençol.;10;;;;;;;
8 de dezembro de 2023;Excepcional;Café da manhã muito bom.;;10;;;;;;;
5 de dezembro de 2023;Ótima localização e café da manhã;Ótima localização. Café da manhã espetacular. Equipe bem simpática.;Nada;10;;;;;;;
4 de dezembro de 2023;Péssima experiencia;É bem localizada, próxima a praia de Boa Viagem. Fica de fácil acesso para outros locais de Recife.;Primeiro de tudo, quando entramos no quarto, percebemos que a roupa de cama não estava limpa, claramente reaproveitada. Estava com cheiro de suor, e o travesseiro sujo, mas estavam na cama como se tivessem novos. Imediatamente solicitamos a troca, que foi realizada. O café da manhã é péssimo, não pela falta de variedade, que de fato não tem, mas a comida em si deixava muito a desejar. No nosso primeiro café da manhã, que fomos as 08h40, já não tinha mais pão, e apesar de eu ter solicitado, não colocaram mais. No segundo dia, estavam servindo bananas pretas de tão passadas. Quanto ao quarto, o chuveiro é daquele modelo pvc praticamente descartável, ficava saindo durante o banho. Não existe box, aliás - molha o banheiro inteiro durante o banho. Não tem secador no quarto e nem a possibilidade de pegar um na recepção. No geral, foi uma péssima experiência e não recomendo pra ninguém.;3;;;;;;;
4 de dezembro de 2023;Decepção;Não gostei de nada;Quartos barulhentos, cama extremamente desconfortável, travesseiros ruins, não fornecem colcha de cama, a localização fica no Pina, numa área perigosa a noite.;;;;;;;;
"Café da manhã muito fraco. Chuveiros não funcionam direito.""";3;;;;;;;;;;
4 de dezembro de 2023;Excepcional;Hospitalidade! Atendimento excelente em todos os setores do hotel, café da manhã completo. Limpeza nota 10. Parabéns ao UZI MAR, equipe atenciosa no quadro de colaboradores.;;10;;;;;;;
3 de dezembro de 2023;Razoável por causa da localização e da comida;Gostei do bolo do café da manhã e do suco de acerola. O quarto no primeiro dia estava limpo;Não explicaram sobre se iriam limpar o quarto pois estava precisando;;;;;;;;
Nao gostei que a tv não estava funcionando ;;;;;;;;;;;
Não gostei que o controle de ar nao conseguia mudar a temperatura ;;;;;;;;;;;
Não gostei que não tinha um lençol mais quente ;;;;;;;;;;;
"Não gostei da primeira moça que atendeu a gente na recepção""";5;;;;;;;;;;
30 de novembro de 2023;Podia melhorar....;A localização é boa esse é o ponto positivo apenas.;"Acho que o ""hotel"" poderia fazer várias melhorias nos quartos. Deixa a desejar em vários aspectos, considerando que o que buscamos é tomar um banho bom e dormir bem depois de um dia cansativo.";;;;;;;;
Os travesseiros são desconfortáveis ;;;;;;;;;;;
A cama dura...;;;;;;;;;;;
Só tem o lençol fino sem a colcha;;;;;;;;;;;
O chuveiro é daqueles de plástico com saída de pouca água... ;;;;;;;;;;;
"O frigobar não funciona....""";6;;;;;;;;;;
25 de novembro de 2023;Nada memorável;Boa localização, é isso;Café da manhã com pouca variedade, quarto sem janela alguma, parece uma prisão;6;;;;;;;
22 de novembro de 2023;Apenas para ter um local com certo conforto para dormir, numa boa localização.;Localização boa e ar condicionado funcionava muito bem.;Voltamos pro hotel por volta das 23:30h e ficamos uns 5 min na calçada do lado de fora tocando a campainha pra alguém liberar nossa entrada, o que comprometeu nossa segurança. Fomos informados na recepção de que o café da manhã seria até as 10h, e descemos às 09:30h. Não havia mais café e apenas pouquíssimas opções para se servir. Só depois vimos uma placa informando que o horário do término seria às 09:30h. Até hoje não sabemos qual a informação correta.;;;;;;;;
"Não há elevador e esteja preparado para subir as escadas com a bagagem.""";6;;;;;;;;;;
21 de novembro de 2023;Não recomendo!;Pior hotel que já fiquei no mundo!;Tudo foi ruim! Péssimo! Ralo do banheiro entupido, descarga estragada, chuveiro frio, quarto cheirando mofo, ar condicionado sujo, cheiro forte de sabão da roupa de cama e toalhas. Estou tentando me recuperar de uma alergia horrível que adquiri nesse hotel. Não recomendo.;1;;;;;;;
20 de novembro de 2023;Muito péssima a hospedagem que parecia um motel.;Localização, apenas!;O quarto que ficamos no hotel era péssimo, colchão velho, baixo, o chuveiro quente não funcionava, o chuveiro era fraco, o café da manhã com pouca variedade, a água do hotel era salobra que não fazia espuma no sabonete, o controle do ar condicionado não funcionava direito, os lençóis disponíveis eram péssimos, o quarto muito pequeno.;1;;;;;;;
20 de novembro de 2023;Ruim;Não gostei de nada, e olhe que já fiquei várias vezes nesse hotel, mas dessa vez mim colocaram no pior quarto, não tinha toalha, não tinha sabonete, cama pequena, quarto minúsculo.;;;;;;;;;
"Experiência horrível""";Não gostei de nada;4;;;;;;;;;
14 de novembro de 2023;Ótimo custo benefício;Tudo bem limpo, funcionários educados, instalações novas e confortáveis;;;;;;;;;
"Café da manhã bom""";;10;;;;;;;;;
13 de novembro de 2023;Aceitável;O café e bom, o pessoal bem anteciosso;O meu quarto ficou três dias sem arrumar;5;;;;;;;
11 de novembro de 2023;Bom.custo benefício;Localização próxima a praia;Não tem cobertor;6;;;;;;;
10 de novembro de 2023;Aceitável;Próximo de tudo e bom café da manhã;Banheiro com mau cheiro e sem box;;;;;;;;
8 de novembro de 2023;Satisfatória;Funcionários.;Instalações. Quarto sem janela, apertado.;6;;;;;;;
7 de novembro de 2023;Localização excelente, mas minha experiência no hotel foi decepcionante para o valor pago.;A localização é excelente, pois está muito próxima da praia e de todas as opções comerciais em Boa Viagem/Pina. Além disso, é conveniente em relação ao aeroporto, já que o Uber custou cerca de R$16,00. ;;;;;;;;;
Ademais; os atendentes são muito educados e prestativos.;;;;;;;;;;
"O chuveiro é potente e de fácil utilização.""";A ausência de edredons nos quartos resulta em desconforto noturno ao ligar o ar condicionado, o que me causou desconforto térmico e afetou a qualidade do meu sono.;;;;;;;;;;
Os lençóis parecem desgastados e seria benéfico investir em roupa de cama mais nova e de melhor qualidade.;;;;;;;;;;;
A falta de tomadas próximas à cama dificultou o carregamento de dispositivos durante a noite.;;;;;;;;;;;
A insonorização dos quartos deixa a desejar; permitindo que ruídos do corredor e atividades vizinhas; como banhos; afetem a tranquilidade dos hóspedes.;;;;;;;;
A ausência de janelas com vistas limita a experiência visual dos quartos.;;;;;;;;;;;
O café da manhã; apesar da oferta gratuita; não correspondeu às expectativas;" divergindo das imagens exibidas no site de reservas. Isso gerou desapontamento.""";4;;;;;;;
4 de novembro de 2023;Excepcional;Funcionários atenciosos. Café da manhã excepcional.;;10;;;;;;;
2 de novembro de 2023;Estadia agradável e confortável.;O local é bem localizado, não tive dificuldade de acesso, nem na locomoção e nem na comunicação com o hotel. O quarto era amplo, bem organizado e atendeu completamente as necessidades.;O horário de check in poderia ser um pouco mais cedo, no entanto, quando cheguei, mesmo antes do horário, como o quarto estava disponível, consegui entrar.;10;;;;;;;
31 de outubro de 2023;Tranquila;Café da Manhã uma delicia, Localização ótima.;Quarto muito pequeno, conforto razoável. Deixa a desejar;5;;;;;;;
31 de outubro de 2023;Satisfatório;;O café da manhã não é variado, contando somente com o básico do básico.;6;;;;;;;
31 de outubro de 2023;Excepcional;Boa estrutura, organização e a localização.;;10;;;;;;;
30 de outubro de 2023;Tranquilidade e boa localização;De início, o atendimento das pessoas com as quais cheguei a falar por telefone (Helena, Lena e Débora), que foram muito solícitas, o que se confirmou desde a chegada. O hotel é muito organizado e os quartos são espaçosos. Viajei como líder científico de um grupo de estudantes de uma Universidade Federal (totalizando 9 pessoas), que participaram de um congresso científico e todos se mostraram satisfeitos com as acomodações. Foi uma experiência muito boa e tranquila. O hotel possui localização excelente para os pontos principais de Recife e numa distância bem cômoda para a UFPE. O staff é ótimo e o café da manhã excelente, sem deixar nada a desejar.;;10;;;;;;;
29 de outubro de 2023;Satisfatório;Café da manhã com poucas opções;;6;;;;;;;
28 de outubro de 2023;Decepcionante;Localização. Funcionários foram receptivos.;Colchões e travesseiros duros, roupa de cama áspera. Quarto não tinha ventilação. Por ter apenas dois pisos, não há elevador e tbm não tem funcionários pra ajudarem a carregar as malas no andar superior.;4;;;;;;;
21 de outubro de 2023;Satisfatório;;Cama muito desconfortável, colchão muito duro parecia que estava deitada no chão!;6;;;;;;;
19 de outubro de 2023;Maravilhosa;Tudo;Tudo top;10;;;;;;;
17 de outubro de 2023;Aceitável;O apartamento triplo tem um tamanho bom para o padrão do hotel.;Os travesseiros são péssimos e a cama muito dura, o quarto triplo tem um tamanho aceitável para o hotel, mas o travesseiro é muitooooooooo ruim de verdade, o café da manhã também é bem fraquinho, mas o pior são os travesseiros.;5;;;;;;;
17 de outubro de 2023;Caro e não vale a pena;A localização era boa;O café da manhã era nota Dó,pelo amor de Deus os detalhes são fundamentais.Achei o hotel caro e nem elevador;4;;;;;;;
16 de outubro de 2023;Hotel limpo, bem localizado mas muito simples.;A localização é boa, com facilidades como farmácias, mercados e restaurantes próximos.;A estrutura do hotel não é confortável ou bonita. Cada quarto conta com apenas uma tomada de energia e ainda longe da cama. Jogo de toalha limpo mas velho;;;;;;;;
16 de outubro de 2023;Ruim d+, ainda bem que foi somente um dia;Localização;O quarto, pouco ventilado, porque a janela dava para um lugar que pouco ventilava. ;;;;;;;;
O quarto me sufocou; porque tinha mofo; acordei com alergia; tosse e coriza;;;;;;;;
"O quarto não parece no térreo e sim no um porão""";1;;;;;;;;;;
7 de outubro de 2023;Ruim;Boa localização.;Café da manhã deixou a desejar, assim como limpeza e conforto dos quartos.;3;;;;;;;
3 de outubro de 2023;Esperava mais.;O único ponto bom é a localização em Boa Viagem.;O café da manhã poderia ser melhor, a comida estava muito oleosa todos os dias, o cuscuz estava duro... A roupa de cama do quarto estava suja quando chegamos e a acomodação é bem apertada.;4;;;;;;;
