data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2024;Excepcional;Localização;Nads;10;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2024;Satisfatório;Café da manhã e a distância da praia. Além de um ótimo chuveiro.;Era tudo muito barulhento, só um elevador está funcionando e os quartos são claustrofóbicos. Bemmmm pequenos.;6;;;;;;;;;;;;;;;;;;;;;;;
14 de outubro de 2024;Boa localização, porém a acomodação deixa a desejar;Boa localização e café da manhã satisfatório.;Quarto com as instalações precárias, sem acabamento. ;;;;;;;;;;;;;;;;;;;;;;;;
Acústica ruim. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Banheiro com cortina plástica; torneira com pó branco ao redor; instalações bem a desejar. ;;;;;;;;;;;;;;;;;;;;;;;;;
Portas com pinturas em preto de má qualidade. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não voltaria.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;
30 de setembro de 2024;Péssimo;NAO GOSTEI DE NADA, POIS CANCELARAM MINHA RESERVA SEM AVISAR E NAO ME DERAM ASSISTÊNCIA NENHUMA, FALTA DE COMPETÊNCIA;NAO GOSTEI DE NADA, POIS CANCELARAM MINHA RESERVA SEM AVISAR E NAO ME DERAM ASSISTÊNCIA NENHUMA, FALTA DE COMPETÊNCIA;1;;;;;;;;;;;;;;;;;;;;;;;
24 de setembro de 2024;Ótimo;Tudo limpo;;10;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;BOA;BOM - FALTOU TAPIOCA;FALTA DE TELEFONE NOS QUARTOS - FALTA DE SECADOR DE CABELOS -;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HIGIENE MELHOR.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;
22 de setembro de 2024;Superou as expectativas!;Foi perfeito, exatamente como procurava.;;;;;;;;;;;;;;;;;;;;;;;;;
Do dormir ou café da manhã; tudo maravilhoso.;;;;;;;;;;;;;;;;;;;;;;;;;;
Os funcionários educadíssimos; uma recepção excelente;" já quero outra folga do trabalho para está lá novamente.""";;10;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2024;Amei o dublê - O original rsrs;O hotel tem uma estrutura muito boa, e custo-benefício também. A poucos metros da praia de boa viagem nas imediações da padaria. Limpeza excepcional, café da manhã muito bom, e os funcionários são receptivos. Recomendo!;A cama e os travesseiros poderiam ser mais confortáveis. E o espaço do banho achei pequeno, principalmente a altura do chuveiro.;10;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2024;Excepcional;Café da manhã maravilhosa.;;;;;;;;;;;;;;;;;;;;;;;;;
Acomodação ótima;" quarto limpo.""";;10;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2024;atendimento muito bom, cama confortável, chuveiro potente, foi otimo, voltatei com certeza;atendimento muito bom, cama confortável, chuveiro potente, tem toalhas limpas, shampoo e sabonetes;nao tem tomada exatamente do lado da cama, mas tem bastante na mesa ao lado do cabideiro;10;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2024;Excepcional;Atendimento excelente, muito solicito,tudo muito organizado;;10;;;;;;;;;;;;;;;;;;;;;;;
1º de setembro de 2024;Excepcional;Equipe excelente, quarto muito bem higienizado, localização maravilhosa;;10;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;EXELENTE;O hotel é o melhor custo beneficio do Recife, localização ótima perto de tudo , quarto muito bom tem tudo que vc precisa, café da manhã com tudo que uma pessoa precisa e ainda tem os seus pedidos extras muito bem atendido pelo pessoal da cozinha, e a Tereza da recepção super atenciosa , fomos em grupo de 4 casais e todos gostaram e elogiaram o hotel que foi uma escolha minha , ainda bem que gostaram. Super recomendo para quem quer preço justo e hospedagem exelente.;NADA A RELATAR;10;;;;;;;;;;;;;;;;;;;;;;;
19 de agosto de 2024;Excepcional;Localização ;;;;;;;;;;;;;;;;;;;;;;;;;
"Boa""";Nada;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de agosto de 2024;Excepcional;Adorei a acomodação! Funcionários atenciosos e acomodação bem localizada!;;10;;;;;;;;;;;;;;;;;;;;;;;
12 de agosto de 2024;Excepcional;Próximo a restaurante e a praia;Nada a declarar;10;;;;;;;;;;;;;;;;;;;;;;;
4 de agosto de 2024;Um dos melhores hotéis que já fiquei na vida.;Quartos compactos e objetivos, muito confortáveis e bem estruturados. O quarto 304 virou meu favorito! O café da manhã e os funcionários, então, nem se falam! ME SENTI EM CASA de tão a vontade que fiquei. Pretendo voltar mais vezes! A localização, com bares ao redor e mercado em frente também é um ponto na qual o Dublē vai ficar favoritado para mim.;Infelizmente é uma guerra para se achar vaga para estacionar seu carro. Mas não culpo o hotel, pois estamos em uma das melhores localizações de Boa Viagem com os melhores preços .;10;;;;;;;;;;;;;;;;;;;;;;;
30 de julho de 2024;Estadia ótima !;Funcionários muito educados !;;;;;;;;;;;;;;;;;;;;;;;;;
"Quarto atendeu todas as necessidades !""";Hotel não tem estacionamento!;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de julho de 2024;Voltarei com certeza!;Localização ótima.;Gostei de tudo;10;;;;;;;;;;;;;;;;;;;;;;;
25 de julho de 2024;Excepcional;Cafe da manha, localização.;;;;;;;;;;;;;;;;;;;;;;;;;
Pertinho da praia;" bares e restaurantes""";Falta estacionamento;10;;;;;;;;;;;;;;;;;;;;;;;;
17 de julho de 2024;Aceitável;Localização;Azulejo sujo de cimento, barulho que só avisam quando já está lá hospedado e café da manhã muito ruim;5;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Hospedagem agradabilíssima!;Localização excelente, apenas 150m da praia de Boa Viagem.Posso afirmar que esta hospedagem possui um excelente custo benefício. Colaboradores extremamente simpáticos e atenciosos. Café da manhã excelente, bastante completo e diversificado. Deixo um agradecimento especial às meninas que fazem a arrumação dos quartos.;Gostei de tudo.;10;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Excepcional;Localização;NA;10;;;;;;;;;;;;;;;;;;;;;;;
10 de julho de 2024;TORMENTO DE ESTACIONAMENTO E CAFÉ NO QUARTO, ESQUEÇA !;Cama confortável, televisão local boa, localização boa.;Solicitei o café da manhã para ser levado a habitação por estar com um menor de 2 anos, pedi tanto na recepção como na cozinha, e tendo ( que eu vi 3 funcionárias, conversando sem fazerem nada) ficaram de levar o café para minha filha e neto, e não levaram. No quarto não vi telefone então não havia nem como solicitar. Antes de sair falei novamente na recepção que também não tomou nenhuma providência. Ou seja: poderia ter ficado em outro hotel pelo mesmo preço e com atenção total. Outra coisa o hotel NÃO POSSUI GARAGEM! Causando transtornos para estacionar e no próprio hotel tendo uma única vaga, qdo se coloca tem que ser incomodado para retirar o carro pois é entrada de entrega de toalhas e etc. NÃO RECOMENDO SE VC QUER SER BEM ATENDIDO. Além do mais a chefe da cozinha, qdo pedi e expliquei o motivo de levarem o café da manhã no quarto perguntou: vc não pode levar não? Estando eu com compromisso de hora marcada. NUNCA MAIS ME HOSPEDO AQUI!;6;;;;;;;;;;;;;;;;;;;;;;;
2 de julho de 2024;Excepcional;;Tive uma situação, com a atendente nada agradável! A atendente me cobrou um preço de meio dia! Quando foi a noite véi dizendo q tinha q pagar mas um valor, é pior ela não assumiu o valor q foi cobrado. ;;;;;;;;;;;;;;;;;;;;;;;;
"COMO Não GOSTO DE Confusão paguei a diferença q ela cobrou a mas.""";10;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de julho de 2024;É pequeno;Ótimo café da manhã e cordialidade da equipe. A cama era confortável e o ar funcionava muito bem.;Limpeza. Escolhi esse hotel pelas fotos do banheiro, quando cheguei, o banheiro era minúsculo. Para acessar o chuveiro tem que andar de lado pelo sanitário.;;;;;;;;;;;;;;;;;;;;;;;;
Sanitário este que estava sujo e cheirando urina quando cheguei.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solicitei à equipe limpeza e melhorou um pouco;" mas a experiência foi prejudicada.""";6;;;;;;;;;;;;;;;;;;;;;;;;;
26 de junho de 2024;Excelente estada no Recife;Excelente relação custo x benefício. Hotel bonito, bem localizado, preço bom, bom café da manhã, cama confortável, chuveiro maravilhoso, a uma quadra da praia da Boa Viagem;Nada;10;;;;;;;;;;;;;;;;;;;;;;;
16 de junho de 2024;Excepcional;Tudo muito organizado;;10;;;;;;;;;;;;;;;;;;;;;;;
13 de junho de 2024;Não voltaria novamente.;Funcionários e localização;Ar condicionado muito forte, quarto pequeno, guarda roupa pequeno, sem espelho, iluminação péssima.;4;;;;;;;;;;;;;;;;;;;;;;;
8 de junho de 2024;excelente;localização, funcionários, limpeza. café da manhã, conforto;poderia ter mais travesseiros;10;;;;;;;;;;;;;;;;;;;;;;;
8 de junho de 2024;Satisfatório;Bem localizado.;Os responsáveis precisam investir no treinamento dos funcionários. Deixa a desejar.;6;;;;;;;;;;;;;;;;;;;;;;;
7 de junho de 2024;Excepcional;Quarto confortável, localização excelente, pois na frente do hotel tem um mercadinho e um restaurante, próximo também ao restaurante ilha do navegantes, e próximo a um barzinho top no sábado. Café da manha muito bom, . Fica bem próximo da padaria boa viagem. Hotel bem próximo a praia de boa viagem, fui a barraca do Bigode, justamente quase na frente da padaria. muito top. Então pelo custo benefício, excelente.;;10;;;;;;;;;;;;;;;;;;;;;;;
7 de junho de 2024;Excelente ⁸;Localização conforto;Tudo foi bom, poderia ter disponivel uma coberta grossa, mas nada que influenciasse a estadia;10;;;;;;;;;;;;;;;;;;;;;;;
6 de junho de 2024;Excepcional;Café da manhã maravilhoso;Não teve;10;;;;;;;;;;;;;;;;;;;;;;;
1º de junho de 2024;Satisfatório;Quarto bem confortável!;Não tem estacionamento!;6;;;;;;;;;;;;;;;;;;;;;;;
27 de maio de 2024;Excepcional;Ambiente limpo e a manutenção em dia.;Elevador parou no andar errado 2 vezes, uma vez mostrava 4º andar e estamos no 5º na outra vez mostrava 4º e estávamos no 3º, fora isso tudo certo com a hospedagem;10;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Excepcional;Tudo;;10;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2024;EXCELENTE CUSTO BENEFICIO.;EXCELENTE CUSTO BENEFICIO.;NADA A DECLARAR;10;;;;;;;;;;;;;;;;;;;;;;;
12 de maio de 2024;Estadia, maravilhosa sem defeitos, os funcionários muito atenciosos, café da manhã maravilhoso.;Tudo muito limpo e organizado.;;10;;;;;;;;;;;;;;;;;;;;;;;
12 de maio de 2024;Esperava mais;Localização;Instalações, conforto, café da manhã;6;;;;;;;;;;;;;;;;;;;;;;;
26 de abril de 2024;Hotel bem localizado;O quarto confortável, limpeza a contento, café da manhã muito bom e localização excelente e funcionários prestativos.;Não há o que pontuar;10;;;;;;;;;;;;;;;;;;;;;;;
26 de abril de 2024;Aceitável;;Cama desconfortável, iluminação péssimo, localização razoável.;5;;;;;;;;;;;;;;;;;;;;;;;
23 de abril de 2024;Ok por só uma noite;Café da manhã muito bom, funcionários atenciosos;Quarto cheirando a mofo, sujeira em todo lado e mal acabado. Parecia muito velho.;5;;;;;;;;;;;;;;;;;;;;;;;
23 de abril de 2024;foi perfeito;é a segunda vez que me hospedo, sempre foi excelente;gostei de tudo;10;;;;;;;;;;;;;;;;;;;;;;;
21 de abril de 2024;Top de verdade;Super limpo, ambiente diferente dos outro, muito organizado, café da manhã maravilhoso;Nem;10;;;;;;;;;;;;;;;;;;;;;;;
17 de abril de 2024;No geral a estadia muito boa, ótima equipe, muito simpáticos e prestativos, com certeza retornarei.;Café da manhã muito bom nos dois dias que fiquei, uma boa variedade de opções, muito saboroso e muito bem servido. Acomodações do quarto extremamente confortáveis e o frigobar à disposição, local externo para sentar e conversar à noite e ótimos bares nas proximidades.;A smartv do quarto travava muito pra assistir qualquer coisa via streaming, e o cartão perdeu a tag ao menos 2x em 2 dias, mas foi resolvido rapidamente. Poderiam também cobrar menos pela água de 1,5lt.. R$ 10,00 é demasiado caro.;10;;;;;;;;;;;;;;;;;;;;;;;
11 de abril de 2024;Localização;Gostei de Tudo. ;;;;;;;;;;;;;;;;;;;;;;;;;
Bem simples; ;;;;;;;;;;;;;;;;;;;;;;;;;;
limpo; ;;;;;;;;;;;;;;;;;;;;;;;;;;
"bem localizado""";.;10;;;;;;;;;;;;;;;;;;;;;;;;;
11 de abril de 2024;Ótima localização;Gostei muito, foram todos prestativos.;;;;;;;;;;;;;;;;;;;;;;;;;
Café da manhã; bom.;;;;;;;;;;;;;;;;;;;;;;;;;;
Acomoda pra dos quartos; muito bons.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Localização ótima.""";Das cortinas muito volumosas , deixa a impressão de ambiente VELHO, muito antigo (quando não é);10;;;;;;;;;;;;;;;;;;;;;;;;;
11 de abril de 2024;Pesssimo!;Nada.;O anúncio no booking era dúbio, levando a uma falsa impressão de reserva dupla. No hotel, tive que pagar mais 70,00 mesmo achando que minha reserva era para duas pessoas. O hotel não possui estacionamento. Móveis velhos e quarto sujo.;1;;;;;;;;;;;;;;;;;;;;;;;
10 de abril de 2024;Excepcional;Limpeza, arrumação, camas confortáveis.;Nao tenho nada a pontuar;10;;;;;;;;;;;;;;;;;;;;;;;
7 de abril de 2024;Excelente;Tudo muito confortável;De nada;10;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2024;Nada a ver com as fotos;De nada;O quarto é minúsculo mal coube a gente dentro,sem ventilação adequada.eu não recomendo nem pro meu inimigo;1;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2024;Aceitável;Localização;Quarto 101 com cheiro muito forte de esgoto.;5;;;;;;;;;;;;;;;;;;;;;;;
29 de março de 2024;Excepcional;Funcionários muito educados, conforto do quarto, proximidade da praia e café da manhã perfeito!;;10;;;;;;;;;;;;;;;;;;;;;;;
25 de março de 2024;Decepcionante;Localização;Café abaixo da expectativa ;;;;;;;;;;;;;;;;;;;;;;;;
Lentidão na reposição de alimentos ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quartos com mau cheiro;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falta lixeira nos quartos ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não tem secador de cabelo""";4;;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2024;Excepcional;Hospedagem perfeita;;10;;;;;;;;;;;;;;;;;;;;;;;
22 de março de 2024;Excepcional;Hotel muito bom, próximo de tudo!;;10;;;;;;;;;;;;;;;;;;;;;;;
20 de março de 2024;Dublê ainda melhor após reforma;O nosso quarto era bem confortável. Cama muito boa. O café da manhã, excelente. A cordialidade dos funcionários. Depois da reforma, ficou ainda melhor;Não havia do que me queixar.;10;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2024;Excepcional;Ótimo atendimento,localização e café da manhã;;10;;;;;;;;;;;;;;;;;;;;;;;
11 de março de 2024;Satisfatório;Bem localizado, em frente a um mercadinho e ao Cia do Chopp. Quarto espaçoso, ar condicionado muito bom.;Tinha uma barata morta no meu quarto. Não tem Box, é uma cortina no banheiro.;6;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2024;Boa.;A acomodação no geral é bem agradável. Simples, porém atende as expectativas. A localização também é muito boa.;Tive um pequeno probleminha com o ar-condicionado, que estava vertendo água para dentro do quarto.;6;;;;;;;;;;;;;;;;;;;;;;;
1º de março de 2024;Agradavél.;Café da manhã maravilhoso, completo, e a reforma na recepção e no café da manhã ficou maravilhosa, espaçosa, perfeita, e as meninas tanto da recepção quanto do café são muito educadas e prestativas.;Estacionamento, mas isso não interfere pois na rua sempre se encontra local para estacionar.;10;;;;;;;;;;;;;;;;;;;;;;;
29 de fevereiro de 2024;Satisfatório;Gostei do atendimento e limpeza!;Espaço pequeno apertado.;6;;;;;;;;;;;;;;;;;;;;;;;
25 de fevereiro de 2024;Excepcional;Bem perto da praia, ótima localização.;;10;;;;;;;;;;;;;;;;;;;;;;;
24 de fevereiro de 2024;Recomendo e voltarei a me hospedar;Conforto e ótimo atendimento;Problemas no elevador;10;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2024;Excepcional;Quarto limpo e organizado. Café da manhã excelente. Funcionários educados e gentis;;10;;;;;;;;;;;;;;;;;;;;;;;
15 de fevereiro de 2024;Satisfatório;A localização é boa, perto da principal.;;;;;;;;;;;;;;;;;;;;;;;;;
Bom funcionamento do ar-condicionado e da televisão.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Banheiro ok.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Água quente ok.""";Quarto com muito cheiro de mofo (sou alérgica e isso inluenciou muito o conforto). Abri a janela para arejar um pouco mais, mas ela não se mantinha aberta.;;;;;;;;;;;;;;;;;;;;;;;;;;
A vista não é muito boa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elevador antigo. Que tem fobia; não aconselho.;;;;;;;;;;;;;;;;;;;;;;;;;;
Não pude experimentar o café da manhã pra opinar.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"É um.bom custo-beneficio apenas pela localização.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;
13 de fevereiro de 2024;Aceitável;Da localização do hotel e do atendimento dos funcionários.;Café da manhã sem muitas variedades e reforma no prédio.;5;;;;;;;;;;;;;;;;;;;;;;;
12 de fevereiro de 2024;Foi uma viagem de férias com a minha esposa. Gostei da localização e do custo-benefício da proprieda;Café da manhã e localização;NA.;10;;;;;;;;;;;;;;;;;;;;;;;
7 de fevereiro de 2024;Decepcionante, infelizmente;Café da manhã muito bom. É só solicitar tapiocas que fazem na hora. O melhor do hotel é o café da manhã. Localização muito boa.;Chegamos por volta das 22h, nos foi atribuido o apt 201. Chegando, o cheiro não estava agradável, parecia que estava fechado a bom tempo. O banheiro é muito pqno. Na hora do banho, o chuveiro não funcinava. Fui até a recepção e nos deram a opção de tomar banho em um apto (501) que estava em reforma, sou seja, teriamos que sair do 2° andar e ir até o 5º para tomar banho, sem considerar que este estava em reforma. Solicitei outro apt, não tinha disponível. Tinha mais 5 diárias para esse hotel, canceli e me hospedei em outro.;4;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2024;Aceitável;A localização;O ar-condicionado não funciona direito, é só um elevador pra fazer tudo, o café da manhã não é muito bom!;5;;;;;;;;;;;;;;;;;;;;;;;
4 de fevereiro de 2024;Recomendo;Café da manhã muito diverso, ótima localização;A cama não foi muito confortável;10;;;;;;;;;;;;;;;;;;;;;;;
2 de fevereiro de 2024;Excelente, recomend;O atendimento e a localização;Não há do que reclamar;10;;;;;;;;;;;;;;;;;;;;;;;
2 de fevereiro de 2024;Mal cheiro no quarto;O quarto estava arrumado e em geral limpo, apesar de haver um tremendo mal cheiro.;Pra começar não tem estacionamento ou lugar próximo para estacionar. Não encontrei no booking e na descrição do hotel um aviso claro sobre isso, a gente só consegue inferir pelos itens de conforto, onde não consta estacionamento. Acredito que aqui o grande problema nem seja a falta de estacionamento em si e sim a dificuldade de estacionar na região, mesmo que na rua. Fora isso, o hotel não tem nem mesmo um local para parar e descarregar o carro (isso é péssimo). Ou seja, só reserve este hotel se você estiver de Uber.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quanto a estadia em si; dois pontos foram péssimos. O primeiro é que o quarto tinha um mal cheiro absurdo (cheiro de ralo). Tão forte que pedimos para trocar de quarto; mas não havia outro disponível. Enviaram uma pessoa para jogar produto de limpeza nos ralos e pias mas isso não resolveu. Logo antes de sair para o checkout percebi a origem do problema: a pia não tem sifão; apenas um cano ligado direto à saída do esgoto. Não sei dizer se os outros ralos sofrem do mesmo problema.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outro problema (que é menos grave; mas afetou nosso conforto) é que há um bar bem na frente do hotel. Como nosso quarto ficou virado pra rua e no primeiro andar; fomos bastante incomodados pelo som de música ao vivo (e da própria quantidade de pessoas). Apesar disso reconheço que o bar respeitou a lei do silêncio e eventualmente o barulho cessou; entrando na madrugada. Entretanto; sabendo desse problema;" provavelmente o quarto teria que ter vedação de som nas janelas.""";3;;;;;;;;;;;;;;;;;;;;;
1º de fevereiro de 2024;Excepcional;Tudo;Sem críticas;10;;;;;;;;;;;;;;;;;;;;;;;
30 de janeiro de 2024;Excepcional;Ótima localização;Café da manhã com poucas opções;10;;;;;;;;;;;;;;;;;;;;;;;
29 de janeiro de 2024;Não recomendo;Localização. Garagem privativa. Ar condicionado bem gelado;Corredores, elevador e quarto sem manutenção nem higiene. O quarto em que ficamos tinha uma porta que dava acesso para outro quarto. Ficamos preocupados com a segurança de nossos pertences e nossa privacidade. O teto do banheiro tinha parte sem forro, a janela dava acesso a outro prédio e não fechava. Tomadas que não funcionavam. Não recomendo.;2;;;;;;;;;;;;;;;;;;;;;;;
27 de janeiro de 2024;Aceitável;Recepção;Não oferta de estacionamento;5;;;;;;;;;;;;;;;;;;;;;;;
25 de janeiro de 2024;Boa escolha;Bem localizado , seguro, limpo e com um bar maravilhoso na frente!;;10;;;;;;;;;;;;;;;;;;;;;;;
24 de janeiro de 2024;Péssimos quartos velhos fedendo a mofo e cheios de manchas;Da outra que ficamos em um quarto melhor. O café da manhã é muito bom. Não tem garagem mas você consegue estacionar na frente.;O quarto fedia a mofo, era um fedor muito grande, por tudo. As roupas de cama estavam manchadas, travesseiros manchados, camas estreitas e escorregadias, quarto muito apertado, cortinas velhas e nojentas, foi uma péssima experiência.;5;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;Muito ruim;;As fotografias não tem nada a haver com a realidade das comodidades. Estavam velhas, má limpeza, muito barulho da rua.;2;;;;;;;;;;;;;;;;;;;;;;;
20 de janeiro de 2024;Aceitável.;Há um restaurante legal em frente.;Hotel muito antigo.;;;;;;;;;;;;;;;;;;;;;;;;
Instalações velhas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Localização ruim;" especialmente à noite.""";5;;;;;;;;;;;;;;;;;;;;;;;;;
18 de janeiro de 2024;Excepcional;Local seguro, bonito e bem movimentado. Tudo muito bem cuidado e ótimo atendimento.;;10;;;;;;;;;;;;;;;;;;;;;;;
17 de janeiro de 2024;Muito Bom!;Organização e do café da manhã!;nada;10;;;;;;;;;;;;;;;;;;;;;;;
16 de janeiro de 2024;Foi uma estadia ok!;Do café da manhã e da gentileza do moço que veio nos ajudar.;O banheiro não tinha sacolinha de lixo, o frigobar estava desligado ou não estava gelando, quarto muito pequeno.;6;;;;;;;;;;;;;;;;;;;;;;;
13 de janeiro de 2024;Excelente opção em Boa Viagem!!!;De tudo! Foram atenciosos e gentis comigo. Excelente localização. Café da manhã foi um banquete! Quarto confortável e ainda tive uma leve fresta de vista para o mar.;;10;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Péssimo;Não gostei;O elevador é muito velho da medo de usar, os banheiros tem cortinas, as janelas não podiam ser abertas por estarem quebradas, no quarto da minha filha tinha um furo na janela que parecia um tiro, o primeiro quarto que me colocaram fedia a esgoto, o quarto que meu sogro ficou cheirava mofo.;;;;;;;;;;;;;;;;;;;;;;;;
"O café da manhã é razoável para ruim..no dia 01 o pão era velho e murcho.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Confortável, prática e de ótimo custo benefício.;Tudo bem organizado, os funcionários sempre dispostos a ajudar com o que fosse preciso.;;10;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2024;Aconchegante com café da manhã maravilhoso.;Café da manhã perfeito;Elevador;10;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2024;Não foi muito agradável;Quarto;A recepção em nenhum momento levantou para acolher e desejar um bem vindos e nem nos levar ao quarto ou próximo dele. O banheiro não estava com uma boa higienização. No café da manhã, não há muita variedade, frutas passadas e com gosto ruim. Pão duro e com má aparência. Enfim, um hotel quebra galho para estadia rápida.;3;;;;;;;;;;;;;;;;;;;;;;;
29 de dezembro de 2023;Satisfatório;Café da manhã;Elevador Velho, quarto apertado demais e banheiro muito ruim.;6;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;Excepcional!;Funcionários extremamente educados, respeitosos e solícitos. Comida deliciosa e atendimento superou todas as minhas expectativas, café da manhã excepcional, os funcionários da cozinha são incríveis.;Nada a me queixar!!!;10;;;;;;;;;;;;;;;;;;;;;;;
22 de dezembro de 2023;Lamentável;Os únicos pontos positivos foram a possibilidade de completo do café da manhã com tapiocas doces ou salgadas. Além disso, a educação e possibilidade de ajuste no horário de arrumação dos quartos com as camareiras.;O espaço no banheiro é muito pequeno, eu tenho 1.85 e não cabia embaixo do chuveiro e nem dentro do box que deve ter 50x50cm. O café da manhã estava gostoso, mas em alguns dias tinha frutas estragadas. Em um dos dias perguntamos sobre a possibilidade de um late check out, a atendente não se deu ao trabalho nem de perguntar qual o quarto ou até que horário gostaríamos de ficar e falou que no dia quarto já estava reservado (???). Não recomendo, existem opções extremamente melhores nesse preço.;3;;;;;;;;;;;;;;;;;;;;;;;
20 de dezembro de 2023;Gostei bastante;Boa localização e quarto espaçoso.;Poderia ter espelho comprido no quarto;10;;;;;;;;;;;;;;;;;;;;;;;
18 de dezembro de 2023;Apenas para uma noite;Café da manhã simples, mas ok. Localização boa.;O quarto que ficamos não era muito bom. O banheiro bem aspectuoso, lençóis e travesseiros ruins. Não tem estacionamento. Solicitamos um edredon e nós deram um lençol um pouco mais grosso e sujo.;6;;;;;;;;;;;;;;;;;;;;;;;
13 de dezembro de 2023;Aceitável;O café da manhã estava bom.;O elevador é antigo.;5;;;;;;;;;;;;;;;;;;;;;;;
11 de dezembro de 2023;Ótimo custo-benefício! Recomendo!;Mesmo o hotel sendo antigo, o quarto em que ficamos estava reformado, era bem amplo e confortável.;A água do chuveiro tinha pouca pressão.;10;;;;;;;;;;;;;;;;;;;;;;;
11 de dezembro de 2023;Não recomendo.;Gostei da localização, perto da praia e vários restaurantes ao entorno.;O quarto não corresponde às fotos no booking. O banheiro bem ruim, sem box, chuveiro péssimo (inclusive com cheiro de queimado), encontrei duas baratinhas no banheiro. Quarto ruim, desconfortável.;4;;;;;;;;;;;;;;;;;;;;;;;
10 de dezembro de 2023;Excelente hotel;Muito limpo e aconchegante;Nada;10;;;;;;;;;;;;;;;;;;;;;;;
4 de dezembro de 2023;Sofrível;Boa localização.;Armários do banheiro estufados com infiltração. Descarga do banheiro só funcionava retirando a tampa e apertando a válvula. Café da manhã sofrível. Melancia passada , nenhum dia tinha suco de laranja, apenas graviola e no outro dia manga ( ninguém tomava), produtos de baixa qualidade infelizmente não se atentam a isso. Apenas um elevador funcionando então optava por escadas as vezes. Escadaria imundaaaaaaaaa.;6;;;;;;;;;;;;;;;;;;;;;;;
29 de novembro de 2023;Satisfatório;Quarto ok;Esgoto da pia voltando cheiro. Até colocamos uma tampa pra não feder o quarto;6;;;;;;;;;;;;;;;;;;;;;;;
28 de novembro de 2023;Hotel bom para curta estadia.;O check in foi rápido, sem burocracia, e facilitou, pois chefamos de madrugada cansados. O quarto é pequeno porém bem funcional. O café da manhã era bom.;Foi uma estadia muito rápida.;10;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2023;Excepcional;Pessoal honesto, perdi minha carteira devolveram intacta. Muito receptivo e educado .;;10;;;;;;;;;;;;;;;;;;;;;;;
22 de novembro de 2023;Não nos hospedaríamos novamente;Tratamento dos funcionários com as intercorrências que tivemos durante a estadia.;Limpeza dos quartos, principalmente dos banheiros. Banheiros pouco iluminados e sem ventilação.;5;;;;;;;;;;;;;;;;;;;;;;;
