data_avaliacao,titulo,comentario_positivo,comentario_negativo
6 de julho de 2022,Tudo muito perfeito super indico a todos fazer essa experiencia visitem o Hotel Atlantic Plaza!,"Gostei de quase tudo! O Atlantic Plaza é um hotel muito aconchegante confortável e elegante! 
O atendimento é perfeito, e os funcionários são exelentes, todos muitos simpaticos, e gentis sempre nos dando maior assistencia possível e nos ajudando em tudo... Me sentir em casa não parecia hotel! vou conta uma pequena experiencia que tive no hotel... Tive um pequeno acidente na academia com meu pé... torci o pé o tendão descolou a dor na hora foi horrível, chamamos um dos funcionários, que não pode vir imediato, dai meu irmão não quis esperar mas eles já estavam prontos para nos ajuda e logo nos deram uma cadeira de rodas que utilizei por 2 dias! Suo muito grata pela ajuda, até porque o hotel não teve nada haver com o acidente... sinceramente ném eu! foi tudo muito rápido ninguém esperava, mas o carinho que recebir de toda a equipe foi tão fofo e bonito que eu realmente não esperava esse acolhimento eu amei ficar no hotel em varios sentidos!!! Não conseguiria falar o nome de tds pois eram muitos pois estou tao satisfeita que estou apaixonada por esse lugar!!! o café da manhã incrível atendimento perfeito o bar na recepção também e os atendentes da recepção no dia do checkin e no dia do checkalt. limpeza perfeita até o pessoal que lavaram nossas roupas tbm são ótimos. Os cremes,shampoos bons... Atendimento no quarto,serviço de quarto perfeito! O Hotel simplesmente perfeito! Só tenho que agradecer a todos por tudo!!! Quero deixar um agradecimento em especial a toda equipe da recepção telefónica no ramal 7 sempre muito rápido para responder e nos ajudar em tudo super eficientes... A Mariana Ana Pedro Paulo etc.... Não lembro nomes de todos! Meu muitíssimo obrigado de coração já amo todos vcs obrigado pelo carinho vocês são incríveis... Aulas perfeitas de etiqueta! desejo sucesso infinito a todos! continuem assim!","Bom essa séra somente uma observação muito importante...Mas quero adiantar que não é uma critica nem destrutiva.... E primcipalmente não estou aqui para desmerecer ninguém. Acho que cada pessoa tem sua forma de pensar e nós a respeitamos...Já adianto que tudo que estou escrevendo é literalmente possitivo é simplesmente uma observação de pessoas viajadas e conhecedoras da culinária variadas na Europa e apaixonados pela gastronomia internacional.Naturalmente que temos deliciosos pratos maravilhosos Brasileiros e que faz parte das gartonomias mundial... E que também é muito conhecida fora do pais! O único problema que o Hotel ainda não pode enxergar é a cozinha d vcs deixa-se a desejar!! Ok vamos lá, quando um bom administrador responsável pelo restaurante do hotel e é visionário e claro naturalmente que tem que ter experiencia no assunto não só para oferecer aos clientes uma boa recepção e refeição como também um prato bonito saboroso e saudável! E preciso ter experiência no paladar das gastronomias...Observação; os pratos as vezes são exageradamentes cheios e não é elegante,e extremamente gorduroso muito óleo quem sofre de colesterol ,não existe outra opção pois o cardápio é limitado. o hotel esta localizado na praia e deve oferece mais opções de peixes. claro que muitos gostar de carnes, mas a intenção do viajante ao escolher hotel em praia esse é o objetivo dos turista estrangeiros internacionais e Nacional do sul! vegano e vegetario nao existe no cardapio e isso ja se agrega a todas classificação mundial na gastronomia.. mais cedo ou mais tarde isso ira atingir voces também! Pois existe milhões no mundo de vegetariano ou vegano!O cardápio deve oferece no minimo 3 pratos internacional. uma outra observação muito importante que percebemos como uma estrela o peixe agulha não existe em todos os estados do pais e praticamente ele se torna especial pois nem todos conhece! imagina todos conhecer algo tao simples e gostoso, através/vcs? 5estrelas"
6 de julho de 2022,"Um alívio, para os problemas que estamos passando. Um alento em meio à tempestade.",Bebidas alcólicas e lanches. Piano no happy hour.,"A macaxeira frita tava com o toquinho da macaxeira no meio. Não tiraram.
A tapioca do café da manhã já foi melhor."
5 de julho de 2022,Excelente!!!!,De tudo!!!,
4 de julho de 2022,Muito boa.,,De que a camareira esqueceu de colocar as toalhas no penúltimo dia.
4 de julho de 2022,Um dos melhores hotéis que já fiquei!,"O hotel é excelente. A equipe é muito educada, limpeza excepcional, café da manhã muito gostoso e variado. Com certeza foi um dos melhores hotéis que já me hospedei.",Nada. Eu amei tudo!
2 de julho de 2022,"Bom hotel, funcionários atenciosos e excelente localização.",Localização,Barulho de obra as 07:30 da manhã e aos sábados.
2 de julho de 2022,Recomendo,"1. Localização, fica bem no meio da praia de boa viagem!
2. Quarto muito confortável (cama, travesseiro). 
3. Banheiro grande e bem limpo!","1. Não tem nenhum apoio pra quem quer ir à praia, nem uma simples torneira pra limpar os pés de areia.
2. É mais um hotel pra quem está a trabalho.
3. Comprometeram o limite do meu cartão com as diárias e um pré consumo, desnecessário! Poderia ter pago no ato!"
2 de julho de 2022,Conforto e bom gosto.,Muito confortável,
28 de junho de 2022,Perfeito!,O café da manhã é maravilhoso!,
27 de junho de 2022,Voltarei!,"Localização excelente, em frente à praia.
Café da manhã variado e completo, com uma tapioca personalizada deliciosa feita com muito carinho.
O quarto que fica de frente para o mar faz a viagem ficar infinitamente mais agradável.",Infelizmente o banheiro não tem ventilação natural...
27 de junho de 2022,tudo perfeito,tudo,nada
26 de junho de 2022,voltarei com certeza.,"localização a beira mar.
café da manhã fabuloso
quarto grande e confortável. 
funcionários simpáticos, atenciosos e solícitos.",nada a reclamar.
26 de junho de 2022,Excelente local para aproveitar com a família,"Conforto, localização, atendimento.
Tudo maravilhoso",Faltou apenas um cardápio para serviço de restaurante no quarto.
23 de junho de 2022,É um ótimo hotel em uma excelente localização.,Localização,Café da manhã deixou a desejar
22 de junho de 2022,Excelente.,Café da manhã muito bom.,Nada. Tudo muito bom.
21 de junho de 2022,Fantástico,"Localização, acomodações, café da manhã e conforto do quarto",Excesso de burocracia no Check in antecipado e calção desnecessário.
20 de junho de 2022,Aproveitei,"Escolhi um quarto de frente para o mar, consegui um andar alto, foi fantástico. O quarto é amplo, agradável, arejado, iluminado. O hotel ainda oferece uma massagem nos pés nas primeiras 24 horas, uma delícia... muito relaxante!",Infelizmente o banheiro não tem ventilação natural tornado-o escuro e com cheiro de ambiente fechado.
20 de junho de 2022,Confortável,Apesar do hotel está em reforma foi tudo ótimo.,"O banheiro tinha uma banheira de difícil acesso, perigoso podendo ocasionar quedas."
19 de junho de 2022,"Excelente a localização, café da manhã muito variado e de excelente qualidade.","localização, café da manhã",Piscina e spa fechando 20h.
18 de junho de 2022,,,
18 de junho de 2022,Muito bom,"Cama, chuveiro",Não tem tv smart no quarto. Estrutura um pouco antiga
16 de junho de 2022,incrível,Tudo,
15 de junho de 2022,Fantástico,"Fomos bem recepcionados do início ao fim!!
Meu marido estava de aniversário e enviaram um bolo para o quarto, uma delícia.
Café da manhã variado e muito gostoso, com tapiocas, waffles e omeletes feito na hora.
Recomendamos e voltaríamos com certeza. 
Agradecimento especial para a Gabi e demais pessoal da recepção, que muito bem nos atendeu.",
14 de junho de 2022,Muito bom,"cama do quarto, espaço do quarto, café da manhã também era bem farto e completo.",alguns móveis do quarto estavam deteriorados como o móvel que fica o frigobar. o frigobar também sem muita opção. acesso a piscina ruim. tem que subir um lance de escada.
14 de junho de 2022,Excepcional,"Atendimento de forma feral , e equipe do café Mirage Paulo, Cícero e Rogério.",
13 de junho de 2022,MUITO BOA MAS PODE MELHORAR,"café da manhã incrível. funcionários muito simpáticos, exceto uma da recepção.
localização perfeita.","Uma funcionária da recepção tratou meu esposo de uma forma péssima, confundiu o mesmo achando que ele seria o taxista que estávamos esperando. sendo que, há poucos minutos atrás, eu e meu esposo tínhamos comunicado para a mesma que queríamos um táxi para nos deslocar. a funcionária nem se quer pediu desculpas. achei super desagradável, meu esposo pelo fato de ter a pele negra se sentiu diminuído, um casal branco fez a mesma coisa e ela não se confundiu. estranho né? 
achei super deselegante."
13 de junho de 2022,Excepcional,A cortesia dos funcionários.,
11 de junho de 2022,ótimo custo benefício,"ótima localização em frente à praia de boa viagem, quarto de bom tamanho, confortável, piscina ampla aquecida, café da manhã com boa variedade de itens, uma menção a funcionária Clidma do café da manha extremamente cuidadosa e atenciosa na confecção dos pratos no cafe.",
8 de junho de 2022,mas no geral muito bom porém pode botar ao meio da semana um preço mais competitivo.,os quartos são bons o café da manhã delicioso .,"os ar-condicionado merecem 
que os filtros sejam mais higiênicos tava sujo e por dentro na serpentina."
31 de maio de 2022,Sossego total.,"Acomodação, limpeza, localização e acesso a internet.",Somente um elevador funcionando por dois dias.
31 de maio de 2022,Muito bom,Quarto amplo e bem limpo.,
31 de maio de 2022,Excelente,Tudo perfeito,Ter que ir embora
31 de maio de 2022,ok,ok,ok
26 de maio de 2022,Muito bom,"Localização 
cama",Café da manhã
26 de maio de 2022,Atendimento extremamente simpático e eficiente,Qualidade,
25 de maio de 2022,Excepcional,"Localização
Atendimento dos funcionários",Café da Manhã
24 de maio de 2022,Excepcional,de tudo,nada
23 de maio de 2022,Conforto em uma ótima localização,"Da localização, do atendimento, do conforto, do café da manhã diferenciado servido no restaurante Mirage","Ar condicionando pingando no quarto, piscina com água muito quente, área da piscina sem vista para o mar"
23 de maio de 2022,Estadia com otimo custo benefício!,Atendimento no chek in e chek out out com funcionários extremamente educados e prestativos. Localização excelente.,Acomodação um pouco ultrapassada.
17 de maio de 2022,Excepcional,todo mesmo prinpalmente café,
17 de maio de 2022,"No Getal, foi tudo muito bom. O maior diferencial é a localização. Na minha opinião precisa de uma Pequena reforma",Localização,Banheiro
17 de maio de 2022,Hotel maravilhoso cinco estrelas e com funcionários incríveis! Minha experiência foi sensacional deixando em destaque to,a acomodação me deixa muito satisfeito e amei! a camareira é incrível e muito educada! estão de parabéns ✨✨✨✨✨,não tenho o que falar! só a elogiar!
16 de maio de 2022,tranquila,boa localização e conforto,falta abajur no quarto.
15 de maio de 2022,Excepcional,Quartos e Café da manhã,
12 de maio de 2022,explendido,a equipe é muito atenciosa,
12 de maio de 2022,Excepcional,café da manhã,Piscina
9 de maio de 2022,Boa opção,"Café da manhã excelente
Localização 
Bons restaurantes no hotel
Elevador panorâmico","Pagar pelo estacionamento
Piscina relativamente pequena
Instalações antigas"
8 de maio de 2022,Experiência maravilhosa.,"Beleza do hotel, vista… ótimo v",piscina não ser aquecida.
7 de maio de 2022,Estadia muito boa!,"café da manhã e serviço, especialmente.",
7 de maio de 2022,Excepcional,"O hotel é maravilhoso, com destaque para o lindo hall de entrada.
Apartamento bem espaçoso, com grande armário, mesa e cadeira, mesinhas de cabeceira, banheiro agradável.","O hotel desta natureza (5 estrelas) deveria ter canais internacionais de TV (Alemão, Espanhol, Francês, Inglês, Italiano)."
6 de maio de 2022,muito boa!,"A cama é muito boa, o serviço da camareira tbm!",falta de um coberta e reposição do frigobar.
6 de maio de 2022,Hotel bom porém não considero 5 estrelas,"Ótima localização, quarto ventilado, bom chuveiro, café da manhã muito bom",Quartos escuros e pouco pequeno para cama de casal e 1 de solteiro
5 de maio de 2022,Muito bom,"custo benefício 
café da manhã",banheiro pouco iluminado
3 de maio de 2022,Excepcional,Tudo. O Atlante é a excelencia em hotelaria,De nada. Tudo foi perfeito
2 de maio de 2022,Muito bom!,Café da manhã e academia.,"Área da piscina no terraço.. as paredes poderiam ser mais discretas, pois atrapalha demais a vista."
2 de maio de 2022,Conforto e comodidade,"Boa localização, frente mar.",Equipe atenciosa e ambiente agradável.
2 de maio de 2022,Excepcional,Hotel muito bem localizado e colaboradores atenciosos. Pianista maravilhoso!,"Quando fui fechar a conta, não foi aplicado o meu desconto genius, assim paguei o preço original, sem o desconto. Solicito que revejam isso. Combinado? Bjo"
30 de abril de 2022,"Excelentes instalações, atendimento e localização. Café da manhã inesquecível ao som do piano.",Excelente café da manhã. Excelentes instalações. Localização nota 10.,"Tive um pequeno incidente quanto a um sanduíche requerido e não entregue no tempo e condições desejáveis. Ocorre que, no primeiro dia da estada, eles haviam cumprido fielmente com o horário e condições de outro pedido que eu havia feito. Pode ter sido, de fato, uma ocorrência não desejada. Isso acontece. Espero que não se repita em outras ocasiões."
29 de abril de 2022,Fantástico,"Da localização, do atendimento. O hotel é muito bonito.",
29 de abril de 2022,Incrível!,"Bom café da manhã com bastante variedade.
Garçons passavam de vez em quando para oferecer croissants e outros.
A localização é perfeita.","Nada, foi tudo ótimo!
Gostaria de ter ficado mais dias."
28 de abril de 2022,"ótima localização e um bom café da manhã, muito confortável",o café da manhã e muito bom,a parte de lazer do hotel como a piscina não é como nas fotos eu daria uma nota 5 por ser um hotel 5 estrelas
28 de abril de 2022,"BOM, MAS EU ESPERAVA MAIS.","GOSTEI DA LOCALIZAÇÃO E DO ATENDIMENTOS DOS RAPAZES QUE FICAM NA PORTA DO HOTEL, SEMPRE MUITO SOLICITOS PARA AJUDAR A CARREGAR AS MALAS E ABRIR PORTA DO UBER.",A RECEPÇÃO ESQUECEU DE COBRAR UMA ESTADA POIS FIZEMOS CHECK HORAS ANTES E COBRARAM O VALOR INTEGRAL DA DIÁRIA E MESMO ASSIM SOLICITOU QUE EU FIZESSE ISSO EM TEMPO CURTO SENDO QUE EU JÁ JÁ ESTAVA DEITADA. O CAFÉ ACHEI POUCAS OPÇÕES DE FRUTAS. NÃO TINHA IOGURTE E NEM QUEIJOS NOVOS.
27 de abril de 2022,Boa opção em Recife!,localização,as instalações estão antigas
26 de abril de 2022,Fantástico,Hotel atendeu nossa expectativa.,
25 de abril de 2022,"tranquila, tudo correu bem","espaçosa, chuveiro com muita agua","vidros da janela sujos, pouca variedade de frutas no café"
25 de abril de 2022,Foi maravilhoso!,"Excelentes funcionários e muito gentis. Em especial, meu agradecimento à Ana, Cícero e José.
Muito obrigada e voltaremos em breve.",
25 de abril de 2022,LOCALIZAÇÃO E CUSTO BENEFICIO EXCELENTE,"EQUIPE ATENCIOSA, CAFÉ DA MANHÃ BEM VARIADO E LOCALIZAÇÃO EXCELENTE",QUARTO MERECE UMA RENOVAÇÃO
25 de abril de 2022,Excepcional,"Tudo ótimo, o funcionário Pedro do restaurante foi muito cordial, gentil e prestativo, atendeu as nossas necessidades.",
25 de abril de 2022,"excelente, melhor impossível!",Tudo perfeito nesse hotel!,
24 de abril de 2022,Valeu a pena,Ficamos dois dias no Atlante Plaza em Recife e gostamos muito. O hotel é antigo mas bem conservado. A vista para o mar de Boa Viagem é linda e na maré baixa da pra aproveitar a praia em frente. O café da manhã é bem variado e o restaurante é amplo. Os funcionários são atenciosos e cordiais. Jantamos no restaurante Mirage e amamos as refeições.,Nada
22 de abril de 2022,Corrido,vista,Elevador. quente
22 de abril de 2022,Café da manhã maravilhoso,"A atenção do hotel , em nós disponibilizar o que precisamos , o café da manhã excelente , piscina maravilhosa, elevador panorâmico maravilhoso",As bebidas servidas no bar da piscina z não estavam tão boas
21 de abril de 2022,Muito bom,localização,restaurante pequeno para a capacidade do hotel
21 de abril de 2022,Muito agradável,"O Hall de entrada é bem agradável e moderno. Fi no quei na suíte 901 de frente pro mar. o quarto estava limpo, e é bem confortável,","O sofazinho precisa ser lavado… como somos alérgicos, sentimos logo que ele estava com acúmulo de sujeira de uso mesmo… Tivemos também problemas com hóspedes arruaceiros que gritavam na madrugada pelo corredor. Liguei pra solicitar ajuda e me falaram que enviariam o segurança. Meu esposo acabou abrindo a porta e resolvendo primeiro pois já haviam se passado uns 10 minutos."
20 de abril de 2022,Bom lugar para se hospedar. honesto.,cama confortável,água fraca no chuveiro e na pia. poucos armários.
19 de abril de 2022,agradável,"localização privilegiada, excelente café da manhã( funcionários muito atenciosos, especialmente Ana) limpeza muito boa .",
18 de abril de 2022,experiência boa mas infelizmente num período com muita badalação que prejudicou quem estava para descansar,"Cade da manhã, cordialidade dos funcionários, tamanho do quarto.","corredores barulhentos, presença de cupins no quarto. não recomendo para crianças pequenas"
18 de abril de 2022,Maravilhosa,"O café da manhã é ótimo, porém, algumas coisas que deviam estar quentes, estava fria, mais precisamente, só um item. Talvez por descuido com relação ao aquecedor por indução. Mas comuniquei a um funcionário e o mesmo ficou de resolver o problema.",Ñ houve nada que ñ tenha gostado.
17 de abril de 2022,Excepcional,cafe da manha,nada
17 de abril de 2022,Fantástico,camas confortáveis,"o procedimento de caução, com coleta dados, anotando em papel número e outros dados do cartão não me parece correto. o simples uso da “máquina” para tal finalidade já seria suficiente."
15 de abril de 2022,Hotel bonito e agradável,"Localização, café da manhã, serviço de spa.",
12 de abril de 2022,,,
11 de abril de 2022,"Se a piscina for um quesito, esquece.","A comida, o quarto e a vista.","A piscina para o nível do hotel, é decepcionante. Bemmm pequena, água escura e velha já."
11 de abril de 2022,Muito bom,Muito bom,Localização e Café da manha e quartos
10 de abril de 2022,maravilha,ambiente . Rouparia,
10 de abril de 2022,Geral,Do café da manhã e do quarto.,Da comida que pedi no quarto
9 de abril de 2022,Estadia perfeita.,Conforto. Limpeza,
8 de abril de 2022,Ótima,,A comida no restaurante não atende custo/benefício (à noite)
7 de abril de 2022,Fiquei satisfeita,Do atendimento,"Faltou um pouco mais de informações, sobre o que tem dentro do pacote, o que pode ser cortesia, etc"
7 de abril de 2022,Hotel maravilhoso.,"Hotel fantástico! Lindo, limpo, confortável, localização super privilegiada, café da manhã completíssimo com muita variedade. Funcionários atenciosos e educados. Há um aplicativo do hotel no qual podemos fazer os pedidos de room service, obter informações turísticas e inclusive informações quanto aos vôos partindo do aeroporto de Recife.","Uma janela do quarto não estava com a vedação adequada quando fechada por completo. Com a ventilação pela localização à beira-mar ficava fazendo barulho pela fenestra, no entanto, nada que tenha tirado o conforto e a vontade de retornar.
Estacionamento não incluído no valor da diária da hospedagem."
4 de abril de 2022,Pura diversão,Da piscina.. do café da manhã,tudo perfeito
4 de abril de 2022,"NOTA 8,5",MUITO BOM!,PRESSÃO DA AGUA DO CHUVEIRO UM POUCO FRACA.
31 de março de 2022,Excepcional,excelente,
29 de março de 2022,Satisfatória.,Localização. Prestação de serviços.,Barulho dos hóspedes.
28 de março de 2022,recomendo,"excelente localização
quarto muito bom
fui contemplado pelo hotel com upgrade para suíte presidencial","não achei nada ruim
estava td conforme esperado"
28 de março de 2022,Fantástico,"Café, localização e estrutura perfeitas.",
28 de março de 2022,Excepcional,"Atendimento impecável, café da manhã maravilhoso até espumante tinha.",
27 de março de 2022,Surreal,"Hotel espetacular!

Do check in ao check out, suite de frente para o mar impecável, realmente maravilhosa.

Atendimento perfeito do trato com os hospedes ao time na entrega das solicitações. Realmente estão preparados para qualquer situação 👏👏

Planejamos retornar em breve.","Foi tudo perfeito, extremamente satisfeito com tudo."
26 de março de 2022,"Tumultuada no início em hotel antigo, mas com ótimo staff","Espaçosa, mas necessita de reforma e renovação para ser considerada suíte de um hotel 5 estrelas","ar condicionado pingando, tivemos de mudar de quarto logo ao chegar porque estava encharcado. móveis antigos e cadeira de escritório não combina em nada com a decoração. banheiro também antigo e ducha enferrujada"
25 de março de 2022,Excelente,"Localização, comida, tamanho e conforto do quarto",Nada
25 de março de 2025,Aceitável,,"não emite nota fiscal no checkout, também não mandou por e-mail."
3 de março de 2025,Mais respeito e cuidado aos alérgicos . De suíno e camarão e derivados de leite vcs tem como melhorar !!! Afinal são 5 e,Alexa,"Tem que ter mais cuidado quanto ao aspecto contaminação cruzada dos alimentos, tudo muito próximo as espátulas de pegar os presuntos de suíno com os demais alimentos, não tinha peito de peru defumado inteiro pra pegar, o que oriento é deixar uma seção separada e isolada os suínos pra não ocorrer a contaminação cruzada das espátulas fui em 2021 e já acusei esse erro pra o pessoal do café, outro detalhe é chapa de fazer tapioca tb deve limpar ou ter algo separado por ali pode ser mexido presunto de porco ou bacon pra feitura de omelete ou tapioca,
Correto seria chapas separadas . Fiquei com crise de garganta e tive que tomar remédio , isso pra mim é um erro crasso pra um uma hotel 5 estrelas e digo tenham cuidados em todos os hotéis da rede a demais !!! Tenham os talheres que manipulam o suíno ou porco ou camarão com
Cuidados pra não pegar os itens que não pode ter contato com esses alimentos E consequentemente dando a contaminação cruzada ! Achei muito fraco nesse aspecto ."
18 de fevereiro de 2025,Boa localização,"Achei a localização boa, perto do aeroporto. Café da manhã bom, assim como as refeições do restaurante. As instalações do quarto também eram boas, padrão médio.","No dia em que nos hospedamos estavam arrumando o sistema de ar condicionado, que voltou a funcionar apenas de madrugada, sendo que a previsão seria 19h30min. A praia em frente não é para banho e não há bares próximos. Os quiosques da praia são ruins, apenas pontos de apoio para comprar bebida mesmo."
17 de fevereiro de 2025,foi em viagem parta conhecer recife a praia da boa viagem,localizacão e cafe da manha,o preco da refeição e valor da estadia
24 de janeiro de 2025,"Bom, mas…",Localização,O que mais incomoda são os elevadores extremamente lentos.
14 de janeiro de 2025,Bom,Localização,"Extrator de ar do banheiro cheio de teia de aranha, o ar condicionado também, acredito que não tenha uma boa manutenção. Desde que entrei estou com rinite alérgica e tosse pois tenho rinite alérgica a poeira."
2 de janeiro de 2025,Bom,"Hotel Boa Localização e Limpeza , café da manhã muito bom, com bastante Variedade...","Chegando da viagem Cansados eu e minha esposa, ..Fui Tomar Banho não tinha água Quente.. Precisei chamar na Recepção alguém para Arrumar...Veio uma pessoa depois de um tempo e consertou o problema..
Segunda coisa 
Restaurante Pizza Ruim sem recheio 
Tapioca péssima pouco recheio parece que é Terceirizada, muito Ruim...
Quarto Pequeno...."
25 de dezembro de 2024,"Poderia ter sido perfeito, se não fosse o contratempo com o problema das instalações físicas (banheiro)","Estrutura ótima do complexo, cardápio amplo com uma ótima culinária no restaurante, localização privilegiada na praia de Boa Viagem.","Problemas técnicos de alagamento do banheiro do quarto, por meio de retorno da água pelo ralinho, causando extremo desconforto. Foi necessário reclamar por 03 (três) vezes no estabelecimento, bem como abrir um chamado na central de ajuda (booking) até que fosse efetivamente solucionado."
8 de dezembro de 2024,Hotel em Recife,"Gostei do quarto de frente o mar , e o café da manhã era separado","A localização era pessima , não podia usar a praia em frente"
4 de dezembro de 2024,Bom,"Localização, conforto","Faltou água por horas em um dia, desde o dia em que cheguei não tinha shampoo no banheiro; elevador com defeito dificultando acesso"
3 de novembro de 2024,Bom,"Café da manhã, localização, café da manhã e quarto",Limpeza do quarto deixou a desejar um pouco. Não conseguimos up grade e ausência de sala de jogos e brinquedoteca
3 de outubro de 2024,Bom,Da localização,"Quartos não estavam cheirosos, a acústica é ruim"
10 de setembro de 2024,Decepção,Café da manhã muito bom!,"Ficamos no quarto 616.
Eu e minha esposa não conseguimos dormir a madrugada inteira pois a acústica do quarto NÃO EXISTE, o bebê do quarto ao lado não parava de chorar… a falta de preparo acústico é uma lástima.
Poderia ser outros diversos barulhos, pois além do choro do bebê era possível ouvir o diálogo dos pais desesperados, com razão, pelo choro do bebê.
As 6h da manhã fui falar com o rapaz da recepção sobre a madrugada pavorosa e a resposta foi: “é complicado quando tem quarto lado a lado” 
Estava com os meus filhos no quarto, imagem a se o barulho fosse de um casal mais animado em lua de mel.
Complicado"
1º de setembro de 2024,"Atendimento e localização excelentes, acomodação e wi-fi podem melhorar.","O café da manhã, a localização e o atendimento da equipe são muito bons.
Destaque para o atendimento no café da manhã, a Ana Lúcia e a Kalina são encantadoras, superam expectativas e encantam com seu atendimento e atenção aos hóspedes.","O Wi-fi do hotel é muito ruim, sendo necessário se conectar a todo momento mesmo sem sair do hotel.
Não gostamos da acomodação, o quarto 1412 fica embaixo da academia, é impossível dormir depois das 6h. Em alguns dias, o barulho dos pesos caindo começava antes das 6h."
28 de agosto de 2024,Aceitável,Boa // variado,A cama muito dura/// Travesseiros com capa de plástico. Muito desconfortável. Os lençóis e os travesseiros Não são do padrão de um hotel cinco estrelas
23 de agosto de 2024,"O hotel tem aspectos minimalista nas dependências: piscina, single bar, terraço ao ar livre. FALTA !",Café da manhã em novo lay-out ficou interessante. ..,"Recomendo retirar os degraus de acesso aos ambientes. Requer melhor treinamento para o pessoal de serviço na chapa de ovos, tapioca ..."
4 de agosto de 2024,Bom,Chuveiro é ótimo e amenidades também gostei.,"Quarto achei apertada, cama não é confortável e lençol ok. Quarto com pouco de cheiro de mofo"
2 de agosto de 2024,Bom,Bom,"Faltam comodidades e alguns espaços estão mal conservados, terraço com piscina sem acessibilidade"
30 de julho de 2024,Não vale,Café da manhã,"O aquecimento da piscina não funcionava, fui para o hotel pensando na piscina aquecida"
30 de julho de 2024,"Enganação, fui pela a piscina aquecida","O quarto era ótimo, chuveiro e café da manhã com variedade","A piscina não era aquecida, chamei um funcionário para perguntar, ele disse as vezes ela fica quente, mas o aquecedor está ligado, ele é muito pequeno para a piscina"
17 de julho de 2024,Razoável com café da manhã excelente,Espaço e café da manhã,"Precisa ser renovado, instalações antigas e barulhentas, não tinha sabão no banheiro…"
14 de julho de 2024,"Estrutura ótima, mas faltou cuidado com o hóspede",A estrutura,"Reservei berço (confirmei duas vezes a reserva), e disse que chegaria de madrugada. Quando cheguei, com meus dois filhos pequenos (4 anos e 1ano), não havia berço no quarto (até foi colocado, mas precisei ficar aguardando, com as crianças já dormindo). Além disso, minha filha pediu agua quando cheguei, mas a recepção disse que só havia agua no quarto (não se disponibilizaram a pegar um copo de água pra criança), onde consegui entrar só após 20minutos por conta da demora no check in. Além do mais, quarto família (reservei pra 4 pessoas) só tinha itens pra 2 pessoas."
10 de julho de 2024,"Boa localização, excelente café da manhã, custo ok",Localização e café da manhã são ótimos,Custo elevado para família
8 de julho de 2024,Mediano,Limpesa,"O ar condicionado sem funcionar e ocasionando um vazamento de água no interior do quarto, mesmo comunicando, tivemos que permanecer uma noite desta forma."
8 de julho de 2024,Média qualidade,Localização e café da manhã,"Ficamos no quarto 1414 
Todas as manhãs uma barulheira infernal, batendo em cima do quarto cedo 
. Parecia funcionários do hotel 
Uma falta de respeito e uma vergonha para um hotel desses naipe"
5 de julho de 2024,Bom,"Café da manhã, localização, bom enxoval e excelente atendimento vindo dos funcionários mais antigos.","Sou cliente antigo do hotel, mas nosso check-in foi impessoal, realizado por uma jovem nova sem experiência, que prontamente negou todos os pedidos que fiz, sempre com um sorriso artificial no rosto, quase como um robô....ela nos colocou no último quarto do corredor, com cheiro de mofo, e só no check-out soube que se tivesse reclamado o hotel teria ionizado o quarto. 

E expressei que devido essas negativas da atendente do check-in, me conti até pra reclamar. 

Eu estava viajando com criança e idosa ela também não perguntou se precisávamos de ajuda nas malas, e subimos cada um carregando sua própria bagagem, não que isso seja um problema, mas não é adequado para o padrão e o nível que o hotel cobra. 

Mesmo sendo a beira mar, o hotel não disponibiliza mais toalhas e guarda sol para a praia, e a uma pena ter descontinuado esse serviço, de lazer então, só ficou a piscina na cobertura que tem um sistema de aquecimento insuficiente, e no geral a água é bem fria e desconfortável pois venta forte na cobertura.

Apesar de excelente estrutura sinto que a idade tá pesando para o hotel, exceto para os funcionários antigos, mais experientes, que são os mais simpáticos, solícitos e gentis... Fui muito bem tratado no wallet, no café da manhã e no bar da piscina, atendimento excelente por pessoas que não anotei os nomes mas lembro deles ali desde sempre, desde o início do hotel."
3 de julho de 2024,Horrível,Localização,"Uma viagem que seria de descanso, tornou-se num pesadelo, trocamos de quarto 3 vezes devido a chover dentro dos quartos, eram baldes de água cheios. É lamentável para um hotel 5 estrelas. Fizeram reembolso das noites perdidas, mas não deixa de ser lamentável, visto ser um hotel 5 estrelas. E os responsáveis, dizerem que a culpa era da natureza. Sem comentários, hotel a não repetir. Avaliem este hotel, porque nunca na vida merece ter 5 estrelas. A comida do jantar gelada. Lamentável."
1º de julho de 2024,Pésima,,"Péssimo atendimento. Cordialidade zero! Educação zero! Fui atendida por uma atendente de nome Eduarda, recepcionista irônica, mal educada, tratou eu e meu esposo muito mal. Não voltarei!"
29 de junho de 2024,"O hotel é excelente, já tinha me hospedado antes, mas esse quarto estava com cheiro ruim.",O quarto é excelente! Espaçoso e bem confortável! As instalações do hotel são muito boas e os funcionários educadíssimos.,O quarto que fiquei tinha cheiro bem forte de mofo e também o banheiro estava com cheiro de esgoto.
27 de junho de 2024,"Ótima localização, ótimo café da manhã. Prédio antigo com conservação razoável e bom atendimento.",Localização,"Vazamento no banheiro e uma mesa dentro do quarto, desproporcional ao tamanho do mesmo. 

Um espelho em uma parede que dá para um compartimento técnico do prédio nos deixou desconfortáveis."
